Precinct,County,Registered Voters,Rindy Howell_Election Day Votes,Rindy Howell_Advanced Voting Votes,Rindy Howell_Absentee by Mail Votes,Rindy Howell_Provisional Votes,Rindy Howell_Choice Total,Dave Reilly (I)_Election Day Votes,Dave Reilly (I)_Advanced Voting Votes,Dave Reilly (I)_Absentee by Mail Votes,Dave Reilly (I)_Provisional Votes,Dave Reilly (I)_Choice Total,Total,calc_participation
North St Marys,Camden,2095.0,99.0,202.0,54.0,0.0,355.0,81.0,173.0,68.0,1.0,323.0,678.0,32.4
St Marys,Camden,3218.0,217.0,507.0,176.0,0.0,900.0,213.0,476.0,204.0,0.0,893.0,1793.0,55.7
South St Marys,Camden,2139.0,109.0,403.0,136.0,1.0,649.0,63.0,314.0,186.0,1.0,564.0,1213.0,56.7
Mush Bluff,Camden,2816.0,136.0,354.0,121.0,0.0,611.0,155.0,402.0,133.0,1.0,691.0,1302.0,46.2
West St Marys,Camden,3147.0,123.0,612.0,179.0,0.0,914.0,124.0,790.0,447.0,0.0,1361.0,2275.0,72.3
