Precinct,County,Registered Voters,Josh Bonner (I) (Rep)_Election Day Votes,Josh Bonner (I) (Rep)_Advanced Voting Votes,Josh Bonner (I) (Rep)_Absentee by Mail Votes,Josh Bonner (I) (Rep)_Provisional Votes,Josh Bonner (I) (Rep)_Choice Total,Fred Rovner (Dem)_Election Day Votes,Fred Rovner (Dem)_Advanced Voting Votes,Fred Rovner (Dem)_Absentee by Mail Votes,Fred Rovner (Dem)_Provisional Votes,Fred Rovner (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Brooks,Fayette,2567.0,536.0,968.0,313.0,2.0,1819.0,33.0,118.0,130.0,0.0,281.0,2100.0,81.8,1819.0,281.0
Shakerag East,Fayette,1689.0,198.0,483.0,127.0,1.0,809.0,59.0,223.0,144.0,1.0,427.0,1236.0,73.2,809.0,427.0
Shakerag West,Fayette,1236.0,52.0,498.0,138.0,1.0,689.0,21.0,186.0,133.0,1.0,341.0,1030.0,83.3,689.0,341.0
Starrsmill,Fayette,3572.0,397.0,1174.0,398.0,0.0,1969.0,83.0,239.0,214.0,0.0,536.0,2505.0,70.1,1969.0,536.0
Whitewater,Fayette,3564.0,303.0,1309.0,415.0,5.0,2032.0,79.0,473.0,284.0,6.0,842.0,2874.0,80.6,2032.0,842.0
McIntosh,Fayette,3323.0,211.0,1199.0,334.0,1.0,1745.0,51.0,471.0,313.0,1.0,836.0,2581.0,77.7,1745.0,836.0
Oak Grove,Fayette,1344.0,125.0,452.0,108.0,0.0,685.0,50.0,185.0,104.0,2.0,341.0,1026.0,76.3,685.0,341.0
Kedron,Fayette,4862.0,146.0,470.0,110.0,0.0,726.0,63.0,206.0,128.0,0.0,397.0,1123.0,23.1,726.0,397.0
Aberdeen,Fayette,1805.0,135.0,625.0,176.0,0.0,936.0,45.0,262.0,114.0,0.0,421.0,1357.0,75.2,936.0,421.0
Windgate,Fayette,1011.0,122.0,338.0,64.0,2.0,526.0,28.0,151.0,84.0,0.0,263.0,789.0,78.0,526.0,263.0
Flat Creek,Fayette,2117.0,170.0,545.0,222.0,3.0,940.0,95.0,303.0,153.0,1.0,552.0,1492.0,70.5,940.0,552.0
Braelinn,Fayette,1876.0,187.0,791.0,209.0,2.0,1189.0,34.0,160.0,110.0,0.0,304.0,1493.0,79.6,1189.0,304.0
Willow Pond,Fayette,3100.0,114.0,364.0,134.0,2.0,614.0,51.0,218.0,160.0,2.0,431.0,1045.0,33.7,614.0,431.0
Fielding Ridge,Fayette,3497.0,202.0,873.0,200.0,0.0,1275.0,44.0,308.0,230.0,0.0,582.0,1857.0,53.1,1275.0,582.0
Willowbend,Fayette,2007.0,149.0,710.0,177.0,0.0,1036.0,53.0,271.0,147.0,0.0,471.0,1507.0,75.1,1036.0,471.0
Camp Creek,Fayette,1895.0,165.0,711.0,185.0,1.0,1062.0,30.0,244.0,142.0,1.0,417.0,1479.0,78.0,1062.0,417.0
Rising Star,Fayette,3833.0,364.0,1718.0,379.0,1.0,2462.0,85.0,528.0,285.0,2.0,900.0,3362.0,87.7,2462.0,900.0
Senoia,Coweta,5838.0,1036.0,1804.0,715.0,0.0,3555.0,141.0,438.0,436.0,1.0,1016.0,4571.0,78.3,3555.0,1016.0
Haralson,Coweta,2339.0,778.0,506.0,196.0,0.0,1480.0,94.0,70.0,132.0,0.0,296.0,1776.0,75.9,1480.0,296.0
Turin,Coweta,4477.0,482.0,720.0,226.0,0.0,1428.0,39.0,91.0,90.0,0.0,220.0,1648.0,36.8,1428.0,220.0
