Precinct,County,Registered Voters,Daniel Cowan (I) (Rep)_Election Day Votes,Daniel Cowan (I) (Rep)_Advanced Voting Votes,Daniel Cowan (I) (Rep)_Absentee by Mail Votes,Daniel Cowan (I) (Rep)_Provisional Votes,Daniel Cowan (I) (Rep)_Choice Total,Total,calc_participation
East,Ben Hill,3956.0,48.0,284.0,53.0,0.0,385.0,385.0,9.7
West,Ben Hill,5898.0,294.0,2187.0,420.0,0.0,2901.0,2901.0,49.2
