Precinct,County,Registered Voters,Natalie Paine (I) (Rep)_Election Day Votes,Natalie Paine (I) (Rep)_Advanced Voting Votes,Natalie Paine (I) (Rep)_Absentee by Mail Votes,Natalie Paine (I) (Rep)_Provisional Votes,Natalie Paine (I) (Rep)_Choice Total,Jared T. Williams (Dem)_Election Day Votes,Jared T. Williams (Dem)_Advanced Voting Votes,Jared T. Williams (Dem)_Absentee by Mail Votes,Jared T. Williams (Dem)_Provisional Votes,Jared T. Williams (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
101,Richmond,896.0,117.0,130.0,78.0,1.0,326.0,64.0,138.0,111.0,2.0,315.0,641.0,71.5,326.0,315.0
102,Richmond,1278.0,57.0,73.0,43.0,0.0,173.0,126.0,158.0,184.0,3.0,471.0,644.0,50.4,173.0,471.0
103,Richmond,1428.0,9.0,16.0,21.0,0.0,46.0,154.0,293.0,263.0,2.0,712.0,758.0,53.1,46.0,712.0
104,Richmond,2976.0,34.0,52.0,47.0,0.0,133.0,420.0,521.0,558.0,5.0,1504.0,1637.0,55.0,133.0,1504.0
105,Richmond,832.0,11.0,25.0,15.0,0.0,51.0,109.0,209.0,160.0,1.0,479.0,530.0,63.7,51.0,479.0
106,Richmond,1182.0,38.0,56.0,33.0,0.0,127.0,144.0,102.0,126.0,1.0,373.0,500.0,42.3,127.0,373.0
107,Richmond,1800.0,187.0,296.0,182.0,0.0,665.0,122.0,224.0,258.0,1.0,605.0,1270.0,70.6,665.0,605.0
108,Richmond,517.0,19.0,20.0,18.0,0.0,57.0,59.0,101.0,111.0,0.0,271.0,328.0,63.4,57.0,271.0
109,Richmond,1052.0,29.0,57.0,42.0,0.0,128.0,101.0,228.0,161.0,1.0,491.0,619.0,58.8,128.0,491.0
111,Richmond,1578.0,61.0,87.0,55.0,0.0,203.0,164.0,246.0,263.0,1.0,674.0,877.0,55.6,203.0,674.0
112,Richmond,882.0,18.0,89.0,105.0,0.0,212.0,46.0,116.0,145.0,2.0,309.0,521.0,59.1,212.0,309.0
114,Richmond,856.0,21.0,18.0,20.0,0.0,59.0,111.0,133.0,132.0,1.0,377.0,436.0,50.9,59.0,377.0
201,Richmond,581.0,18.0,14.0,18.0,0.0,50.0,240.0,260.0,216.0,5.0,721.0,771.0,132.7,50.0,721.0
115,Richmond,1332.0,43.0,40.0,30.0,0.0,113.0,44.0,48.0,51.0,0.0,143.0,256.0,19.2,113.0,143.0
202,Richmond,4492.0,226.0,308.0,236.0,0.0,770.0,485.0,705.0,501.0,9.0,1700.0,2470.0,55.0,770.0,1700.0
203,Richmond,991.0,11.0,7.0,7.0,1.0,26.0,138.0,167.0,195.0,1.0,501.0,527.0,53.2,26.0,501.0
204,Richmond,1578.0,188.0,213.0,139.0,1.0,541.0,110.0,239.0,182.0,2.0,533.0,1074.0,68.1,541.0,533.0
207,Richmond,2705.0,56.0,60.0,43.0,0.0,159.0,335.0,424.0,402.0,8.0,1169.0,1328.0,49.1,159.0,1169.0
208,Richmond,2651.0,82.0,113.0,79.0,1.0,275.0,307.0,459.0,374.0,3.0,1143.0,1418.0,53.5,275.0,1143.0
210,Richmond,1507.0,45.0,67.0,52.0,1.0,165.0,144.0,307.0,337.0,3.0,791.0,956.0,63.4,165.0,791.0
301,Richmond,2409.0,343.0,607.0,327.0,1.0,1278.0,121.0,271.0,254.0,0.0,646.0,1924.0,79.9,1278.0,646.0
302,Richmond,1032.0,31.0,72.0,53.0,0.0,156.0,136.0,204.0,112.0,0.0,452.0,608.0,58.9,156.0,452.0
