Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,calc_participation
01A,Fulton,3694.0,159.0,1483.0,597.0,18.0,2257.0,2257.0,61.1
01B,Fulton,4327.0,237.0,1634.0,728.0,4.0,2603.0,2603.0,60.2
01C,Fulton,1908.0,169.0,312.0,137.0,0.0,618.0,618.0,32.4
01D,Fulton,754.0,24.0,251.0,91.0,7.0,373.0,373.0,49.5
01E,Fulton,3720.0,106.0,1401.0,635.0,1.0,2143.0,2143.0,57.6
01F,Fulton,1593.0,103.0,218.0,91.0,4.0,416.0,416.0,26.1
01G,Fulton,2312.0,122.0,655.0,239.0,3.0,1019.0,1019.0,44.1
01H,Fulton,896.0,50.0,164.0,99.0,4.0,317.0,317.0,35.4
01I,Fulton,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0
01J,Fulton,2848.0,200.0,622.0,261.0,12.0,1095.0,1095.0,38.4
01P,Fulton,1444.0,161.0,190.0,141.0,4.0,496.0,496.0,34.3
01R,Fulton,1550.0,169.0,113.0,99.0,8.0,389.0,389.0,25.1
01S,Fulton,2118.0,208.0,403.0,160.0,3.0,774.0,774.0,36.5
01T,Fulton,1799.0,153.0,386.0,154.0,4.0,697.0,697.0,38.7
02A,Fulton,4884.0,178.0,1701.0,931.0,19.0,2829.0,2829.0,57.9
02A1,Fulton,733.0,32.0,278.0,46.0,2.0,358.0,358.0,48.8
02B,Fulton,4020.0,146.0,669.0,234.0,26.0,1075.0,1075.0,26.7
02C,Fulton,2034.0,76.0,610.0,323.0,28.0,1037.0,1037.0,51.0
02D,Fulton,5539.0,243.0,1732.0,905.0,18.0,2898.0,2898.0,52.3
02E,Fulton,2009.0,98.0,800.0,370.0,0.0,1268.0,1268.0,63.1
02F1,Fulton,3221.0,106.0,1180.0,601.0,5.0,1892.0,1892.0,58.7
02F2,Fulton,851.0,45.0,225.0,109.0,2.0,381.0,381.0,44.8
02G,Fulton,3895.0,181.0,1430.0,619.0,6.0,2236.0,2236.0,57.4
02J,Fulton,2273.0,96.0,767.0,341.0,7.0,1211.0,1211.0,53.3
02K,Fulton,1461.0,43.0,513.0,233.0,0.0,789.0,789.0,54.0
02L1,Fulton,5546.0,199.0,1857.0,1112.0,7.0,3175.0,3175.0,57.2
02L1A,Fulton,1477.0,74.0,488.0,68.0,5.0,635.0,635.0,43.0
02L2,Fulton,2249.0,123.0,781.0,305.0,6.0,1215.0,1215.0,54.0
02S,Fulton,790.0,37.0,240.0,113.0,0.0,390.0,390.0,49.4
02W,Fulton,978.0,58.0,365.0,103.0,0.0,526.0,526.0,53.8
03A,Fulton,2230.0,102.0,316.0,190.0,16.0,624.0,624.0,28.0
03B,Fulton,777.0,50.0,78.0,58.0,0.0,186.0,186.0,23.9
03C,Fulton,1879.0,109.0,251.0,187.0,4.0,551.0,551.0,29.3
03D,Fulton,1235.0,70.0,175.0,85.0,14.0,344.0,344.0,27.9
03E,Fulton,2894.0,243.0,405.0,172.0,30.0,850.0,850.0,29.4
03F,Fulton,2328.0,126.0,759.0,289.0,3.0,1177.0,1177.0,50.6
03G,Fulton,1033.0,70.0,126.0,37.0,2.0,235.0,235.0,22.7
03H,Fulton,1091.0,71.0,174.0,73.0,1.0,319.0,319.0,29.2
03I,Fulton,1607.0,90.0,308.0,102.0,18.0,518.0,518.0,32.2
03L,Fulton,748.0,49.0,72.0,36.0,0.0,157.0,157.0,21.0
03M,Fulton,965.0,143.0,210.0,69.0,2.0,424.0,424.0,43.9
03N,Fulton,2804.0,184.0,401.0,131.0,18.0,734.0,734.0,26.2
03P1A,Fulton,4404.0,251.0,1257.0,476.0,10.0,1994.0,1994.0,45.3
03P2,Fulton,23.0,0.0,7.0,0.0,0.0,7.0,7.0,30.4
03S,Fulton,908.0,76.0,158.0,80.0,0.0,314.0,314.0,34.6
03T,Fulton,1742.0,125.0,399.0,111.0,4.0,639.0,639.0,36.7
04A,Fulton,1554.0,69.0,263.0,137.0,0.0,469.0,469.0,30.2
04B,Fulton,2948.0,105.0,333.0,157.0,0.0,595.0,595.0,20.2
04C,Fulton,150.0,9.0,22.0,11.0,1.0,43.0,43.0,28.7
04D,Fulton,1736.0,128.0,352.0,151.0,5.0,636.0,636.0,36.6
04F,Fulton,2786.0,169.0,645.0,170.0,9.0,993.0,993.0,35.6
04G,Fulton,1025.0,94.0,148.0,67.0,1.0,310.0,310.0,30.2
04I,Fulton,4604.0,60.0,368.0,125.0,6.0,559.0,559.0,12.1
04J,Fulton,1617.0,44.0,87.0,13.0,6.0,150.0,150.0,9.3
04K,Fulton,2736.0,155.0,565.0,284.0,10.0,1014.0,1014.0,37.1
04L,Fulton,2014.0,145.0,449.0,157.0,3.0,754.0,754.0,37.4
04M,Fulton,979.0,80.0,119.0,55.0,5.0,259.0,259.0,26.5
04S,Fulton,2541.0,206.0,485.0,249.0,5.0,945.0,945.0,37.2
04T,Fulton,1297.0,104.0,273.0,128.0,16.0,521.0,521.0,40.2
04V,Fulton,3573.0,312.0,612.0,177.0,2.0,1103.0,1103.0,30.9
04W,Fulton,3365.0,50.0,116.0,24.0,6.0,196.0,196.0,5.8
04X1,Fulton,2283.0,134.0,506.0,215.0,2.0,857.0,857.0,37.5
04X2,Fulton,846.0,47.0,203.0,80.0,0.0,330.0,330.0,39.0
05A1,Fulton,2936.0,128.0,1145.0,499.0,1.0,1773.0,1773.0,60.4
05A2,Fulton,3343.0,129.0,1273.0,522.0,10.0,1934.0,1934.0,57.9
05B,Fulton,2171.0,146.0,493.0,210.0,2.0,851.0,851.0,39.2
05C,Fulton,135.0,5.0,24.0,6.0,0.0,35.0,35.0,25.9
05D,Fulton,541.0,17.0,46.0,7.0,1.0,71.0,71.0,13.1
