Precinct,County,Registered Voters,Staci Jo Waters_Election Day Votes,Staci Jo Waters_Advanced Voting Votes,Staci Jo Waters_Absentee by Mail Votes,Staci Jo Waters_Provisional Votes,Staci Jo Waters_Choice Total,Total,William Dewey Johnson (I)_Election Day Votes,William Dewey Johnson (I)_Advanced Voting Votes,William Dewey Johnson (I)_Absentee by Mail Votes,William Dewey Johnson (I)_Provisional Votes,William Dewey Johnson (I)_Choice Total,calc_participation
01 Bethlehem Community Center,Barrow,3359.0,537.0,1089.0,332.0,0.0,1958.0,1958.0,,,,,,58.3
02 Bethlehem Church - 211,Barrow,6784.0,789.0,2569.0,820.0,0.0,4178.0,4178.0,,,,,,61.6
03 Hmong New Hope Alliance Church,Barrow,6364.0,953.0,1820.0,652.0,1.0,3426.0,3426.0,,,,,,53.8
04 Covenant Life Sanctuary,Barrow,4012.0,477.0,1234.0,394.0,0.0,2105.0,2105.0,,,,,,52.5
05 Fire Station 1 (Statham),Barrow,8336.0,1049.0,2991.0,915.0,0.0,4955.0,4955.0,,,,,,59.4
08 First Baptist Church Winder,Barrow,7009.0,799.0,2664.0,724.0,0.0,4187.0,4187.0,,,,,,59.7
13 Winder Community Center,Barrow,9393.0,883.0,2902.0,914.0,0.0,4699.0,4699.0,,,,,,50.0
16 The Church at Winder,Barrow,10348.0,1176.0,3383.0,1055.0,2.0,5616.0,5616.0,,,,,,54.3
Central Jackson,Jackson,16263.0,,,,,,10236.0,1588.0,7057.0,1589.0,2.0,10236.0,62.9
North Jackson,Jackson,12699.0,,,,,,7601.0,1380.0,4794.0,1426.0,1.0,7601.0,59.9
West Jackson,Jackson,14977.0,,,,,,10068.0,1572.0,6747.0,1748.0,1.0,10068.0,67.2
South Jackson,Jackson,8012.0,,,,,,4728.0,939.0,2856.0,932.0,1.0,4728.0,59.0
