Precinct,County,Registered Voters,Matt Hatchett (I) (Rep)_Election Day Votes,Matt Hatchett (I) (Rep)_Advanced Voting Votes,Matt Hatchett (I) (Rep)_Absentee by Mail Votes,Matt Hatchett (I) (Rep)_Provisional Votes,Matt Hatchett (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
FBC-FLC,Laurens,4180.0,455.0,1449.0,633.0,1.0,2538.0,2538.0,60.7,2538.0
Calhoun Park,Laurens,6053.0,501.0,926.0,631.0,0.0,2058.0,2058.0,34.0,2058.0
Fire Dept Sta 5,Laurens,3672.0,605.0,1387.0,466.0,0.0,2458.0,2458.0,66.9,2458.0
Buckeye,Laurens,1047.0,247.0,164.0,105.0,0.0,516.0,516.0,49.3,516.0
Brewton,Laurens,1739.0,501.0,382.0,143.0,1.0,1027.0,1027.0,59.1,1027.0
Dudley,Laurens,1121.0,374.0,346.0,131.0,0.0,851.0,851.0,75.9,851.0
Hampton Mill,Laurens,1772.0,692.0,395.0,174.0,0.0,1261.0,1261.0,71.2,1261.0
Minter,Laurens,937.0,364.0,186.0,92.0,1.0,643.0,643.0,68.6,643.0
Rural Fire Sta 17,Laurens,2344.0,541.0,595.0,232.0,0.0,1368.0,1368.0,58.4,1368.0
Reedy Springs,Laurens,894.0,415.0,150.0,64.0,0.0,629.0,629.0,70.4,629.0
Smith,Laurens,3374.0,542.0,651.0,293.0,0.0,1486.0,1486.0,44.0,1486.0
LCFS 10 Valambrosia,Laurens,2080.0,370.0,536.0,218.0,0.0,1124.0,1124.0,54.0,1124.0
Wrightsville,Johnson,3113.0,64.0,454.0,85.0,0.0,603.0,603.0,19.4,603.0
Smith,Johnson,796.0,237.0,242.0,60.0,0.0,539.0,539.0,67.7,539.0
Kite,Johnson,912.0,275.0,290.0,58.0,0.0,623.0,623.0,68.3,623.0
Annex,Treutlen,0.0,245.0,871.0,175.0,0.0,1291.0,1291.0,,1291.0
Soperton,Treutlen,0.0,214.0,699.0,211.0,0.0,1124.0,1124.0,,1124.0
