Precinct,County,Registered Voters,Tommy Waldrop (I)_Election Day Votes,Tommy Waldrop (I)_Advanced Voting Votes,Tommy Waldrop (I)_Absentee by Mail Votes,Tommy Waldrop (I)_Provisional Votes,Tommy Waldrop (I)_Choice Total,Total,"William E. """"Bill"""" Cline (I)_Election Day Votes","William E. """"Bill"""" Cline (I)_Advanced Voting Votes","William E. """"Bill"""" Cline (I)_Absentee by Mail Votes","William E. """"Bill"""" Cline (I)_Provisional Votes","William E. """"Bill"""" Cline (I)_Choice Total",calc_participation
Mirror Lake Elementary,Douglas,6745.0,718.0,1871.0,1072.0,4.0,3665.0,3665.0,,,,,,54.3
Winston,Douglas,1911.0,211.0,589.0,240.0,1.0,1041.0,1041.0,,,,,,54.5
Dog River Library,Douglas,4915.0,417.0,2104.0,656.0,0.0,3177.0,3177.0,,,,,,64.6
Atlanta West Pentecostal,Douglas,4076.0,393.0,918.0,480.0,1.0,1792.0,1792.0,,,,,,44.0
Ephesus Baptist Church,Douglas,3930.0,573.0,1452.0,565.0,0.0,2590.0,2590.0,,,,,,65.9
Prays Mill Gym,Douglas,5459.0,496.0,1918.0,848.0,0.0,3262.0,3262.0,,,,,,59.8
Turner,Douglas,3847.0,421.0,1026.0,565.0,0.0,2012.0,2012.0,,,,,,52.3
First Baptist Lithia Springs,Douglas,1966.0,222.0,480.0,300.0,7.0,1009.0,1009.0,,,,,,51.3
Lithia Springs High School,Douglas,6033.0,392.0,1888.0,1054.0,0.0,3334.0,3334.0,,,,,,55.3
Deer Lick,Douglas,3042.0,223.0,881.0,383.0,1.0,1488.0,1488.0,,,,,,48.9
Golden Methodist Church,Douglas,5634.0,454.0,1546.0,867.0,3.0,2870.0,2870.0,,,,,,50.9
Old Courthouse,Douglas,5675.0,414.0,1455.0,836.0,2.0,2707.0,2707.0,,,,,,47.7
Beulah Baptist Church,Douglas,3500.0,388.0,976.0,523.0,1.0,1888.0,1888.0,,,,,,53.9
Stewart,Douglas,3208.0,327.0,856.0,472.0,0.0,1655.0,1655.0,,,,,,51.6
Arbor Station,Douglas,2990.0,320.0,831.0,414.0,6.0,1571.0,1571.0,,,,,,52.5
Bright Star,Douglas,2703.0,324.0,753.0,403.0,1.0,1481.0,1481.0,,,,,,54.8
Dorsett Shoals,Douglas,3901.0,437.0,1069.0,575.0,0.0,2081.0,2081.0,,,,,,53.3
Chapel Hill,Douglas,4016.0,325.0,1410.0,681.0,6.0,2422.0,2422.0,,,,,,60.3
Church At Chapel Hill,Douglas,6353.0,452.0,2294.0,1023.0,0.0,3769.0,3769.0,,,,,,59.3
Chestnut Log,Douglas,5177.0,358.0,1271.0,633.0,4.0,2266.0,2266.0,,,,,,43.8
St Julians Episcopal,Douglas,2253.0,264.0,603.0,364.0,0.0,1231.0,1231.0,,,,,,54.6
Lutheran Church-GS,Douglas,4149.0,313.0,1412.0,703.0,2.0,2430.0,2430.0,,,,,,58.6
First Baptist Douglasville,Douglas,2478.0,186.0,834.0,519.0,0.0,1539.0,1539.0,,,,,,62.1
Factory Shoals,Douglas,4359.0,283.0,1551.0,739.0,0.0,2573.0,2573.0,,,,,,59.0
Boundary Waters,Douglas,4220.0,255.0,1582.0,587.0,0.0,2424.0,2424.0,,,,,,57.4
Senoia,Coweta,5838.0,,,,,,3829.0,1052.0,1920.0,856.0,1.0,3829.0,65.6
Moreland,Coweta,2758.0,,,,,,1886.0,913.0,613.0,360.0,0.0,1886.0,68.4
Pine Road,Coweta,2095.0,,,,,,1346.0,534.0,524.0,288.0,0.0,1346.0,64.2
Dresden,Coweta,839.0,,,,,,562.0,360.0,115.0,87.0,0.0,562.0,67.0
Newnan,Coweta,3478.0,,,,,,1491.0,494.0,553.0,444.0,0.0,1491.0,42.9
Sharpsburg,Coweta,4526.0,,,,,,2953.0,892.0,1566.0,494.0,1.0,2953.0,65.2
Fischer Road,Coweta,4328.0,,,,,,2857.0,754.0,1469.0,632.0,2.0,2857.0,66.0
Cedar Creek,Coweta,5330.0,,,,,,3576.0,1034.0,1714.0,828.0,0.0,3576.0,67.1
Grantville,Coweta,2572.0,,,,,,1443.0,764.0,416.0,262.0,1.0,1443.0,56.1
Haralson,Coweta,2339.0,,,,,,1555.0,790.0,512.0,253.0,0.0,1555.0,66.5
Welcome,Coweta,3212.0,,,,,,2022.0,1089.0,537.0,396.0,0.0,2022.0,63.0
Panther Creek,Coweta,3028.0,,,,,,1843.0,909.0,556.0,378.0,0.0,1843.0,60.9
Raymond,Coweta,2492.0,,,,,,1656.0,651.0,679.0,326.0,0.0,1656.0,66.5
Turin,Coweta,4477.0,,,,,,3066.0,1074.0,1429.0,563.0,0.0,3066.0,68.5
Smokey Road,Coweta,2559.0,,,,,,1311.0,528.0,461.0,321.0,1.0,1311.0,51.2
Central,Coweta,4395.0,,,,,,1586.0,516.0,667.0,398.0,5.0,1586.0,36.1
Newnan Centre,Coweta,20465.0,,,,,,11365.0,2700.0,5820.0,2844.0,1.0,11365.0,55.5
Greentop,Coweta,2846.0,,,,,,1636.0,585.0,594.0,457.0,0.0,1636.0,57.5
Expo Center,Coweta,1974.0,,,,,,1285.0,543.0,414.0,328.0,0.0,1285.0,65.1
White Oak,Coweta,4636.0,,,,,,2807.0,794.0,1449.0,563.0,1.0,2807.0,60.5
Madras,Coweta,4462.0,,,,,,2822.0,804.0,1339.0,676.0,3.0,2822.0,63.2
Cannongate,Coweta,3653.0,,,,,,2467.0,850.0,1121.0,496.0,0.0,2467.0,67.5
Westside,Coweta,838.0,,,,,,351.0,171.0,90.0,90.0,0.0,351.0,41.9
Northside,Coweta,2285.0,,,,,,1424.0,642.0,433.0,349.0,0.0,1424.0,62.3
Thomas Crossroads,Coweta,4962.0,,,,,,3243.0,873.0,1774.0,596.0,0.0,3243.0,65.4
Coweta Central Library,Coweta,1723.0,,,,,,1143.0,304.0,637.0,202.0,0.0,1143.0,66.3
