Precinct,County,Registered Voters,Tasha M. Mosley (I) (Dem)_Election Day Votes,Tasha M. Mosley (I) (Dem)_Advanced Voting Votes,Tasha M. Mosley (I) (Dem)_Absentee by Mail Votes,Tasha M. Mosley (I) (Dem)_Provisional Votes,Tasha M. Mosley (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Morrow 1,Clayton,3328.0,419.0,764.0,372.0,2.0,1557.0,1557.0,46.8,1557.0
Morrow 2,Clayton,2081.0,141.0,540.0,275.0,3.0,959.0,959.0,46.1,959.0
Morrow 3,Clayton,2407.0,189.0,627.0,378.0,5.0,1199.0,1199.0,49.8,1199.0
Morrow 4,Clayton,2112.0,215.0,504.0,282.0,3.0,1004.0,1004.0,47.5,1004.0
Morrow 5,Clayton,3056.0,290.0,1102.0,589.0,2.0,1983.0,1983.0,64.9,1983.0
Morrow 6,Clayton,3030.0,322.0,960.0,448.0,5.0,1735.0,1735.0,57.3,1735.0
Morrow 7,Clayton,2142.0,282.0,477.0,251.0,7.0,1017.0,1017.0,47.5,1017.0
Morrow 8,Clayton,3185.0,281.0,1132.0,546.0,10.0,1969.0,1969.0,61.8,1969.0
Morrow 9,Clayton,1509.0,133.0,418.0,222.0,1.0,774.0,774.0,51.3,774.0
Morrow 10,Clayton,2342.0,176.0,840.0,290.0,3.0,1309.0,1309.0,55.9,1309.0
Morrow 11,Clayton,2295.0,248.0,686.0,291.0,2.0,1227.0,1227.0,53.5,1227.0
Oak 1,Clayton,2635.0,336.0,747.0,284.0,3.0,1370.0,1370.0,52.0,1370.0
Oak 2,Clayton,1974.0,244.0,422.0,221.0,9.0,896.0,896.0,45.4,896.0
Oak 3,Clayton,2731.0,325.0,685.0,378.0,5.0,1393.0,1393.0,51.0,1393.0
Oak 4,Clayton,4233.0,456.0,1132.0,489.0,8.0,2085.0,2085.0,49.3,2085.0
Oak 5,Clayton,1795.0,182.0,401.0,85.0,4.0,672.0,672.0,37.4,672.0
Panhandle 1,Clayton,2895.0,253.0,1080.0,599.0,2.0,1934.0,1934.0,66.8,1934.0
Panhandle 2,Clayton,3382.0,313.0,1251.0,518.0,5.0,2087.0,2087.0,61.7,2087.0
Riverdale 1,Clayton,2330.0,183.0,851.0,435.0,8.0,1477.0,1477.0,63.4,1477.0
Riverdale 2,Clayton,3431.0,322.0,923.0,551.0,26.0,1822.0,1822.0,53.1,1822.0
Riverdale 3,Clayton,3650.0,350.0,1121.0,614.0,7.0,2092.0,2092.0,57.3,2092.0
Riverdale 4,Clayton,4362.0,452.0,1005.0,657.0,8.0,2122.0,2122.0,48.6,2122.0
Riverdale 5,Clayton,2970.0,324.0,831.0,438.0,11.0,1604.0,1604.0,54.0,1604.0
Riverdale 6,Clayton,3661.0,381.0,693.0,402.0,10.0,1486.0,1486.0,40.6,1486.0
Riverdale 7,Clayton,3020.0,319.0,550.0,340.0,11.0,1220.0,1220.0,40.4,1220.0
Riverdale 8,Clayton,2895.0,258.0,925.0,617.0,5.0,1805.0,1805.0,62.3,1805.0
Riverdale 9,Clayton,2653.0,286.0,746.0,394.0,7.0,1433.0,1433.0,54.0,1433.0
Riverdale 10,Clayton,3176.0,338.0,684.0,294.0,9.0,1325.0,1325.0,41.7,1325.0
Riverdale 11,Clayton,1881.0,172.0,626.0,316.0,1.0,1115.0,1115.0,59.3,1115.0
Riverdale 12,Clayton,3065.0,318.0,920.0,531.0,3.0,1772.0,1772.0,57.8,1772.0
