Precinct,County,Registered Voters,"Cecil T. """"Butch"""" Miller (I) (Rep)_Election Day Votes","Cecil T. """"Butch"""" Miller (I) (Rep)_Advanced Voting Votes","Cecil T. """"Butch"""" Miller (I) (Rep)_Absentee by Mail Votes","Cecil T. """"Butch"""" Miller (I) (Rep)_Provisional Votes","Cecil T. """"Butch"""" Miller (I) (Rep)_Choice Total",Total,Rep_total
Wilson,Hall,0.0,459.0,1884.0,1170.0,2.0,3515.0,3515.0,3515.0
Chicopee,Hall,0.0,355.0,1040.0,346.0,1.0,1742.0,1742.0,1742.0
Oakwood I,Hall,0.0,319.0,745.0,249.0,0.0,1313.0,1313.0,1313.0
Oakwood II,Hall,0.0,463.0,1610.0,553.0,2.0,2628.0,2628.0,2628.0
Flowery Branch I,Hall,0.0,489.0,1692.0,587.0,0.0,2768.0,2768.0,2768.0
Flowery Branch II,Hall,0.0,461.0,1246.0,347.0,5.0,2059.0,2059.0,2059.0
Roberts,Hall,0.0,565.0,2161.0,890.0,1.0,3617.0,3617.0,3617.0
Morgan I,Hall,0.0,508.0,1721.0,438.0,0.0,2667.0,2667.0,2667.0
Morgan II,Hall,0.0,452.0,1858.0,596.0,2.0,2908.0,2908.0,2908.0
Candler,Hall,0.0,647.0,2038.0,654.0,0.0,3339.0,3339.0,3339.0
Tadmore,Hall,0.0,390.0,953.0,369.0,0.0,1712.0,1712.0,1712.0
Glade,Hall,0.0,413.0,1321.0,408.0,2.0,2144.0,2144.0,2144.0
Lula,Hall,0.0,589.0,1270.0,334.0,8.0,2201.0,2201.0,2201.0
Clermont,Hall,0.0,434.0,1745.0,370.0,1.0,2550.0,2550.0,2550.0
Quillians,Hall,0.0,242.0,1467.0,323.0,2.0,2034.0,2034.0,2034.0
Bark Camp,Hall,0.0,529.0,2519.0,711.0,4.0,3763.0,3763.0,3763.0
Chestatee,Hall,0.0,526.0,1514.0,535.0,2.0,2577.0,2577.0,2577.0
Fork,Hall,0.0,555.0,1257.0,463.0,0.0,2275.0,2275.0,2275.0
Whelchel,Hall,0.0,424.0,1872.0,579.0,0.0,2875.0,2875.0,2875.0
West Whelchel,Hall,0.0,374.0,1619.0,819.0,1.0,2813.0,2813.0,2813.0
Gainesville I,Hall,0.0,447.0,1195.0,605.0,4.0,2251.0,2251.0,2251.0
Gainesville II,Hall,0.0,202.0,383.0,292.0,1.0,878.0,878.0,878.0
Gainesville III,Hall,0.0,508.0,963.0,399.0,1.0,1871.0,1871.0,1871.0
Gainesville IV,Hall,0.0,259.0,778.0,340.0,0.0,1377.0,1377.0,1377.0
Gainesville V,Hall,0.0,177.0,424.0,155.0,0.0,756.0,756.0,756.0
Big Hickory,Hall,0.0,397.0,1907.0,495.0,1.0,2800.0,2800.0,2800.0
Friendship I,Hall,0.0,599.0,3795.0,1510.0,3.0,5907.0,5907.0,5907.0
Friendship II,Hall,0.0,440.0,1334.0,333.0,2.0,2109.0,2109.0,2109.0
Friendship III,Hall,0.0,409.0,2005.0,439.0,2.0,2855.0,2855.0,2855.0
Friendship IV,Hall,0.0,208.0,1804.0,364.0,4.0,2380.0,2380.0,2380.0
