Precinct,County,Registered Voters,James Beverly (I) (Dem)_Election Day Votes,James Beverly (I) (Dem)_Advanced Voting Votes,James Beverly (I) (Dem)_Absentee by Mail Votes,James Beverly (I) (Dem)_Provisional Votes,James Beverly (I) (Dem)_Choice Total,Total,calc_participation
East Macon 1,Bibb,2108.0,238.0,362.0,334.0,5.0,939.0,939.0,44.5
East Macon 2,Bibb,3932.0,456.0,1014.0,749.0,7.0,2226.0,2226.0,56.6
East Macon 3,Bibb,3494.0,352.0,825.0,568.0,5.0,1750.0,1750.0,50.1
East Macon 4,Bibb,2280.0,359.0,505.0,458.0,4.0,1326.0,1326.0,58.2
East Macon 5,Bibb,2552.0,304.0,642.0,479.0,1.0,1426.0,1426.0,55.9
Godfrey 1,Bibb,6283.0,316.0,870.0,537.0,2.0,1725.0,1725.0,27.5
Godfrey 2,Bibb,2158.0,221.0,348.0,263.0,1.0,833.0,833.0,38.6
Godfrey 4,Bibb,2231.0,252.0,347.0,272.0,2.0,873.0,873.0,39.1
Howard 4,Bibb,1711.0,197.0,479.0,244.0,1.0,921.0,921.0,53.8
Vineville 1,Bibb,3572.0,361.0,850.0,557.0,1.0,1769.0,1769.0,49.5
Vineville 2,Bibb,2067.0,245.0,419.0,376.0,0.0,1040.0,1040.0,50.3
Vineville 5,Bibb,2359.0,262.0,643.0,353.0,2.0,1260.0,1260.0,53.4
Vineville 6,Bibb,3021.0,374.0,720.0,496.0,1.0,1591.0,1591.0,52.7
