Precinct,County,Registered Voters,Marty Harbin (I) (Rep)_Election Day Votes,Marty Harbin (I) (Rep)_Advanced Voting Votes,Marty Harbin (I) (Rep)_Absentee by Mail Votes,Marty Harbin (I) (Rep)_Provisional Votes,Marty Harbin (I) (Rep)_Choice Total,Cinquez Jester (Dem)_Election Day Votes,Cinquez Jester (Dem)_Advanced Voting Votes,Cinquez Jester (Dem)_Absentee by Mail Votes,Cinquez Jester (Dem)_Provisional Votes,Cinquez Jester (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Concord,Pike,0.0,283.0,522.0,78.0,0.0,883.0,48.0,86.0,83.0,0.0,217.0,1100.0,,883.0,217.0
Hollonville,Pike,0.0,342.0,786.0,131.0,0.0,1259.0,14.0,47.0,42.0,0.0,103.0,1362.0,,1259.0,103.0
Meansville,Pike,0.0,276.0,551.0,78.0,0.0,905.0,28.0,43.0,21.0,0.0,92.0,997.0,,905.0,92.0
Molena,Pike,0.0,348.0,528.0,97.0,2.0,975.0,46.0,66.0,47.0,1.0,160.0,1135.0,,975.0,160.0
Second District,Pike,0.0,371.0,1205.0,199.0,1.0,1776.0,38.0,108.0,73.0,0.0,219.0,1995.0,,1776.0,219.0
Lifsey Springs,Pike,0.0,206.0,474.0,88.0,0.0,768.0,18.0,36.0,40.0,0.0,94.0,862.0,,768.0,94.0
Williamson,Pike,0.0,287.0,834.0,127.0,0.0,1248.0,27.0,64.0,44.0,0.0,135.0,1383.0,,1248.0,135.0
Zebulon,Pike,0.0,212.0,909.0,140.0,0.0,1261.0,34.0,177.0,129.0,0.0,340.0,1601.0,,1261.0,340.0
Brooks,Fayette,2567.0,533.0,971.0,314.0,1.0,1819.0,33.0,111.0,131.0,0.0,275.0,2094.0,81.6,1819.0,275.0
Rareover,Fayette,3045.0,154.0,1243.0,227.0,2.0,1626.0,54.0,486.0,152.0,0.0,692.0,2318.0,76.1,1626.0,692.0
