Precinct,County,Registered Voters,"Thomas R. Coleman, Jr. (I)_Election Day Votes","Thomas R. Coleman, Jr. (I)_Advanced Voting Votes","Thomas R. Coleman, Jr. (I)_Absentee by Mail Votes","Thomas R. Coleman, Jr. (I)_Provisional Votes","Thomas R. Coleman, Jr. (I)_Choice Total",Total,Randy T. Ellis_Election Day Votes,Randy T. Ellis_Advanced Voting Votes,Randy T. Ellis_Absentee by Mail Votes,Randy T. Ellis_Provisional Votes,Randy T. Ellis_Choice Total,calc_participation,Ind_total
Shaw,Colquitt,3487.0,171.0,493.0,268.0,0.0,932.0,932.0,,,,,,26.7,932.0
Moultrie,Colquitt,4809.0,462.0,1463.0,473.0,1.0,2399.0,2399.0,,,,,,49.9,2399.0
Autreyville,Colquitt,1512.0,281.0,437.0,90.0,1.0,809.0,809.0,,,,,,53.5,809.0
Bridgecreek,Colquitt,1191.0,270.0,440.0,102.0,1.0,813.0,813.0,,,,,,68.3,813.0
Crosland,Colquitt,289.0,86.0,37.0,21.0,0.0,144.0,144.0,,,,,,49.8,144.0
Doerun,Colquitt,619.0,186.0,127.0,35.0,0.0,348.0,348.0,,,,,,56.2,348.0
Funston,Colquitt,1030.0,290.0,280.0,73.0,3.0,646.0,646.0,,,,,,62.7,646.0
Hamilton,Colquitt,784.0,268.0,208.0,51.0,0.0,527.0,527.0,,,,,,67.2,527.0
Hartsfield,Colquitt,408.0,170.0,88.0,43.0,1.0,302.0,302.0,,,,,,74.0,302.0
Hopewell,Colquitt,1670.0,280.0,632.0,133.0,2.0,1047.0,1047.0,,,,,,62.7,1047.0
Lee,Colquitt,1094.0,221.0,290.0,83.0,0.0,594.0,594.0,,,,,,54.3,594.0
Millcreek,Colquitt,422.0,109.0,136.0,41.0,0.0,286.0,286.0,,,,,,67.8,286.0
Monk,Colquitt,1555.0,348.0,461.0,110.0,0.0,919.0,919.0,,,,,,59.1,919.0
Murphy,Colquitt,973.0,189.0,440.0,70.0,0.0,699.0,699.0,,,,,,71.8,699.0
Norman Park,Colquitt,2586.0,447.0,743.0,208.0,0.0,1398.0,1398.0,,,,,,54.1,1398.0
Robinson,Colquitt,860.0,235.0,200.0,54.0,0.0,489.0,489.0,,,,,,56.9,489.0
Thigpen,Colquitt,251.0,101.0,46.0,19.0,0.0,166.0,166.0,,,,,,66.1,166.0
Tyty,Colquitt,543.0,225.0,76.0,35.0,0.0,336.0,336.0,,,,,,61.9,336.0
Warrior,Colquitt,971.0,276.0,253.0,69.0,0.0,598.0,598.0,,,,,,61.6,598.0
Arabi,Crisp,785.0,,,,,,512.0,176.0,278.0,58.0,0.0,512.0,65.2,
Coney,Crisp,859.0,,,,,,665.0,132.0,428.0,105.0,0.0,665.0,77.4,
Cordele,Crisp,8897.0,,,,,,4141.0,610.0,2610.0,917.0,4.0,4141.0,46.5,
Jamestown,Crisp,1196.0,,,,,,877.0,215.0,504.0,157.0,1.0,877.0,73.3,
Listonia,Crisp,817.0,,,,,,570.0,188.0,299.0,83.0,0.0,570.0,69.8,
