Precinct,County,Registered Voters,Bonnie Hudson Kelly (I) (Dem)_Election Day Votes,Bonnie Hudson Kelly (I) (Dem)_Advanced Voting Votes,Bonnie Hudson Kelly (I) (Dem)_Absentee by Mail Votes,Bonnie Hudson Kelly (I) (Dem)_Provisional Votes,Bonnie Hudson Kelly (I) (Dem)_Choice Total,Total,calc_participation
Anna,Baker,166.0,46.0,17.0,14.0,1.0,78.0,78.0,47.0
Elmodel,Baker,401.0,63.0,103.0,68.0,1.0,235.0,235.0,58.6
Hoggards Mill,Baker,351.0,64.0,66.0,51.0,0.0,181.0,181.0,51.6
Milford,Baker,270.0,62.0,48.0,34.0,0.0,144.0,144.0,53.3
Newton,Baker,1070.0,91.0,291.0,136.0,0.0,518.0,518.0,48.4
