Precinct,County,Registered Voters,"Stephen M. George, Jr. (Rep)_Election Day Votes","Stephen M. George, Jr. (Rep)_Advanced Voting Votes","Stephen M. George, Jr. (Rep)_Absentee by Mail Votes","Stephen M. George, Jr. (Rep)_Provisional Votes","Stephen M. George, Jr. (Rep)_Choice Total",Michael Smith (I) (Dem)_Election Day Votes,Michael Smith (I) (Dem)_Advanced Voting Votes,Michael Smith (I) (Dem)_Absentee by Mail Votes,Michael Smith (I) (Dem)_Provisional Votes,Michael Smith (I) (Dem)_Choice Total,Total,calc_participation
Cheatham Hill 03,Cobb,4029.0,58.0,232.0,136.0,0.0,426.0,55.0,256.0,196.0,0.0,507.0,933.0,23.2
Fair Oaks 02,Cobb,5779.0,234.0,393.0,295.0,2.0,924.0,512.0,1074.0,941.0,2.0,2529.0,3453.0,59.8
Fair Oaks 04,Cobb,5322.0,250.0,294.0,259.0,0.0,803.0,539.0,653.0,635.0,2.0,1829.0,2632.0,49.5
Marietta 2B,Cobb,4447.0,46.0,105.0,79.0,0.0,230.0,184.0,404.0,272.0,0.0,860.0,1090.0,24.5
Marietta 3B,Cobb,2218.0,5.0,17.0,22.0,0.0,44.0,56.0,158.0,179.0,0.0,393.0,437.0,19.7
Norton Park 01,Cobb,4922.0,133.0,250.0,211.0,2.0,596.0,257.0,479.0,507.0,0.0,1243.0,1839.0,37.4
Oregon 02,Cobb,5671.0,200.0,351.0,336.0,0.0,887.0,360.0,1076.0,983.0,0.0,2419.0,3306.0,58.3
Oregon 03,Cobb,5713.0,101.0,175.0,192.0,2.0,470.0,253.0,569.0,494.0,1.0,1317.0,1787.0,31.3
Oregon 04,Cobb,4673.0,185.0,404.0,293.0,0.0,882.0,334.0,978.0,977.0,1.0,2290.0,3172.0,67.9
Smyrna 3B,Cobb,2496.0,0.0,4.0,3.0,0.0,7.0,1.0,19.0,9.0,0.0,29.0,36.0,1.4
Smyrna 5A,Cobb,4319.0,171.0,251.0,187.0,0.0,609.0,228.0,671.0,641.0,4.0,1544.0,2153.0,49.8
