Precinct,County,Registered Voters,Scott Holcomb (I) (Dem)_Election Day Votes,Scott Holcomb (I) (Dem)_Advanced Voting Votes,Scott Holcomb (I) (Dem)_Absentee by Mail Votes,Scott Holcomb (I) (Dem)_Provisional Votes,Scott Holcomb (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
PINCKNEYVILLE F,Gwinnett,2546.0,301.0,565.0,366.0,1.0,1233.0,1233.0,48.4,1233.0
Ashford Park Elem,DeKalb,2432.0,183.0,776.0,458.0,0.0,1417.0,1417.0,58.3,1417.0
Chamblee,DeKalb,2231.0,159.0,751.0,404.0,2.0,1316.0,1316.0,59.0,1316.0
Chamblee 2,DeKalb,3137.0,151.0,1057.0,544.0,0.0,1752.0,1752.0,55.8,1752.0
Doraville North,DeKalb,3065.0,119.0,185.0,165.0,1.0,470.0,470.0,15.3,470.0
Doraville South,DeKalb,1255.0,126.0,332.0,217.0,2.0,677.0,677.0,53.9,677.0
Dresden Elem,DeKalb,5141.0,91.0,269.0,257.0,0.0,617.0,617.0,12.0,617.0
Embry Hills,DeKalb,1721.0,70.0,355.0,250.0,0.0,675.0,675.0,39.2,675.0
Evansdale Elem,DeKalb,3441.0,228.0,896.0,603.0,2.0,1729.0,1729.0,50.2,1729.0
Henderson Mill,DeKalb,3104.0,185.0,991.0,753.0,2.0,1931.0,1931.0,62.2,1931.0
Livsey Elem,DeKalb,1350.0,82.0,488.0,324.0,0.0,894.0,894.0,66.2,894.0
Midvale Elem,DeKalb,2747.0,126.0,674.0,513.0,3.0,1316.0,1316.0,47.9,1316.0
Oakcliff Elem,DeKalb,2125.0,280.0,464.0,305.0,5.0,1054.0,1054.0,49.6,1054.0
Pleasantdale Road,DeKalb,4538.0,18.0,120.0,127.0,0.0,265.0,265.0,5.8,265.0
Skyland,DeKalb,2100.0,175.0,687.0,387.0,4.0,1253.0,1253.0,59.7,1253.0
Tucker Library,DeKalb,3506.0,0.0,19.0,9.0,0.0,28.0,28.0,0.8,28.0
Warren Tech,DeKalb,1364.0,173.0,366.0,235.0,3.0,777.0,777.0,57.0,777.0
