Precinct,County,Registered Voters,Kyla Cromer (I) (Rep)_Election Day Votes,Kyla Cromer (I) (Rep)_Advanced Voting Votes,Kyla Cromer (I) (Rep)_Absentee by Mail Votes,Kyla Cromer (I) (Rep)_Provisional Votes,Kyla Cromer (I) (Rep)_Choice Total,Total,Roger L. Smith (I) (Dem)_Election Day Votes,Roger L. Smith (I) (Dem)_Advanced Voting Votes,Roger L. Smith (I) (Dem)_Absentee by Mail Votes,Roger L. Smith (I) (Dem)_Provisional Votes,Roger L. Smith (I) (Dem)_Choice Total,Randy Sirmans (Rep)_Election Day Votes,Randy Sirmans (Rep)_Advanced Voting Votes,Randy Sirmans (Rep)_Absentee by Mail Votes,Randy Sirmans (Rep)_Provisional Votes,Randy Sirmans (Rep)_Choice Total,G. Michael Lynch (I) (Rep)_Election Day Votes,G. Michael Lynch (I) (Rep)_Advanced Voting Votes,G. Michael Lynch (I) (Rep)_Absentee by Mail Votes,G. Michael Lynch (I) (Rep)_Provisional Votes,G. Michael Lynch (I) (Rep)_Choice Total,Kim Smith (Dem)_Election Day Votes,Kim Smith (Dem)_Advanced Voting Votes,Kim Smith (Dem)_Absentee by Mail Votes,Kim Smith (Dem)_Provisional Votes,Kim Smith (Dem)_Choice Total,Missy Jarrard (I) (Rep)_Election Day Votes,Missy Jarrard (I) (Rep)_Advanced Voting Votes,Missy Jarrard (I) (Rep)_Absentee by Mail Votes,Missy Jarrard (I) (Rep)_Provisional Votes,Missy Jarrard (I) (Rep)_Choice Total,calc_participation,Rep_total,Rep_steal,Dem_total,Dem_steal
Air Acres,Cherokee,3050.0,505.0,915.0,458.0,2.0,1880.0,1880.0,,,,,,,,,,,,,,,,,,,,,,,,,,61.6,,,,
Arnold Mill,Cherokee,4884.0,864.0,1663.0,722.0,0.0,3249.0,3249.0,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,,,,
Avery,Cherokee,3592.0,482.0,1509.0,555.0,0.0,2546.0,2546.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.9,,,,
Ball Ground,Cherokee,4065.0,545.0,1802.0,385.0,1.0,2733.0,2733.0,,,,,,,,,,,,,,,,,,,,,,,,,,67.2,,,,
Bascomb,Cherokee,4115.0,654.0,1357.0,512.0,0.0,2523.0,2523.0,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,,,,
Bells,Cherokee,5906.0,783.0,1596.0,756.0,1.0,3136.0,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,,
Booth,Cherokee,3899.0,464.0,1443.0,593.0,0.0,2500.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,,,,
Bradshaw,Cherokee,4491.0,533.0,1872.0,713.0,0.0,3118.0,3118.0,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,,
Bridgemill,Cherokee,5113.0,688.0,2069.0,709.0,0.0,3466.0,3466.0,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,,,,
Canton,Cherokee,8213.0,752.0,2546.0,1322.0,0.0,4620.0,4620.0,,,,,,,,,,,,,,,,,,,,,,,,,,56.3,,,,
Carmel,Cherokee,4581.0,666.0,1095.0,583.0,3.0,2347.0,2347.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,,,,
Clayton,Cherokee,4906.0,786.0,1815.0,653.0,1.0,3255.0,3255.0,,,,,,,,,,,,,,,,,,,,,,,,,,66.3,,,,
Conns Creek,Cherokee,895.0,268.0,288.0,72.0,0.0,628.0,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.2,,,,
Deer Run,Cherokee,3035.0,649.0,825.0,396.0,1.0,1871.0,1871.0,,,,,,,,,,,,,,,,,,,,,,,,,,61.6,,,,
Dixie,Cherokee,5733.0,713.0,1653.0,777.0,0.0,3143.0,3143.0,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,,,,
Freehome,Cherokee,5790.0,749.0,2357.0,895.0,0.0,4001.0,4001.0,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,,,,
Hickory Flat,Cherokee,7334.0,848.0,2957.0,999.0,1.0,4805.0,4805.0,,,,,,,,,,,,,,,,,,,,,,,,,,65.5,,,,
Hightower,Cherokee,3483.0,513.0,1491.0,452.0,0.0,2456.0,2456.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.5,,,,
Hillside,Cherokee,3155.0,413.0,1218.0,477.0,0.0,2108.0,2108.0,,,,,,,,,,,,,,,,,,,,,,,,,,66.8,,,,
Holly Springs,Cherokee,3262.0,506.0,1000.0,348.0,1.0,1855.0,1855.0,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,,,,
Kellogg,Cherokee,5482.0,882.0,1508.0,623.0,2.0,3015.0,3015.0,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,
Liberty,Cherokee,8350.0,926.0,2896.0,1049.0,0.0,4871.0,4871.0,,,,,,,,,,,,,,,,,,,,,,,,,,58.3,,,,
Little River,Cherokee,7480.0,783.0,2289.0,1458.0,1.0,4531.0,4531.0,,,,,,,,,,,,,,,,,,,,,,,,,,60.6,,,,
Macedonia,Cherokee,4853.0,694.0,2037.0,699.0,0.0,3430.0,3430.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.7,,,,
Mountain Road,Cherokee,3078.0,607.0,1016.0,412.0,1.0,2036.0,2036.0,,,,,,,,,,,,,,,,,,,,,,,,,,66.1,,,,
Neese,Cherokee,7642.0,899.0,2316.0,1133.0,1.0,4349.0,4349.0,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,,,,
Oak Grove,Cherokee,3749.0,640.0,1020.0,495.0,0.0,2155.0,2155.0,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,,,
R M Moore,Cherokee,3468.0,683.0,1231.0,420.0,0.0,2334.0,2334.0,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,,,,
R T Jones,Cherokee,2525.0,239.0,795.0,246.0,1.0,1281.0,1281.0,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,
Rosecreek,Cherokee,3748.0,574.0,1337.0,498.0,0.0,2409.0,2409.0,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,,,,
Salacoa,Cherokee,727.0,274.0,132.0,69.0,0.0,475.0,475.0,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,,,,
Sixes,Cherokee,3101.0,457.0,1113.0,483.0,0.0,2053.0,2053.0,,,,,,,,,,,,,,,,,,,,,,,,,,66.2,,,,
Sutallee,Cherokee,2540.0,728.0,803.0,277.0,1.0,1809.0,1809.0,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,,,,
