Precinct,County,Registered Voters,Greg Dolezal (I) (Rep)_Election Day Votes,Greg Dolezal (I) (Rep)_Advanced Voting Votes,Greg Dolezal (I) (Rep)_Absentee by Mail Votes,Greg Dolezal (I) (Rep)_Provisional Votes,Greg Dolezal (I) (Rep)_Choice Total,Brooke Griffiths (Dem)_Election Day Votes,Brooke Griffiths (Dem)_Advanced Voting Votes,Brooke Griffiths (Dem)_Absentee by Mail Votes,Brooke Griffiths (Dem)_Provisional Votes,Brooke Griffiths (Dem)_Choice Total,Total,calc_participation
01 Big Creek,Forsyth,11222.0,551.0,3545.0,1277.0,4.0,5377.0,218.0,1877.0,1381.0,1.0,3477.0,8854.0,78.9
02 Brandywine,Forsyth,4500.0,341.0,842.0,312.0,1.0,1496.0,261.0,798.0,634.0,1.0,1694.0,3190.0,70.9
03 Browns Bridge,Forsyth,10740.0,784.0,4283.0,1134.0,2.0,6203.0,179.0,949.0,562.0,3.0,1693.0,7896.0,73.5
04 Chestatee,Forsyth,6776.0,583.0,3020.0,636.0,1.0,4240.0,78.0,429.0,294.0,1.0,802.0,5042.0,74.4
05 Coal Mountain,Forsyth,7852.0,599.0,3223.0,614.0,1.0,4437.0,158.0,864.0,429.0,1.0,1452.0,5889.0,75.0
06 Crossroads,Forsyth,7061.0,328.0,2196.0,337.0,0.0,2861.0,57.0,415.0,204.0,0.0,676.0,3537.0,50.1
07 Cumming,Forsyth,6281.0,331.0,2115.0,579.0,1.0,3026.0,140.0,636.0,449.0,1.0,1226.0,4252.0,67.7
08 Mashburn,Forsyth,8296.0,595.0,3257.0,987.0,1.0,4840.0,145.0,899.0,645.0,1.0,1690.0,6530.0,78.7
10 Midway,Forsyth,11631.0,609.0,5019.0,1139.0,5.0,6772.0,184.0,1540.0,980.0,0.0,2704.0,9476.0,81.5
15 Heardsville,Forsyth,8091.0,613.0,3526.0,759.0,0.0,4898.0,142.0,736.0,471.0,0.0,1349.0,6247.0,77.2
16 Otwell,Forsyth,6333.0,420.0,2441.0,726.0,3.0,3590.0,107.0,653.0,395.0,0.0,1155.0,4745.0,74.9
19 Old Atlanta,Forsyth,3739.0,183.0,1393.0,341.0,0.0,1917.0,64.0,584.0,348.0,0.0,996.0,2913.0,77.9
21 South Forsyth,Forsyth,8318.0,314.0,3354.0,968.0,1.0,4637.0,98.0,1083.0,811.0,2.0,1994.0,6631.0,79.7
25 Windermere,Forsyth,9714.0,494.0,3474.0,874.0,2.0,4844.0,205.0,1698.0,938.0,1.0,2842.0,7686.0,79.1
27 Concord,Forsyth,9858.0,875.0,4410.0,783.0,3.0,6071.0,158.0,939.0,489.0,0.0,1586.0,7657.0,77.7
29 Polo,Forsyth,11222.0,673.0,3771.0,1264.0,0.0,5708.0,250.0,1472.0,1177.0,0.0,2899.0,8607.0,76.7
34 Fowler,Forsyth,4965.0,320.0,1525.0,465.0,0.0,2310.0,129.0,823.0,553.0,1.0,1506.0,3816.0,76.9
35 Johns Creek,Forsyth,8444.0,274.0,2566.0,923.0,1.0,3764.0,147.0,1511.0,1164.0,0.0,2822.0,6586.0,78.0
36 Nichols,Forsyth,6989.0,342.0,2573.0,639.0,1.0,3555.0,132.0,1270.0,689.0,3.0,2094.0,5649.0,80.8
37 Sawnee,Forsyth,11952.0,565.0,4925.0,1153.0,3.0,6646.0,159.0,1543.0,977.0,4.0,2683.0,9329.0,78.1
