Precinct,County,Registered Voters,Ben Archer (Rep)_Election Day Votes,Ben Archer (Rep)_Advanced Voting Votes,Ben Archer (Rep)_Absentee by Mail Votes,Ben Archer (Rep)_Provisional Votes,Ben Archer (Rep)_Choice Total,"Jasper Watkins, III (Dem)_Election Day Votes","Jasper Watkins, III (Dem)_Advanced Voting Votes","Jasper Watkins, III (Dem)_Absentee by Mail Votes","Jasper Watkins, III (Dem)_Provisional Votes","Jasper Watkins, III (Dem)_Choice Total",Total,calc_participation
HARBINS A,Gwinnett,7182.0,389.0,1569.0,535.0,0.0,2493.0,314.0,1517.0,833.0,1.0,2665.0,5158.0,71.8
ROCKBRIDGE A,Gwinnett,3987.0,107.0,280.0,167.0,0.0,554.0,255.0,1268.0,637.0,0.0,2160.0,2714.0,68.1
DACULA,Gwinnett,4777.0,246.0,936.0,261.0,0.0,1443.0,234.0,1080.0,590.0,0.0,1904.0,3347.0,70.1
BAYCREEK A,Gwinnett,2720.0,238.0,543.0,314.0,0.0,1095.0,140.0,502.0,360.0,0.0,1002.0,2097.0,77.1
DUNCANS A,Gwinnett,4729.0,355.0,1551.0,495.0,2.0,2403.0,120.0,713.0,453.0,0.0,1286.0,3689.0,78.0
CATES A,Gwinnett,2387.0,177.0,475.0,307.0,0.0,959.0,106.0,343.0,290.0,0.0,739.0,1698.0,71.1
DUNCANS C,Gwinnett,3040.0,330.0,1022.0,307.0,0.0,1659.0,83.0,414.0,269.0,0.0,766.0,2425.0,79.8
ROCKYCREEK A,Gwinnett,5939.0,479.0,1481.0,422.0,0.0,2382.0,258.0,1118.0,622.0,2.0,2000.0,4382.0,73.8
CATES C,Gwinnett,2903.0,171.0,306.0,202.0,1.0,680.0,182.0,764.0,408.0,1.0,1355.0,2035.0,70.1
CATES D,Gwinnett,3755.0,179.0,482.0,221.0,0.0,882.0,125.0,618.0,424.0,0.0,1167.0,2049.0,54.6
DUNCANS D,Gwinnett,7153.0,629.0,2094.0,747.0,1.0,3471.0,265.0,942.0,676.0,0.0,1883.0,5354.0,74.8
BAYCREEK B,Gwinnett,5969.0,277.0,646.0,287.0,3.0,1213.0,419.0,1721.0,789.0,5.0,2934.0,4147.0,69.5
ROCKBRIDGE B,Gwinnett,4177.0,142.0,330.0,170.0,0.0,642.0,296.0,1149.0,592.0,1.0,2038.0,2680.0,64.2
GARNERS B,Gwinnett,3178.0,120.0,392.0,222.0,4.0,738.0,182.0,852.0,468.0,0.0,1502.0,2240.0,70.5
CATES F,Gwinnett,1787.0,212.0,317.0,236.0,0.0,765.0,103.0,291.0,215.0,2.0,611.0,1376.0,77.0
CATES G,Gwinnett,2875.0,201.0,697.0,395.0,0.0,1293.0,120.0,501.0,396.0,0.0,1017.0,2310.0,80.3
CATES H,Gwinnett,3924.0,116.0,397.0,194.0,0.0,707.0,301.0,936.0,489.0,1.0,1727.0,2434.0,62.0
GARNERS D,Gwinnett,3490.0,89.0,269.0,192.0,0.0,550.0,237.0,921.0,606.0,0.0,1764.0,2314.0,66.3
ROCKBRIDGE C,Gwinnett,5125.0,129.0,327.0,194.0,0.0,650.0,291.0,1736.0,984.0,5.0,3016.0,3666.0,71.5
ROCKBRIDGE D,Gwinnett,3642.0,76.0,375.0,192.0,1.0,644.0,196.0,1160.0,625.0,4.0,1985.0,2629.0,72.2
BAYCREEK K,Gwinnett,3824.0,170.0,680.0,364.0,0.0,1214.0,145.0,951.0,515.0,1.0,1612.0,2826.0,73.9
BAYCREEK C,Gwinnett,6499.0,333.0,1063.0,392.0,2.0,1790.0,350.0,1738.0,863.0,0.0,2951.0,4741.0,72.9
CATES L,Gwinnett,4185.0,227.0,603.0,339.0,0.0,1169.0,257.0,953.0,547.0,3.0,1760.0,2929.0,70.0
ROCKBRIDGE E,Gwinnett,4638.0,142.0,337.0,153.0,1.0,633.0,386.0,1165.0,731.0,2.0,2284.0,2917.0,62.9
BAYCREEK D,Gwinnett,4609.0,316.0,856.0,368.0,0.0,1540.0,193.0,1031.0,597.0,0.0,1821.0,3361.0,72.9
CATES N,Gwinnett,2567.0,241.0,569.0,360.0,1.0,1171.0,123.0,375.0,285.0,0.0,783.0,1954.0,76.1
ROCKBRIDGE F,Gwinnett,5795.0,79.0,444.0,218.0,1.0,742.0,308.0,2143.0,850.0,4.0,3305.0,4047.0,69.8
BAYCREEK E,Gwinnett,3265.0,195.0,442.0,184.0,1.0,822.0,217.0,744.0,417.0,3.0,1381.0,2203.0,67.5
ROCKBRIDGE G,Gwinnett,5799.0,132.0,402.0,204.0,0.0,738.0,392.0,1846.0,933.0,11.0,3182.0,3920.0,67.6
DUNCANS B,Gwinnett,5387.0,565.0,1643.0,492.0,1.0,2701.0,213.0,760.0,478.0,2.0,1453.0,4154.0,77.1
HARBINS B,Gwinnett,4845.0,334.0,1286.0,334.0,0.0,1954.0,194.0,846.0,417.0,2.0,1459.0,3413.0,70.4
BAYCREEK F,Gwinnett,4608.0,232.0,553.0,234.0,3.0,1022.0,280.0,1340.0,653.0,5.0,2278.0,3300.0,71.6
LAWRENCEVILLE L,Gwinnett,4802.0,221.0,740.0,359.0,0.0,1320.0,276.0,1123.0,678.0,1.0,2078.0,3398.0,70.8
BAYCREEK G,Gwinnett,6241.0,269.0,789.0,309.0,0.0,1367.0,312.0,1929.0,883.0,1.0,3125.0,4492.0,72.0
BAYCREEK H,Gwinnett,6811.0,373.0,1366.0,554.0,1.0,2294.0,316.0,1714.0,877.0,1.0,2908.0,5202.0,76.4
BAYCREEK I,Gwinnett,5899.0,265.0,818.0,378.0,1.0,1462.0,310.0,1473.0,744.0,0.0,2527.0,3989.0,67.6
HARBINS C,Gwinnett,2850.0,393.0,615.0,192.0,2.0,1202.0,156.0,594.0,260.0,1.0,1011.0,2213.0,77.6
ROCKYCREEK C,Gwinnett,4806.0,339.0,1206.0,370.0,0.0,1915.0,228.0,937.0,525.0,2.0,1692.0,3607.0,75.1
BAYCREEK J,Gwinnett,4567.0,201.0,512.0,247.0,1.0,961.0,303.0,1289.0,638.0,3.0,2233.0,3194.0,69.9
