Precinct,County,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total,calc_participation
01A,Fulton,3694.0,51.0,181.0,74.0,6.0,312.0,150.0,1624.0,708.0,19.0,2501.0,2813.0,76.2
01B,Fulton,4327.0,90.0,194.0,90.0,2.0,376.0,225.0,1786.0,850.0,4.0,2865.0,3241.0,74.9
01C,Fulton,1908.0,18.0,23.0,8.0,0.0,49.0,178.0,369.0,162.0,0.0,709.0,758.0,39.7
01D,Fulton,754.0,7.0,18.0,15.0,1.0,41.0,24.0,275.0,114.0,7.0,420.0,461.0,61.1
01E,Fulton,3720.0,42.0,205.0,108.0,0.0,355.0,99.0,1505.0,732.0,0.0,2336.0,2691.0,72.3
01F,Fulton,1593.0,11.0,14.0,5.0,2.0,32.0,112.0,256.0,108.0,5.0,481.0,513.0,32.2
01G,Fulton,2312.0,23.0,59.0,22.0,1.0,105.0,125.0,728.0,284.0,3.0,1140.0,1245.0,53.8
01H,Fulton,896.0,7.0,12.0,3.0,0.0,22.0,62.0,197.0,122.0,7.0,388.0,410.0,45.8
01I,Fulton,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
01J,Fulton,2848.0,19.0,55.0,16.0,1.0,91.0,218.0,702.0,324.0,16.0,1260.0,1351.0,47.4
01P,Fulton,1444.0,10.0,8.0,9.0,1.0,28.0,208.0,215.0,165.0,3.0,591.0,619.0,42.9
01R,Fulton,1550.0,22.0,7.0,6.0,3.0,38.0,196.0,140.0,118.0,10.0,464.0,502.0,32.4
01S,Fulton,2118.0,20.0,25.0,10.0,1.0,56.0,223.0,462.0,207.0,7.0,899.0,955.0,45.1
01T,Fulton,1799.0,35.0,33.0,19.0,0.0,87.0,156.0,454.0,175.0,4.0,789.0,876.0,48.7
02A,Fulton,4884.0,105.0,510.0,223.0,9.0,847.0,119.0,1619.0,1003.0,15.0,2756.0,3603.0,73.8
02A1,Fulton,733.0,19.0,72.0,8.0,1.0,100.0,22.0,264.0,48.0,3.0,337.0,437.0,59.6
02B,Fulton,4020.0,36.0,105.0,33.0,8.0,182.0,164.0,754.0,279.0,20.0,1217.0,1399.0,34.8
02C,Fulton,2034.0,28.0,83.0,32.0,9.0,152.0,72.0,676.0,381.0,24.0,1153.0,1305.0,64.2
02D,Fulton,5539.0,102.0,358.0,133.0,11.0,604.0,213.0,1766.0,1016.0,23.0,3018.0,3622.0,65.4
02E,Fulton,2009.0,41.0,105.0,46.0,0.0,192.0,91.0,854.0,456.0,0.0,1401.0,1593.0,79.3
02F1,Fulton,3221.0,55.0,206.0,106.0,3.0,370.0,84.0,1200.0,695.0,3.0,1982.0,2352.0,73.0
02F2,Fulton,851.0,20.0,40.0,14.0,3.0,77.0,37.0,238.0,129.0,2.0,406.0,483.0,56.8
02G,Fulton,3895.0,89.0,266.0,108.0,2.0,465.0,154.0,1515.0,695.0,2.0,2366.0,2831.0,72.7
02J,Fulton,2273.0,42.0,113.0,70.0,3.0,228.0,84.0,866.0,412.0,9.0,1371.0,1599.0,70.3
02K,Fulton,1461.0,30.0,109.0,27.0,0.0,166.0,35.0,559.0,276.0,0.0,870.0,1036.0,70.9
02L1,Fulton,5546.0,102.0,456.0,233.0,7.0,798.0,159.0,1887.0,1210.0,8.0,3264.0,4062.0,73.2
02L1A,Fulton,1477.0,29.0,95.0,17.0,2.0,143.0,62.0,528.0,85.0,5.0,680.0,823.0,55.7
02L2,Fulton,2249.0,47.0,181.0,54.0,2.0,284.0,97.0,778.0,349.0,4.0,1228.0,1512.0,67.2
02S,Fulton,790.0,15.0,21.0,17.0,0.0,53.0,37.0,272.0,122.0,0.0,431.0,484.0,61.3
02W,Fulton,978.0,24.0,67.0,26.0,0.0,117.0,44.0,366.0,120.0,0.0,530.0,647.0,66.2
