Precinct,County,Registered Voters,David Post (Rep)_Election Day Votes,David Post (Rep)_Advanced Voting Votes,David Post (Rep)_Absentee by Mail Votes,David Post (Rep)_Provisional Votes,David Post (Rep)_Choice Total,Nicole Love Hendrickson (Dem)_Election Day Votes,Nicole Love Hendrickson (Dem)_Advanced Voting Votes,Nicole Love Hendrickson (Dem)_Absentee by Mail Votes,Nicole Love Hendrickson (Dem)_Provisional Votes,Nicole Love Hendrickson (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
HARBINS A,Gwinnett,7182.0,374.0,1527.0,502.0,1.0,2404.0,328.0,1557.0,871.0,5.0,2761.0,5165.0,71.9,2404.0,2761.0
ROCKBRIDGE A,Gwinnett,3987.0,108.0,271.0,169.0,0.0,548.0,257.0,1281.0,636.0,1.0,2175.0,2723.0,68.3,548.0,2175.0
DACULA,Gwinnett,4777.0,243.0,929.0,257.0,1.0,1430.0,241.0,1093.0,595.0,1.0,1930.0,3360.0,70.3,1430.0,1930.0
SUWANEE A,Gwinnett,1737.0,117.0,299.0,138.0,0.0,554.0,97.0,369.0,196.0,1.0,663.0,1217.0,70.1,554.0,663.0
BAYCREEK A,Gwinnett,2720.0,235.0,545.0,315.0,0.0,1095.0,142.0,500.0,357.0,0.0,999.0,2094.0,77.0,1095.0,999.0
GOODWINS A,Gwinnett,3921.0,284.0,556.0,238.0,1.0,1079.0,261.0,784.0,537.0,1.0,1583.0,2662.0,67.9,1079.0,1583.0
DULUTH A,Gwinnett,5042.0,234.0,901.0,460.0,2.0,1597.0,207.0,1016.0,904.0,0.0,2127.0,3724.0,73.9,1597.0,2127.0
DUNCANS A,Gwinnett,4729.0,351.0,1536.0,488.0,2.0,2377.0,124.0,729.0,471.0,0.0,1324.0,3701.0,78.3,2377.0,1324.0
PUCKETTS A,Gwinnett,5692.0,318.0,1978.0,642.0,1.0,2939.0,150.0,816.0,493.0,0.0,1459.0,4398.0,77.3,2939.0,1459.0
CATES A,Gwinnett,2387.0,174.0,471.0,306.0,1.0,952.0,110.0,352.0,293.0,1.0,756.0,1708.0,71.6,952.0,756.0
BERKSHIRE A,Gwinnett,2555.0,179.0,222.0,127.0,0.0,528.0,255.0,434.0,316.0,2.0,1007.0,1535.0,60.1,528.0,1007.0
BERKSHIRE B,Gwinnett,5338.0,120.0,524.0,334.0,3.0,981.0,293.0,1373.0,849.0,4.0,2519.0,3500.0,65.6,981.0,2519.0
DUNCANS C,Gwinnett,3040.0,319.0,1013.0,296.0,1.0,1629.0,95.0,431.0,278.0,0.0,804.0,2433.0,80.0,1629.0,804.0
GARNERS A,Gwinnett,3520.0,205.0,798.0,423.0,1.0,1427.0,130.0,690.0,455.0,1.0,1276.0,2703.0,76.8,1427.0,1276.0
LAWRENCEVILLE A,Gwinnett,3635.0,179.0,481.0,271.0,0.0,931.0,230.0,632.0,386.0,4.0,1252.0,2183.0,60.1,931.0,1252.0
LAWRENCEVILLE B,Gwinnett,5097.0,138.0,616.0,294.0,1.0,1049.0,210.0,1476.0,704.0,2.0,2392.0,3441.0,67.5,1049.0,2392.0
MARTINS A,Gwinnett,3303.0,131.0,213.0,127.0,1.0,472.0,320.0,774.0,404.0,4.0,1502.0,1974.0,59.8,472.0,1502.0
MARTINS B,Gwinnett,3001.0,119.0,337.0,176.0,0.0,632.0,280.0,642.0,355.0,2.0,1279.0,1911.0,63.7,632.0,1279.0
MARTINS C,Gwinnett,2549.0,169.0,310.0,188.0,1.0,668.0,228.0,508.0,348.0,5.0,1089.0,1757.0,68.9,668.0,1089.0
PINCKNEYVILLE A,Gwinnett,2791.0,114.0,146.0,75.0,2.0,337.0,325.0,602.0,348.0,5.0,1280.0,1617.0,57.9,337.0,1280.0
PINCKNEYVILLE B,Gwinnett,3485.0,120.0,242.0,143.0,2.0,507.0,290.0,743.0,367.0,4.0,1404.0,1911.0,54.8,507.0,1404.0
PINCKNEYVILLE C,Gwinnett,2082.0,257.0,284.0,270.0,1.0,812.0,112.0,332.0,347.0,4.0,795.0,1607.0,77.2,812.0,795.0
PINCKNEYVILLE D,Gwinnett,2264.0,78.0,135.0,77.0,1.0,291.0,260.0,442.0,220.0,4.0,926.0,1217.0,53.8,291.0,926.0
SUGAR HILL A,Gwinnett,4654.0,398.0,864.0,342.0,2.0,1606.0,248.0,638.0,455.0,3.0,1344.0,2950.0,63.4,1606.0,1344.0
SUGAR HILL B,Gwinnett,5596.0,501.0,1179.0,427.0,10.0,2117.0,290.0,919.0,569.0,4.0,1782.0,3899.0,69.7,2117.0,1782.0
HOG MOUNTAIN A,Gwinnett,5011.0,311.0,724.0,317.0,1.0,1353.0,321.0,1083.0,630.0,1.0,2035.0,3388.0,67.6,1353.0,2035.0
HOG MOUNTAIN B,Gwinnett,4583.0,384.0,1045.0,435.0,3.0,1867.0,181.0,770.0,634.0,2.0,1587.0,3454.0,75.4,1867.0,1587.0
ROCKYCREEK A,Gwinnett,5939.0,473.0,1457.0,402.0,0.0,2332.0,265.0,1147.0,644.0,3.0,2059.0,4391.0,73.9,2332.0,2059.0
CATES B,Gwinnett,1587.0,143.0,333.0,181.0,1.0,658.0,84.0,231.0,187.0,1.0,503.0,1161.0,73.2,658.0,503.0
CATES C,Gwinnett,2903.0,173.0,305.0,194.0,1.0,673.0,183.0,771.0,419.0,2.0,1375.0,2048.0,70.5,673.0,1375.0
HOG MOUNTAIN D,Gwinnett,3179.0,280.0,681.0,245.0,1.0,1207.0,147.0,478.0,399.0,1.0,1025.0,2232.0,70.2,1207.0,1025.0
BERKSHIRE D,Gwinnett,2945.0,148.0,491.0,317.0,1.0,957.0,112.0,608.0,498.0,3.0,1221.0,2178.0,74.0,957.0,1221.0
BERKSHIRE E,Gwinnett,1997.0,162.0,457.0,206.0,0.0,825.0,78.0,349.0,288.0,1.0,716.0,1541.0,77.2,825.0,716.0
BERKSHIRE F,Gwinnett,2254.0,170.0,213.0,160.0,0.0,543.0,186.0,378.0,306.0,1.0,871.0,1414.0,62.7,543.0,871.0
CATES D,Gwinnett,3755.0,228.0,626.0,338.0,0.0,1192.0,188.0,819.0,558.0,1.0,1566.0,2758.0,73.4,1192.0,1566.0
CATES E,Gwinnett,2942.0,216.0,569.0,316.0,1.0,1102.0,145.0,588.0,471.0,1.0,1205.0,2307.0,78.4,1102.0,1205.0
PINCKNEYVILLE E,Gwinnett,2184.0,104.0,103.0,61.0,3.0,271.0,233.0,492.0,275.0,6.0,1006.0,1277.0,58.5,271.0,1006.0
PINCKNEYVILLE F,Gwinnett,2546.0,108.0,226.0,116.0,0.0,450.0,236.0,468.0,323.0,2.0,1029.0,1479.0,58.1,450.0,1029.0
DUNCANS D,Gwinnett,7153.0,612.0,2084.0,729.0,3.0,3428.0,283.0,957.0,695.0,0.0,1935.0,5363.0,75.0,3428.0,1935.0
PINCKNEYVILLE H,Gwinnett,4536.0,330.0,739.0,451.0,0.0,1520.0,230.0,868.0,785.0,2.0,1885.0,3405.0,75.1,1520.0,1885.0
BAYCREEK B,Gwinnett,5969.0,270.0,635.0,284.0,2.0,1191.0,425.0,1734.0,793.0,7.0,2959.0,4150.0,69.5,1191.0,2959.0
LAWRENCEVILLE C,Gwinnett,3037.0,298.0,604.0,277.0,0.0,1179.0,130.0,491.0,330.0,1.0,952.0,2131.0,70.2,1179.0,952.0
MARTINS D,Gwinnett,2402.0,97.0,121.0,92.0,2.0,312.0,264.0,452.0,296.0,1.0,1013.0,1325.0,55.2,312.0,1013.0
ROCKBRIDGE B,Gwinnett,4177.0,135.0,324.0,176.0,0.0,635.0,301.0,1166.0,591.0,1.0,2059.0,2694.0,64.5,635.0,2059.0
GARNERS B,Gwinnett,3178.0,115.0,396.0,222.0,5.0,738.0,184.0,851.0,470.0,1.0,1506.0,2244.0,70.6,738.0,1506.0
CATES F,Gwinnett,1787.0,209.0,322.0,232.0,0.0,763.0,107.0,288.0,220.0,2.0,617.0,1380.0,77.2,763.0,617.0
CATES G,Gwinnett,2875.0,205.0,684.0,390.0,0.0,1279.0,116.0,515.0,406.0,0.0,1037.0,2316.0,80.6,1279.0,1037.0
DULUTH B,Gwinnett,3551.0,257.0,537.0,361.0,3.0,1158.0,192.0,526.0,542.0,1.0,1261.0,2419.0,68.1,1158.0,1261.0
GARNERS C,Gwinnett,2030.0,132.0,295.0,146.0,0.0,573.0,123.0,439.0,253.0,2.0,817.0,1390.0,68.5,573.0,817.0
PINCKNEYVILLE I,Gwinnett,2635.0,102.0,202.0,122.0,0.0,426.0,252.0,559.0,308.0,2.0,1121.0,1547.0,58.7,426.0,1121.0
PINCKNEYVILLE J,Gwinnett,2613.0,78.0,130.0,61.0,0.0,269.0,266.0,621.0,278.0,2.0,1167.0,1436.0,55.0,269.0,1167.0
BERKSHIRE G,Gwinnett,2419.0,169.0,508.0,246.0,0.0,923.0,107.0,537.0,299.0,0.0,943.0,1866.0,77.1,923.0,943.0
CATES H,Gwinnett,3924.0,108.0,402.0,192.0,0.0,702.0,308.0,937.0,495.0,2.0,1742.0,2444.0,62.3,702.0,1742.0
SUGAR HILL C,Gwinnett,5085.0,593.0,1238.0,455.0,1.0,2287.0,234.0,770.0,517.0,0.0,1521.0,3808.0,74.9,2287.0,1521.0
SUGAR HILL D,Gwinnett,4624.0,304.0,1164.0,342.0,5.0,1815.0,200.0,761.0,439.0,3.0,1403.0,3218.0,69.6,1815.0,1403.0
DULUTH C,Gwinnett,2229.0,193.0,309.0,207.0,2.0,711.0,139.0,381.0,319.0,2.0,841.0,1552.0,69.6,711.0,841.0
DULUTH D,Gwinnett,5077.0,230.0,654.0,303.0,7.0,1194.0,309.0,1044.0,660.0,12.0,2025.0,3219.0,63.4,1194.0,2025.0
PINCKNEYVILLE K,Gwinnett,3754.0,133.0,215.0,115.0,2.0,465.0,376.0,817.0,459.0,10.0,1662.0,2127.0,56.7,465.0,1662.0
PINCKNEYVILLE N,Gwinnett,3819.0,133.0,199.0,63.0,1.0,396.0,443.0,944.0,487.0,5.0,1879.0,2275.0,59.6,396.0,1879.0
LAWRENCEVILLE D,Gwinnett,5012.0,158.0,251.0,205.0,4.0,618.0,437.0,1105.0,521.0,10.0,2073.0,2691.0,53.7,618.0,2073.0
LAWRENCEVILLE E,Gwinnett,2355.0,160.0,389.0,263.0,1.0,813.0,151.0,388.0,296.0,2.0,837.0,1650.0,70.1,813.0,837.0
PINCKNEYVILLE L,Gwinnett,2330.0,298.0,456.0,458.0,1.0,1213.0,95.0,250.0,420.0,0.0,765.0,1978.0,84.9,1213.0,765.0
PINCKNEYVILLE M,Gwinnett,2673.0,338.0,643.0,429.0,0.0,1410.0,87.0,306.0,385.0,0.0,778.0,2188.0,81.9,1410.0,778.0
GARNERS D,Gwinnett,3490.0,92.0,263.0,198.0,0.0,553.0,238.0,932.0,603.0,0.0,1773.0,2326.0,66.6,553.0,1773.0
BERKSHIRE H,Gwinnett,1987.0,103.0,175.0,143.0,2.0,423.0,155.0,347.0,252.0,3.0,757.0,1180.0,59.4,423.0,757.0
PINCKNEYVILLE O,Gwinnett,3359.0,96.0,250.0,115.0,1.0,462.0,299.0,784.0,344.0,5.0,1432.0,1894.0,56.4,462.0,1432.0
PUCKETTS E,Gwinnett,5660.0,293.0,1058.0,424.0,1.0,1776.0,237.0,1137.0,663.0,3.0,2040.0,3816.0,67.4,1776.0,2040.0
CATES I,Gwinnett,3537.0,270.0,591.0,311.0,2.0,1174.0,179.0,821.0,542.0,0.0,1542.0,2716.0,76.8,1174.0,1542.0
CATES J,Gwinnett,3478.0,246.0,449.0,291.0,2.0,988.0,182.0,802.0,537.0,2.0,1523.0,2511.0,72.2,988.0,1523.0
GOODWINS B,Gwinnett,3960.0,319.0,893.0,347.0,1.0,1560.0,195.0,630.0,520.0,0.0,1345.0,2905.0,73.4,1560.0,1345.0
LAWRENCEVILLE F,Gwinnett,4061.0,167.0,342.0,156.0,0.0,665.0,300.0,1151.0,610.0,4.0,2065.0,2730.0,67.2,665.0,2065.0
MARTINS E,Gwinnett,6193.0,134.0,210.0,104.0,2.0,450.0,613.0,1427.0,684.0,5.0,2729.0,3179.0,51.3,450.0,2729.0
PINCKNEYVILLE P,Gwinnett,2185.0,171.0,256.0,247.0,0.0,674.0,180.0,394.0,348.0,2.0,924.0,1598.0,73.1,674.0,924.0
PINCKNEYVILLE Q,Gwinnett,1915.0,64.0,66.0,37.0,1.0,168.0,282.0,428.0,221.0,2.0,933.0,1101.0,57.5,168.0,933.0
ROCKBRIDGE C,Gwinnett,5125.0,127.0,326.0,191.0,2.0,646.0,293.0,1750.0,991.0,5.0,3039.0,3685.0,71.9,646.0,3039.0
ROCKBRIDGE D,Gwinnett,3642.0,69.0,382.0,194.0,1.0,646.0,204.0,1156.0,630.0,6.0,1996.0,2642.0,72.5,646.0,1996.0
GOODWINS C,Gwinnett,5804.0,299.0,594.0,331.0,0.0,1224.0,411.0,1239.0,895.0,1.0,2546.0,3770.0,65.0,1224.0,2546.0
