Precinct,County,Registered Voters,Bill Hitchens (I) (Rep)_Election Day Votes,Bill Hitchens (I) (Rep)_Advanced Voting Votes,Bill Hitchens (I) (Rep)_Absentee by Mail Votes,Bill Hitchens (I) (Rep)_Provisional Votes,Bill Hitchens (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
1A,Effingham,1965.0,434.0,711.0,150.0,1.0,1296.0,1296.0,66.0,1296.0
1C,Effingham,1446.0,468.0,323.0,92.0,0.0,883.0,883.0,61.1,883.0
1D,Effingham,2031.0,577.0,599.0,133.0,1.0,1310.0,1310.0,64.5,1310.0
2A,Effingham,3038.0,686.0,1045.0,268.0,1.0,2000.0,2000.0,65.8,2000.0
2B,Effingham,3010.0,596.0,897.0,259.0,0.0,1752.0,1752.0,58.2,1752.0
2C,Effingham,4621.0,751.0,1675.0,435.0,3.0,2864.0,2864.0,62.0,2864.0
4B,Effingham,1888.0,80.0,229.0,51.0,0.0,360.0,360.0,19.1,360.0
5A,Effingham,2924.0,491.0,1027.0,225.0,1.0,1744.0,1744.0,59.6,1744.0
5B,Effingham,3962.0,610.0,1273.0,303.0,1.0,2187.0,2187.0,55.2,2187.0
5C,Effingham,1684.0,287.0,589.0,155.0,1.0,1032.0,1032.0,61.3,1032.0
7-03C PB Edwards Gym,Chatham,1290.0,355.0,160.0,106.0,0.0,621.0,621.0,48.1,621.0
7-04C Lake Shore Comm Ctr,Chatham,3067.0,420.0,532.0,223.0,1.0,1176.0,1176.0,38.3,1176.0
7-06C Pooler City Hall,Chatham,3555.0,359.0,843.0,344.0,1.0,1547.0,1547.0,43.5,1547.0
7-07C Rothwell Baptist Church,Chatham,3932.0,354.0,1139.0,570.0,3.0,2066.0,2066.0,52.5,2066.0
7-11C Seventh Day Adv Church,Chatham,6469.0,766.0,1338.0,650.0,9.0,2763.0,2763.0,42.7,2763.0
7-13C Southside Fire Trng Ctr,Chatham,2513.0,265.0,819.0,511.0,1.0,1596.0,1596.0,63.5,1596.0
7-15C Rice Creek School,Chatham,2564.0,415.0,419.0,189.0,4.0,1027.0,1027.0,40.1,1027.0
8-16C Royal Cinemas and IMAX,Chatham,3087.0,299.0,843.0,472.0,2.0,1616.0,1616.0,52.3,1616.0
