Precinct,County,Registered Voters,Russ Goodman (Rep)_Election Day Votes,Russ Goodman (Rep)_Advanced Voting Votes,Russ Goodman (Rep)_Absentee by Mail Votes,Russ Goodman (Rep)_Provisional Votes,Russ Goodman (Rep)_Choice Total,Treva Gear (Dem)_Election Day Votes,Treva Gear (Dem)_Advanced Voting Votes,Treva Gear (Dem)_Absentee by Mail Votes,Treva Gear (Dem)_Provisional Votes,Treva Gear (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Arabia,Clinch,108.0,59.0,10.0,3.0,0.0,72.0,3.0,2.0,2.0,0.0,7.0,79.0,73.1,72.0,7.0
Argyle,Clinch,367.0,95.0,104.0,18.0,0.0,217.0,14.0,11.0,5.0,0.0,30.0,247.0,67.3,217.0,30.0
Dupont,Clinch,338.0,111.0,67.0,13.0,1.0,192.0,17.0,11.0,10.0,0.0,38.0,230.0,68.0,192.0,38.0
Fargo,Clinch,270.0,139.0,17.0,9.0,0.0,165.0,7.0,6.0,2.0,0.0,15.0,180.0,66.7,165.0,15.0
Homerville,Clinch,3262.0,228.0,1105.0,188.0,0.0,1521.0,123.0,235.0,104.0,0.0,462.0,1983.0,60.8,1521.0,462.0
Quitman,Brooks,4117.0,181.0,589.0,132.0,1.0,903.0,200.0,601.0,518.0,2.0,1321.0,2224.0,54.0,903.0,1321.0
Barwick,Brooks,350.0,96.0,54.0,20.0,1.0,171.0,12.0,25.0,29.0,0.0,66.0,237.0,67.7,171.0,66.0
Dixie,Brooks,1066.0,126.0,196.0,42.0,0.0,364.0,67.0,138.0,165.0,1.0,371.0,735.0,68.9,364.0,371.0
Briggs,Brooks,2317.0,369.0,617.0,139.0,0.0,1125.0,66.0,129.0,118.0,0.0,313.0,1438.0,62.1,1125.0,313.0
Nankin,Brooks,735.0,165.0,206.0,38.0,1.0,410.0,20.0,31.0,28.0,0.0,79.0,489.0,66.5,410.0,79.0
Morven,Brooks,1962.0,299.0,501.0,125.0,0.0,925.0,90.0,140.0,154.0,0.0,384.0,1309.0,66.7,925.0,384.0
Pavo,Brooks,607.0,153.0,115.0,43.0,0.0,311.0,44.0,29.0,40.0,0.0,113.0,424.0,69.9,311.0,113.0
Lakeland,Lanier,5462.0,489.0,1766.0,274.0,0.0,2529.0,180.0,489.0,266.0,0.0,935.0,3464.0,63.4,2529.0,935.0
Statenville,Echols,2156.0,210.0,904.0,121.0,0.0,1235.0,32.0,99.0,26.0,0.0,157.0,1392.0,64.6,1235.0,157.0
Cecil,Cook,1899.0,135.0,431.0,52.0,0.0,618.0,110.0,293.0,120.0,1.0,524.0,1142.0,60.1,618.0,524.0
Delle Beamguard,Cook,2446.0,197.0,881.0,142.0,0.0,1220.0,97.0,207.0,123.0,0.0,427.0,1647.0,67.3,1220.0,427.0
Elm Pine,Cook,531.0,4.0,6.0,3.0,0.0,13.0,83.0,105.0,72.0,0.0,260.0,273.0,51.4,13.0,260.0
Lenox,Cook,1275.0,237.0,384.0,68.0,0.0,689.0,81.0,67.0,34.0,0.0,182.0,871.0,68.3,689.0,182.0
Massee,Cook,919.0,98.0,377.0,35.0,0.0,510.0,14.0,80.0,23.0,0.0,117.0,627.0,68.2,510.0,117.0
New Life Baptist Church,Cook,1233.0,228.0,459.0,54.0,0.0,741.0,25.0,66.0,30.0,0.0,121.0,862.0,69.9,741.0,121.0
Riverbend,Cook,1280.0,121.0,556.0,105.0,0.0,782.0,22.0,79.0,30.0,0.0,131.0,913.0,71.3,782.0,131.0
Sparks,Cook,1049.0,61.0,114.0,31.0,0.0,206.0,135.0,130.0,73.0,0.0,338.0,544.0,51.9,206.0,338.0
Hahira Train Depot,Lowndes,5526.0,874.0,1872.0,312.0,6.0,3064.0,165.0,454.0,204.0,7.0,830.0,3894.0,70.5,3064.0,830.0
Trinity,Lowndes,10900.0,655.0,2330.0,506.0,21.0,3512.0,409.0,1819.0,926.0,18.0,3172.0,6684.0,61.3,3512.0,3172.0
Northside,Lowndes,17467.0,739.0,4489.0,1002.0,32.0,6262.0,532.0,2416.0,1412.0,68.0,4428.0,10690.0,61.2,6262.0,4428.0
Naylor,Lowndes,1291.0,230.0,327.0,52.0,0.0,609.0,55.0,181.0,81.0,3.0,320.0,929.0,72.0,609.0,320.0
Rainwater,Lowndes,9877.0,608.0,2876.0,600.0,29.0,4113.0,307.0,1332.0,658.0,22.0,2319.0,6432.0,65.1,4113.0,2319.0
Mildred,Lowndes,4283.0,52.0,216.0,45.0,5.0,318.0,334.0,845.0,564.0,17.0,1760.0,2078.0,48.5,318.0,1760.0
Clyattville,Lowndes,4755.0,626.0,1208.0,269.0,14.0,2117.0,148.0,384.0,259.0,7.0,798.0,2915.0,61.3,2117.0,798.0
Dasher,Lowndes,4255.0,622.0,1478.0,258.0,18.0,2376.0,75.0,259.0,142.0,2.0,478.0,2854.0,67.1,2376.0,478.0
S Lowndes,Lowndes,3967.0,706.0,1171.0,237.0,14.0,2128.0,136.0,254.0,204.0,5.0,599.0,2727.0,68.7,2128.0,599.0
VSU UC # 2,Lowndes,318.0,5.0,11.0,0.0,0.0,16.0,43.0,48.0,10.0,2.0,103.0,119.0,37.4,16.0,103.0
Jaycee Shack,Lowndes,6273.0,110.0,428.0,129.0,9.0,676.0,371.0,1539.0,735.0,36.0,2681.0,3357.0,53.5,676.0,2681.0
Northgate Assembly,Lowndes,1997.0,95.0,356.0,59.0,14.0,524.0,46.0,218.0,91.0,8.0,363.0,887.0,44.4,524.0,363.0
Mt Calvary,Lowndes,4447.0,45.0,75.0,30.0,12.0,162.0,216.0,890.0,346.0,59.0,1511.0,1673.0,37.6,162.0,1511.0
