Precinct,County,Registered Voters,Robert Greg Hurley (I)_Election Day Votes,Robert Greg Hurley (I)_Advanced Voting Votes,Robert Greg Hurley (I)_Absentee by Mail Votes,Robert Greg Hurley (I)_Provisional Votes,Robert Greg Hurley (I)_Choice Total,Total,Loyd C. Gass (I)_Election Day Votes,Loyd C. Gass (I)_Advanced Voting Votes,Loyd C. Gass (I)_Absentee by Mail Votes,Loyd C. Gass (I)_Provisional Votes,Loyd C. Gass (I)_Choice Total,James P. Burton_Election Day Votes,James P. Burton_Advanced Voting Votes,James P. Burton_Absentee by Mail Votes,James P. Burton_Provisional Votes,James P. Burton_Choice Total,Tracy Cooper-Grice_Election Day Votes,Tracy Cooper-Grice_Advanced Voting Votes,Tracy Cooper-Grice_Absentee by Mail Votes,Tracy Cooper-Grice_Provisional Votes,Tracy Cooper-Grice_Choice Total,calc_participation,Ind_total,Ind_steal
Coldwater,Chattooga,248.0,30.0,89.0,30.0,0.0,149.0,149.0,,,,,,,,,,,,,,,,60.1,,
Dirtseller,Chattooga,186.0,47.0,62.0,9.0,0.0,118.0,118.0,,,,,,,,,,,,,,,,63.4,,
Haywood,Chattooga,169.0,73.0,18.0,6.0,1.0,98.0,98.0,,,,,,,,,,,,,,,,58.0,,
Lyerly,Chattooga,934.0,231.0,278.0,74.0,2.0,585.0,585.0,,,,,,,,,,,,,,,,62.6,,
Trion,Chattooga,3496.0,573.0,1160.0,332.0,1.0,2066.0,2066.0,,,,,,,,,,,,,,,,59.1,,
Summerville,Chattooga,5155.0,601.0,1806.0,560.0,0.0,2967.0,2967.0,,,,,,,,,,,,,,,,57.6,,
Teloga,Chattooga,593.0,79.0,230.0,77.0,0.0,386.0,386.0,,,,,,,,,,,,,,,,65.1,,
Dirttown,Chattooga,897.0,247.0,245.0,85.0,0.0,577.0,577.0,,,,,,,,,,,,,,,,64.3,,
Seminole,Chattooga,138.0,37.0,44.0,19.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,72.5,,
Subligna,Chattooga,489.0,147.0,110.0,51.0,1.0,309.0,309.0,,,,,,,,,,,,,,,,63.2,,
Alpine,Chattooga,872.0,261.0,229.0,88.0,0.0,578.0,578.0,,,,,,,,,,,,,,,,66.3,,
Cloudland,Chattooga,378.0,84.0,122.0,42.0,0.0,248.0,248.0,,,,,,,,,,,,,,,,65.6,,
Pennville,Chattooga,588.0,74.0,194.0,50.0,0.0,318.0,318.0,,,,,,,,,,,,,,,,54.1,,
South Dade,Dade,969.0,,,,,,547.0,186.0,298.0,63.0,0.0,547.0,,,,,,,,,,,56.4,,
New Salem,Dade,1255.0,,,,,,772.0,284.0,364.0,124.0,0.0,772.0,,,,,,,,,,,61.5,,
Davis,Dade,2012.0,,,,,,1157.0,402.0,657.0,97.0,1.0,1157.0,,,,,,,,,,,57.5,,
New Home,Dade,711.0,,,,,,387.0,202.0,136.0,49.0,0.0,387.0,,,,,,,,,,,54.4,,
West Brow,Dade,1237.0,,,,,,711.0,300.0,307.0,104.0,0.0,711.0,,,,,,,,,,,57.5,,
Trenton,Dade,3573.0,,,,,,1598.0,318.0,1086.0,192.0,2.0,1598.0,,,,,,,,,,,44.7,,
North Dade,Dade,1903.0,,,,,,1005.0,289.0,590.0,125.0,1.0,1005.0,,,,,,,,,,,52.8,,
La Fayette,Walker,6547.0,,,,,,3464.0,,,,,,742.0,2042.0,679.0,1.0,3464.0,,,,,,52.9,,
Walnut Grove,Walker,2212.0,,,,,,1359.0,,,,,,415.0,746.0,198.0,0.0,1359.0,,,,,,61.4,,
Rock Spring,Walker,6275.0,,,,,,3767.0,,,,,,660.0,2493.0,614.0,0.0,3767.0,,,,,,60.0,,
Armuchee Valley,Walker,1453.0,,,,,,863.0,,,,,,532.0,221.0,110.0,0.0,863.0,,,,,,59.4,,
Mountain,Walker,1254.0,,,,,,721.0,,,,,,376.0,226.0,118.0,1.0,721.0,,,,,,57.5,,
Chattanooga Valley,Walker,6325.0,,,,,,3708.0,,,,,,866.0,2117.0,723.0,2.0,3708.0,,,,,,58.6,,
Kensington,Walker,1347.0,,,,,,781.0,,,,,,355.0,316.0,108.0,2.0,781.0,,,,,,58.0,,
Rossville,Walker,6255.0,,,,,,2907.0,,,,,,583.0,1749.0,574.0,1.0,2907.0,,,,,,46.5,,
Chickamauga,Walker,6890.0,,,,,,4034.0,,,,,,626.0,2714.0,693.0,1.0,4034.0,,,,,,58.5,,
Fairyland,Walker,1265.0,,,,,,741.0,,,,,,166.0,473.0,102.0,0.0,741.0,,,,,,58.6,,
Fairview,Walker,3101.0,,,,,,1529.0,,,,,,397.0,839.0,292.0,1.0,1529.0,,,,,,49.3,,
Aragon,Polk,3224.0,,,,,,1951.0,,,,,,,,,,,492.0,1209.0,247.0,3.0,1951.0,60.5,,
Blooming Grove,Polk,1659.0,,,,,,971.0,,,,,,,,,,,283.0,567.0,118.0,3.0,971.0,58.5,,
Cedartown,Polk,6205.0,,,,,,3274.0,,,,,,,,,,,584.0,1979.0,704.0,7.0,3274.0,52.8,,
Fish Creek,Polk,2566.0,,,,,,1594.0,,,,,,,,,,,379.0,1011.0,203.0,1.0,1594.0,62.1,,
Lake Creek,Polk,2828.0,,,,,,1866.0,,,,,,,,,,,402.0,1262.0,202.0,0.0,1866.0,66.0,,
Rockmart,Polk,5746.0,,,,,,3481.0,,,,,,,,,,,561.0,2460.0,457.0,3.0,3481.0,60.6,,
Youngs Grove,Polk,1961.0,,,,,,1228.0,,,,,,,,,,,319.0,738.0,170.0,1.0,1228.0,62.6,,
