Precinct,County,Registered Voters,Tim Stamey (I) (Rep)_Election Day Votes,Tim Stamey (I) (Rep)_Advanced Voting Votes,Tim Stamey (I) (Rep)_Absentee by Mail Votes,Tim Stamey (I) (Rep)_Provisional Votes,Tim Stamey (I) (Rep)_Choice Total,Mike Adams (Dem)_Election Day Votes,Mike Adams (Dem)_Advanced Voting Votes,Mike Adams (Dem)_Absentee by Mail Votes,Mike Adams (Dem)_Provisional Votes,Mike Adams (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Habersham North,Habersham,9096.0,633.0,4049.0,1008.0,8.0,5698.0,90.0,589.0,401.0,0.0,1080.0,6778.0,74.5,5698.0,1080.0
Habersham South,Habersham,6171.0,493.0,2118.0,598.0,5.0,3214.0,153.0,397.0,250.0,1.0,801.0,4015.0,65.1,3214.0,801.0
Demorest,Habersham,4963.0,471.0,2041.0,519.0,1.0,3032.0,82.0,260.0,156.0,1.0,499.0,3531.0,71.1,3032.0,499.0
Town of Mt Airy,Habersham,790.0,95.0,231.0,60.0,2.0,388.0,22.0,57.0,32.0,0.0,111.0,499.0,63.2,388.0,111.0
City of Baldwin,Habersham,1252.0,142.0,290.0,85.0,0.0,517.0,42.0,79.0,50.0,0.0,171.0,688.0,55.0,517.0,171.0
Mud Creek,Habersham,4435.0,469.0,1620.0,445.0,2.0,2536.0,94.0,182.0,152.0,0.0,428.0,2964.0,66.8,2536.0,428.0
Amys Creek,Habersham,1557.0,270.0,563.0,182.0,0.0,1015.0,29.0,95.0,97.0,0.0,221.0,1236.0,79.4,1015.0,221.0
