Precinct,County,Registered Voters,Bryan W. Bell_Election Day Votes,Bryan W. Bell_Advanced Voting Votes,Bryan W. Bell_Absentee by Mail Votes,Bryan W. Bell_Provisional Votes,Bryan W. Bell_Choice Total,Tambi (Tam) Parten Mull_Election Day Votes,Tambi (Tam) Parten Mull_Advanced Voting Votes,Tambi (Tam) Parten Mull_Absentee by Mail Votes,Tambi (Tam) Parten Mull_Provisional Votes,Tambi (Tam) Parten Mull_Choice Total,Randall Dan Wages_Election Day Votes,Randall Dan Wages_Advanced Voting Votes,Randall Dan Wages_Absentee by Mail Votes,Randall Dan Wages_Provisional Votes,Randall Dan Wages_Choice Total,Total,calc_participation,Tam_total
01 Bethlehem Community Center,Barrow,3359.0,40.0,50.0,24.0,0.0,114.0,20.0,37.0,15.0,0.0,72.0,17.0,46.0,24.0,0.0,87.0,273.0,8.1,72.0
16 The Church at Winder,Barrow,10348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
