Precinct,County,Registered Voters,Derry Bennett (I)_Election Day Votes,Derry Bennett (I)_Advanced Voting Votes,Derry Bennett (I)_Absentee by Mail Votes,Derry Bennett (I)_Provisional Votes,Derry Bennett (I)_Choice Total,Total,calc_participation,Ind_total
Cecil,Cook,1899.0,214.0,644.0,130.0,0.0,988.0,988.0,52.0,988.0
Delle Beamguard,Cook,2446.0,269.0,1002.0,227.0,0.0,1498.0,1498.0,61.2,1498.0
Elm Pine,Cook,531.0,62.0,80.0,62.0,0.0,204.0,204.0,38.4,204.0
Lenox,Cook,1275.0,286.0,405.0,88.0,0.0,779.0,779.0,61.1,779.0
Massee,Cook,919.0,109.0,437.0,49.0,0.0,595.0,595.0,64.7,595.0
New Life Baptist Church,Cook,1233.0,254.0,510.0,77.0,0.0,841.0,841.0,68.2,841.0
Riverbend,Cook,1280.0,137.0,576.0,122.0,0.0,835.0,835.0,65.2,835.0
Sparks,Cook,1049.0,158.0,218.0,83.0,0.0,459.0,459.0,43.8,459.0
