Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
Ashburn,Turner,3509.0,135.0,779.0,131.0,0.0,1045.0,279.0,639.0,227.0,1.0,1146.0,14.0,24.0,7.0,0.0,45.0,2236.0,63.7
Sycamore,Turner,1609.0,119.0,807.0,79.0,1.0,1006.0,31.0,99.0,26.0,0.0,156.0,1.0,9.0,0.0,0.0,10.0,1172.0,72.8
Rebecca,Turner,464.0,112.0,147.0,24.0,0.0,283.0,12.0,15.0,16.0,0.0,43.0,5.0,1.0,1.0,0.0,7.0,333.0,71.8
Alto Park,Floyd,3360.0,321.0,1137.0,294.0,9.0,1761.0,88.0,300.0,224.0,1.0,613.0,13.0,37.0,19.0,0.0,69.0,2443.0,72.7
Armuchee,Floyd,1269.0,277.0,389.0,107.0,2.0,775.0,34.0,77.0,38.0,0.0,149.0,6.0,7.0,9.0,0.0,22.0,946.0,74.5
Barkers,Floyd,2355.0,390.0,930.0,178.0,6.0,1504.0,41.0,108.0,81.0,0.0,230.0,10.0,17.0,7.0,0.0,34.0,1768.0,75.1
Cave Spring,Floyd,1617.0,409.0,326.0,125.0,2.0,862.0,67.0,62.0,102.0,2.0,233.0,18.0,9.0,4.0,0.0,31.0,1126.0,69.6
Chulio,Floyd,1155.0,274.0,333.0,91.0,9.0,707.0,33.0,49.0,54.0,1.0,137.0,9.0,4.0,5.0,1.0,19.0,863.0,74.7
Etowah,Floyd,4946.0,579.0,1914.0,414.0,6.0,2913.0,100.0,400.0,290.0,3.0,793.0,23.0,26.0,17.0,0.0,66.0,3772.0,76.3
Everett Springs,Floyd,421.0,175.0,72.0,22.0,5.0,274.0,24.0,9.0,20.0,0.0,53.0,2.0,1.0,3.0,0.0,6.0,333.0,79.1
Floyd Springs,Floyd,1666.0,406.0,585.0,139.0,19.0,1149.0,30.0,66.0,46.0,4.0,146.0,14.0,9.0,3.0,0.0,26.0,1321.0,79.3
Fosters Mill,Floyd,971.0,272.0,280.0,62.0,1.0,615.0,20.0,34.0,30.0,0.0,84.0,10.0,5.0,5.0,0.0,20.0,719.0,74.0
Garden Lakes,Floyd,2261.0,203.0,603.0,185.0,4.0,995.0,86.0,238.0,120.0,2.0,446.0,12.0,20.0,7.0,1.0,40.0,1481.0,65.5
Glenwood,Floyd,3635.0,503.0,1033.0,242.0,2.0,1780.0,109.0,247.0,185.0,2.0,543.0,21.0,34.0,20.0,0.0,75.0,2398.0,66.0
Howell,Floyd,1492.0,425.0,410.0,118.0,1.0,954.0,30.0,60.0,27.0,0.0,117.0,3.0,8.0,3.0,0.0,14.0,1085.0,72.7
East Lindale,Floyd,3398.0,427.0,1098.0,259.0,2.0,1786.0,95.0,276.0,170.0,0.0,541.0,23.0,26.0,14.0,0.0,63.0,2390.0,70.3
Mt Alto North,Floyd,5096.0,225.0,1165.0,312.0,5.0,1707.0,247.0,725.0,398.0,12.0,1382.0,29.0,46.0,20.0,0.0,95.0,3184.0,62.5
Mt Alto South,Floyd,3923.0,294.0,891.0,239.0,5.0,1429.0,246.0,521.0,297.0,4.0,1068.0,16.0,30.0,16.0,0.0,62.0,2559.0,65.2
North Carolina,Floyd,1865.0,265.0,551.0,123.0,1.0,940.0,39.0,106.0,59.0,3.0,207.0,11.0,21.0,8.0,0.0,40.0,1187.0,63.6
Riverside,Floyd,826.0,146.0,205.0,46.0,4.0,401.0,45.0,74.0,29.0,0.0,148.0,5.0,6.0,1.0,0.0,12.0,561.0,67.9
East Rome,Floyd,4238.0,265.0,805.0,253.0,2.0,1325.0,182.0,675.0,360.0,2.0,1219.0,16.0,35.0,16.0,0.0,67.0,2611.0,61.6
