Precinct,County,Registered Voters,Clint Dixon (Rep)_Election Day Votes,Clint Dixon (Rep)_Advanced Voting Votes,Clint Dixon (Rep)_Absentee by Mail Votes,Clint Dixon (Rep)_Provisional Votes,Clint Dixon (Rep)_Choice Total,Matielyn Jones (Dem)_Election Day Votes,Matielyn Jones (Dem)_Advanced Voting Votes,Matielyn Jones (Dem)_Absentee by Mail Votes,Matielyn Jones (Dem)_Provisional Votes,Matielyn Jones (Dem)_Choice Total,Total,calc_participation
SUWANEE A,Gwinnett,1737.0,120.0,302.0,139.0,0.0,561.0,96.0,368.0,196.0,0.0,660.0,1221.0,70.3
GOODWINS A,Gwinnett,3921.0,300.0,560.0,237.0,0.0,1097.0,247.0,777.0,536.0,0.0,1560.0,2657.0,67.8
DUNCANS A,Gwinnett,4729.0,369.0,1543.0,485.0,2.0,2399.0,113.0,727.0,469.0,0.0,1309.0,3708.0,78.4
PUCKETTS A,Gwinnett,5692.0,317.0,1996.0,657.0,1.0,2971.0,149.0,791.0,482.0,0.0,1422.0,4393.0,77.2
DUNCANS C,Gwinnett,3040.0,337.0,1031.0,306.0,0.0,1674.0,84.0,414.0,273.0,0.0,771.0,2445.0,80.4
SUGAR HILL A,Gwinnett,4654.0,410.0,863.0,356.0,1.0,1630.0,242.0,636.0,446.0,2.0,1326.0,2956.0,63.5
SUGAR HILL B,Gwinnett,5596.0,513.0,1173.0,430.0,10.0,2126.0,279.0,923.0,560.0,4.0,1766.0,3892.0,69.5
HOG MOUNTAIN A,Gwinnett,5011.0,313.0,744.0,317.0,0.0,1374.0,322.0,1064.0,629.0,0.0,2015.0,3389.0,67.6
ROCKYCREEK A,Gwinnett,5939.0,367.0,1132.0,301.0,0.0,1800.0,260.0,964.0,544.0,0.0,1768.0,3568.0,60.1
DUNCANS D,Gwinnett,7153.0,615.0,2104.0,750.0,3.0,3472.0,280.0,949.0,682.0,0.0,1911.0,5383.0,75.3
SUGAR HILL C,Gwinnett,5085.0,601.0,1251.0,456.0,1.0,2309.0,219.0,760.0,508.0,0.0,1487.0,3796.0,74.7
SUGAR HILL D,Gwinnett,4624.0,312.0,1181.0,339.0,5.0,1837.0,198.0,741.0,440.0,2.0,1381.0,3218.0,69.6
PUCKETTS E,Gwinnett,5660.0,304.0,1059.0,430.0,1.0,1794.0,230.0,1132.0,658.0,2.0,2022.0,3816.0,67.4
GOODWINS B,Gwinnett,3960.0,318.0,891.0,340.0,0.0,1549.0,193.0,628.0,526.0,0.0,1347.0,2896.0,73.1
GOODWINS D,Gwinnett,4406.0,390.0,662.0,311.0,0.0,1363.0,329.0,718.0,563.0,1.0,1611.0,2974.0,67.5
LAWRENCEVILLE H,Gwinnett,4296.0,196.0,425.0,241.0,1.0,863.0,138.0,454.0,316.0,1.0,909.0,1772.0,41.2
SUGAR HILL E,Gwinnett,3589.0,332.0,773.0,324.0,5.0,1434.0,146.0,643.0,373.0,2.0,1164.0,2598.0,72.4
GOODWINS F,Gwinnett,3212.0,197.0,455.0,253.0,0.0,905.0,179.0,602.0,472.0,0.0,1253.0,2158.0,67.2
SUWANEE B,Gwinnett,4656.0,250.0,1111.0,463.0,0.0,1824.0,124.0,966.0,569.0,0.0,1659.0,3483.0,74.8
PUCKETTS B,Gwinnett,3096.0,295.0,879.0,265.0,1.0,1440.0,110.0,476.0,279.0,0.0,865.0,2305.0,74.5
SUGAR HILL F,Gwinnett,4112.0,396.0,874.0,344.0,5.0,1619.0,200.0,599.0,467.0,2.0,1268.0,2887.0,70.2
GOODWINS G,Gwinnett,2661.0,143.0,264.0,97.0,2.0,506.0,247.0,584.0,357.0,1.0,1189.0,1695.0,63.7
DUNCANS B,Gwinnett,5387.0,578.0,1665.0,501.0,4.0,2748.0,205.0,745.0,478.0,1.0,1429.0,4177.0,77.5
SUWANEE D,Gwinnett,4732.0,434.0,1298.0,536.0,1.0,2269.0,155.0,717.0,587.0,0.0,1459.0,3728.0,78.8
SUWANEE E,Gwinnett,4256.0,364.0,1107.0,465.0,1.0,1937.0,120.0,745.0,538.0,0.0,1403.0,3340.0,78.5
LAWRENCEVILLE K,Gwinnett,3282.0,269.0,588.0,309.0,0.0,1166.0,170.0,629.0,455.0,0.0,1254.0,2420.0,73.7
PUCKETTS C,Gwinnett,3367.0,264.0,883.0,237.0,1.0,1385.0,118.0,520.0,325.0,0.0,963.0,2348.0,69.7
HOG MOUNTAIN C,Gwinnett,4292.0,345.0,929.0,346.0,0.0,1620.0,196.0,684.0,476.0,1.0,1357.0,2977.0,69.4
ROCKYCREEK B,Gwinnett,5061.0,371.0,1244.0,385.0,1.0,2001.0,222.0,943.0,479.0,1.0,1645.0,3646.0,72.0
SUWANEE H,Gwinnett,3785.0,331.0,1182.0,488.0,0.0,2001.0,108.0,525.0,414.0,0.0,1047.0,3048.0,80.5
SUGAR HILL G,Gwinnett,2814.0,297.0,788.0,264.0,0.0,1349.0,70.0,387.0,356.0,1.0,814.0,2163.0,76.9
SUWANEE F,Gwinnett,3966.0,305.0,789.0,339.0,2.0,1435.0,165.0,729.0,549.0,1.0,1444.0,2879.0,72.6
GOODWINS I,Gwinnett,2501.0,241.0,389.0,296.0,0.0,926.0,153.0,466.0,338.0,0.0,957.0,1883.0,75.3
PUCKETTS D,Gwinnett,3622.0,266.0,965.0,348.0,2.0,1581.0,132.0,549.0,377.0,0.0,1058.0,2639.0,72.9
