Precinct,County,Registered Voters,Tracy Taylor (Rep)_Election Day Votes,Tracy Taylor (Rep)_Advanced Voting Votes,Tracy Taylor (Rep)_Absentee by Mail Votes,Tracy Taylor (Rep)_Provisional Votes,Tracy Taylor (Rep)_Choice Total,Freddie Powell Sims (I) (Dem)_Election Day Votes,Freddie Powell Sims (I) (Dem)_Advanced Voting Votes,Freddie Powell Sims (I) (Dem)_Absentee by Mail Votes,Freddie Powell Sims (I) (Dem)_Provisional Votes,Freddie Powell Sims (I) (Dem)_Choice Total,Total,calc_participation
Preston 1,Webster,1705.0,127.0,446.0,100.0,0.0,673.0,138.0,261.0,238.0,0.0,637.0,1310.0,76.8
Georgetown,Quitman,1454.0,129.0,303.0,73.0,0.0,505.0,142.0,181.0,129.0,1.0,453.0,958.0,65.9
Morris,Quitman,93.0,19.0,7.0,5.0,0.0,31.0,16.0,5.0,10.0,0.0,31.0,62.0,66.7
Baconton,Mitchell,1129.0,151.0,199.0,37.0,0.0,387.0,103.0,124.0,107.0,0.0,334.0,721.0,63.9
Camilla North,Mitchell,1996.0,48.0,174.0,25.0,0.0,247.0,185.0,390.0,382.0,0.0,957.0,1204.0,60.3
Camilla South,Mitchell,3475.0,111.0,831.0,190.0,0.0,1132.0,166.0,571.0,436.0,1.0,1174.0,2306.0,66.4
Agri-Center,Sumter,2059.0,146.0,605.0,96.0,0.0,847.0,72.0,295.0,195.0,1.0,563.0,1410.0,68.5
Concord,Sumter,376.0,142.0,79.0,21.0,7.0,249.0,11.0,20.0,9.0,1.0,41.0,290.0,77.1
GSW Conf Center,Sumter,3044.0,125.0,707.0,214.0,0.0,1046.0,145.0,558.0,279.0,2.0,984.0,2030.0,66.7
Plains,Sumter,1061.0,141.0,182.0,47.0,1.0,371.0,116.0,142.0,117.0,0.0,375.0,746.0,70.3
Rec Dept,Sumter,2667.0,50.0,179.0,62.0,0.0,291.0,242.0,669.0,458.0,0.0,1369.0,1660.0,62.2
Reese Park,Sumter,3064.0,61.0,222.0,89.0,0.0,372.0,200.0,603.0,373.0,0.0,1176.0,1548.0,50.5
Thompson,Sumter,712.0,90.0,80.0,32.0,0.0,202.0,71.0,95.0,60.0,1.0,227.0,429.0,60.3
Anna,Baker,166.0,52.0,24.0,3.0,1.0,80.0,12.0,7.0,12.0,0.0,31.0,111.0,66.9
Elmodel,Baker,401.0,46.0,53.0,15.0,1.0,115.0,28.0,66.0,65.0,0.0,159.0,274.0,68.3
Hoggards Mill,Baker,351.0,42.0,50.0,10.0,0.0,102.0,36.0,36.0,43.0,0.0,115.0,217.0,61.8
Milford,Baker,270.0,56.0,47.0,18.0,0.0,121.0,30.0,17.0,25.0,0.0,72.0,193.0,71.5
Newton,Baker,1070.0,63.0,241.0,60.0,0.0,364.0,46.0,150.0,110.0,0.0,306.0,670.0,62.6
Richland,Stewart,1256.0,82.0,183.0,46.0,0.0,311.0,111.0,168.0,197.0,6.0,482.0,793.0,63.1
Louvale,Stewart,286.0,35.0,21.0,15.0,1.0,72.0,49.0,33.0,31.0,0.0,113.0,185.0,64.7
Lumpkin,Stewart,1134.0,43.0,178.0,28.0,2.0,251.0,63.0,256.0,120.0,1.0,440.0,691.0,60.9
Omaha,Stewart,217.0,42.0,16.0,8.0,1.0,67.0,25.0,13.0,15.0,1.0,54.0,121.0,55.8
