Precinct,County,Registered Voters,Jordan Raper (I) (Rep)_Election Day Votes,Jordan Raper (I) (Rep)_Advanced Voting Votes,Jordan Raper (I) (Rep)_Absentee by Mail Votes,Jordan Raper (I) (Rep)_Provisional Votes,Jordan Raper (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
01 Bethlehem Community Center,Barrow,3359.0,546.0,1126.0,318.0,0.0,1990.0,1990.0,59.2,1990.0
02 Bethlehem Church - 211,Barrow,6784.0,824.0,2734.0,826.0,0.0,4384.0,4384.0,64.6,4384.0
03 Hmong New Hope Alliance Church,Barrow,6364.0,998.0,1904.0,642.0,1.0,3545.0,3545.0,55.7,3545.0
04 Covenant Life Sanctuary,Barrow,4012.0,517.0,1300.0,386.0,0.0,2203.0,2203.0,54.9,2203.0
05 Fire Station 1 (Statham),Barrow,8336.0,1088.0,3057.0,874.0,0.0,5019.0,5019.0,60.2,5019.0
08 First Baptist Church Winder,Barrow,7009.0,823.0,2760.0,702.0,0.0,4285.0,4285.0,61.1,4285.0
13 Winder Community Center,Barrow,9393.0,899.0,2922.0,861.0,0.0,4682.0,4682.0,49.8,4682.0
16 The Church at Winder,Barrow,10348.0,1209.0,3441.0,998.0,2.0,5650.0,5650.0,54.6,5650.0
