Precinct,County,Registered Voters,Erica McCurdy (Rep)_Election Day Votes,Erica McCurdy (Rep)_Advanced Voting Votes,Erica McCurdy (Rep)_Absentee by Mail Votes,Erica McCurdy (Rep)_Provisional Votes,Erica McCurdy (Rep)_Choice Total,Beth Moore (I) (Dem)_Election Day Votes,Beth Moore (I) (Dem)_Advanced Voting Votes,Beth Moore (I) (Dem)_Absentee by Mail Votes,Beth Moore (I) (Dem)_Provisional Votes,Beth Moore (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
JC13A,Fulton,2317.0,92.0,788.0,217.0,0.0,1097.0,41.0,410.0,246.0,0.0,697.0,1794.0,77.4,1097.0,697.0
PINCKNEYVILLE C,Gwinnett,2082.0,256.0,279.0,250.0,1.0,786.0,119.0,343.0,371.0,4.0,837.0,1623.0,78.0,786.0,837.0
PINCKNEYVILLE E,Gwinnett,2184.0,110.0,98.0,64.0,1.0,273.0,235.0,495.0,272.0,3.0,1005.0,1278.0,58.5,273.0,1005.0
PINCKNEYVILLE H,Gwinnett,4536.0,330.0,712.0,433.0,1.0,1476.0,241.0,899.0,809.0,1.0,1950.0,3426.0,75.5,1476.0,1950.0
DULUTH C,Gwinnett,2229.0,54.0,81.0,74.0,0.0,209.0,51.0,151.0,112.0,0.0,314.0,523.0,23.5,209.0,314.0
PINCKNEYVILLE N,Gwinnett,3819.0,129.0,209.0,64.0,0.0,402.0,454.0,935.0,492.0,2.0,1883.0,2285.0,59.8,402.0,1883.0
PINCKNEYVILLE L,Gwinnett,2330.0,295.0,438.0,447.0,0.0,1180.0,106.0,276.0,433.0,0.0,815.0,1995.0,85.6,1180.0,815.0
PINCKNEYVILLE M,Gwinnett,2673.0,342.0,641.0,407.0,0.0,1390.0,87.0,321.0,430.0,0.0,838.0,2228.0,83.4,1390.0,838.0
PINCKNEYVILLE P,Gwinnett,2185.0,173.0,255.0,227.0,0.0,655.0,187.0,396.0,372.0,2.0,957.0,1612.0,73.8,655.0,957.0
DULUTH E,Gwinnett,4814.0,211.0,512.0,240.0,0.0,963.0,416.0,1175.0,746.0,3.0,2340.0,3303.0,68.6,963.0,2340.0
PINCKNEYVILLE U,Gwinnett,2090.0,194.0,202.0,129.0,0.0,525.0,230.0,411.0,305.0,5.0,951.0,1476.0,70.6,525.0,951.0
PINCKNEYVILLE W,Gwinnett,4253.0,137.0,326.0,232.0,0.0,695.0,93.0,389.0,343.0,0.0,825.0,1520.0,35.7,695.0,825.0
PINCKNEYVILLE X,Gwinnett,3412.0,228.0,553.0,370.0,7.0,1158.0,184.0,627.0,641.0,8.0,1460.0,2618.0,76.7,1158.0,1460.0
PINCKNEYVILLE Z,Gwinnett,1898.0,287.0,351.0,282.0,0.0,920.0,104.0,223.0,355.0,0.0,682.0,1602.0,84.4,920.0,682.0
PINCKNEYVILLE A1,Gwinnett,2694.0,306.0,560.0,428.0,0.0,1294.0,101.0,377.0,498.0,0.0,976.0,2270.0,84.3,1294.0,976.0
