Precinct,County,Registered Voters,Winfred Dukes (I) (Dem)_Election Day Votes,Winfred Dukes (I) (Dem)_Advanced Voting Votes,Winfred Dukes (I) (Dem)_Absentee by Mail Votes,Winfred Dukes (I) (Dem)_Provisional Votes,Winfred Dukes (I) (Dem)_Choice Total,Total,calc_participation
Anna,Baker,166.0,37.0,13.0,14.0,1.0,65.0,65.0,39.2
Elmodel,Baker,401.0,57.0,98.0,65.0,1.0,221.0,221.0,55.1
Hoggards Mill,Baker,351.0,61.0,69.0,52.0,0.0,182.0,182.0,51.9
Milford,Baker,270.0,58.0,43.0,28.0,0.0,129.0,129.0,47.8
Newton,Baker,1070.0,93.0,279.0,137.0,0.0,509.0,509.0,47.6
Colquitt-Miller,Miller,3912.0,436.0,916.0,351.0,1.0,1704.0,1704.0,43.6
Westover High School,Dougherty,3394.0,523.0,938.0,565.0,0.0,2026.0,2026.0,59.7
Darton College,Dougherty,4289.0,327.0,546.0,356.0,4.0,1233.0,1233.0,28.7
Westtown Elementary,Dougherty,3265.0,527.0,638.0,673.0,0.0,1838.0,1838.0,56.3
2nd Mt Zion Church,Dougherty,1465.0,277.0,241.0,225.0,2.0,745.0,745.0,50.9
Mt Zion Center,Dougherty,3638.0,566.0,569.0,636.0,2.0,1773.0,1773.0,48.7
Alice Coachman Elementary,Dougherty,750.0,131.0,163.0,208.0,0.0,502.0,502.0,66.9
Carver Teen Center,Dougherty,1667.0,233.0,154.0,230.0,2.0,619.0,619.0,37.1
Shiloh Baptist Church,Dougherty,1510.0,269.0,185.0,226.0,0.0,680.0,680.0,45.0
Litman Cathedral,Dougherty,1486.0,244.0,192.0,207.0,22.0,665.0,665.0,44.8
Radium Middle School,Dougherty,693.0,131.0,130.0,93.0,0.0,354.0,354.0,51.1
Putney 1st Baptist Church,Dougherty,2819.0,523.0,439.0,372.0,1.0,1335.0,1335.0,47.4
Lamar Reese Elementary,Dougherty,1098.0,178.0,201.0,268.0,4.0,651.0,651.0,59.3
Precinct 1,Seminole,1292.0,182.0,316.0,89.0,0.0,587.0,587.0,45.4
Precinct 2,Seminole,1122.0,101.0,315.0,70.0,0.0,486.0,486.0,43.3
Precinct 3,Seminole,1174.0,135.0,304.0,95.0,0.0,534.0,534.0,45.5
Precinct 4,Seminole,1121.0,202.0,258.0,51.0,0.0,511.0,511.0,45.6
Precinct 5,Seminole,1227.0,198.0,182.0,69.0,0.0,449.0,449.0,36.6
