Precinct,County,Registered Voters,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_Choice Total,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Pondtown,Dodge,689.0,197.0,133.0,54.0,0.0,384.0,36.0,28.0,43.0,0.0,107.0,491.0,71.3,384.0,107.0
Rawlins,Dodge,923.0,165.0,252.0,58.0,0.0,475.0,30.0,68.0,44.0,0.0,142.0,617.0,66.8,475.0,142.0
Vilula,Dodge,170.0,86.0,34.0,8.0,0.0,128.0,1.0,1.0,6.0,0.0,8.0,136.0,80.0,128.0,8.0
Yonker,Dodge,260.0,101.0,37.0,14.0,0.0,152.0,10.0,6.0,5.0,0.0,21.0,173.0,66.5,152.0,21.0
Lilly,Dooly,536.0,56.0,97.0,17.0,0.0,170.0,53.0,68.0,40.0,0.0,161.0,331.0,61.8,170.0,161.0
Byromville,Dooly,609.0,94.0,100.0,32.0,0.0,226.0,69.0,68.0,56.0,2.0,195.0,421.0,69.1,226.0,195.0
Unadilla,Dooly,1634.0,132.0,311.0,77.0,2.0,522.0,149.0,225.0,122.0,0.0,496.0,1018.0,62.3,522.0,496.0
Vienna,Dooly,2696.0,88.0,732.0,87.0,0.0,907.0,133.0,474.0,218.0,0.0,825.0,1732.0,64.2,907.0,825.0
Pinehurst,Dooly,474.0,89.0,152.0,42.0,0.0,283.0,26.0,37.0,20.0,0.0,83.0,366.0,77.2,283.0,83.0
Sylvester,Worth,3006.0,128.0,419.0,100.0,0.0,647.0,214.0,414.0,321.0,0.0,949.0,1596.0,53.1,647.0,949.0
Scooterville,Worth,603.0,193.0,145.0,34.0,0.0,372.0,6.0,6.0,9.0,0.0,21.0,393.0,65.2,372.0,21.0
Minton,Worth,543.0,180.0,151.0,36.0,0.0,367.0,6.0,9.0,12.0,0.0,27.0,394.0,72.6,367.0,27.0
Bridgeboro,Worth,1286.0,292.0,307.0,74.0,0.0,673.0,39.0,53.0,38.0,0.0,130.0,803.0,62.4,673.0,130.0
County Line,Worth,887.0,171.0,180.0,44.0,0.0,395.0,14.0,36.0,34.0,0.0,84.0,479.0,54.0,395.0,84.0
Isabella,Worth,1424.0,261.0,491.0,114.0,0.0,866.0,28.0,70.0,24.0,0.0,122.0,988.0,69.4,866.0,122.0
Piney Woods,Worth,336.0,45.0,58.0,16.0,0.0,119.0,22.0,38.0,21.0,0.0,81.0,200.0,59.5,119.0,81.0
Sylvester East,Worth,1406.0,169.0,445.0,100.0,0.0,714.0,37.0,107.0,60.0,0.0,204.0,918.0,65.3,714.0,204.0
Poulan,Worth,887.0,222.0,201.0,49.0,0.0,472.0,29.0,43.0,33.0,0.0,105.0,577.0,65.1,472.0,105.0
Sumner,Worth,871.0,218.0,193.0,48.0,0.0,459.0,29.0,35.0,43.0,0.0,107.0,566.0,65.0,459.0,107.0
Shingler,Worth,554.0,185.0,152.0,35.0,0.0,372.0,7.0,18.0,16.0,0.0,41.0,413.0,74.5,372.0,41.0
Red Rock,Worth,1287.0,275.0,233.0,58.0,0.0,566.0,39.0,46.0,60.0,0.0,145.0,711.0,55.2,566.0,145.0
Doles,Worth,449.0,156.0,95.0,33.0,0.0,284.0,5.0,14.0,10.0,0.0,29.0,313.0,69.7,284.0,29.0
Oakfield,Worth,229.0,55.0,42.0,6.0,0.0,103.0,6.0,14.0,27.0,0.0,47.0,150.0,65.5,103.0,47.0
Warwick,Worth,701.0,175.0,117.0,42.0,0.0,334.0,58.0,21.0,59.0,0.0,138.0,472.0,67.3,334.0,138.0
Tifton Northeast,Tift,3332.0,212.0,883.0,211.0,7.0,1313.0,135.0,417.0,170.0,6.0,728.0,2041.0,61.3,1313.0,728.0
Brighton,Tift,2219.0,326.0,981.0,161.0,0.0,1468.0,40.0,153.0,80.0,0.0,273.0,1741.0,78.5,1468.0,273.0
Brookfield,Tift,1501.0,303.0,509.0,67.0,0.0,879.0,41.0,64.0,37.0,0.0,142.0,1021.0,68.0,879.0,142.0
Chula,Tift,1314.0,309.0,481.0,111.0,1.0,902.0,20.0,78.0,45.0,0.0,143.0,1045.0,79.5,902.0,143.0
Docia,Tift,1056.0,225.0,429.0,81.0,1.0,736.0,21.0,33.0,28.0,0.0,82.0,818.0,77.5,736.0,82.0
Eldorado,Tift,1262.0,268.0,418.0,71.0,2.0,759.0,34.0,46.0,19.0,0.0,99.0,858.0,68.0,759.0,99.0
Omega,Tift,864.0,240.0,137.0,31.0,1.0,409.0,59.0,37.0,22.0,0.0,118.0,527.0,61.0,409.0,118.0
Ty Ty,Tift,1221.0,246.0,334.0,67.0,1.0,648.0,66.0,71.0,35.0,0.0,172.0,820.0,67.2,648.0,172.0
Tifton Northwest,Tift,3334.0,270.0,1168.0,213.0,0.0,1651.0,115.0,361.0,154.0,0.0,630.0,2281.0,68.4,1651.0,630.0
Tifton South,Tift,2366.0,66.0,292.0,51.0,0.0,409.0,175.0,329.0,223.0,4.0,731.0,1140.0,48.2,409.0,731.0
Mott-Litman Gym,Tift,2889.0,42.0,207.0,35.0,0.0,284.0,232.0,516.0,332.0,3.0,1083.0,1367.0,47.3,284.0,1083.0
Tifton Lodge,Tift,3091.0,185.0,974.0,200.0,0.0,1359.0,101.0,343.0,179.0,1.0,624.0,1983.0,64.2,1359.0,624.0
