Precinct,County,Registered Voters,"Noel Williams, Jr. (I) (Rep)_Election Day Votes","Noel Williams, Jr. (I) (Rep)_Advanced Voting Votes","Noel Williams, Jr. (I) (Rep)_Absentee by Mail Votes","Noel Williams, Jr. (I) (Rep)_Provisional Votes","Noel Williams, Jr. (I) (Rep)_Choice Total",Regina Awung (Dem)_Election Day Votes,Regina Awung (Dem)_Advanced Voting Votes,Regina Awung (Dem)_Absentee by Mail Votes,Regina Awung (Dem)_Provisional Votes,Regina Awung (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Rochelle North 1,Wilcox,558.0,28.0,49.0,14.0,0.0,91.0,88.0,93.0,39.0,0.0,220.0,311.0,55.7,91.0,220.0
Abbeville North 2,Wilcox,441.0,37.0,204.0,25.0,0.0,266.0,19.0,57.0,28.0,0.0,104.0,370.0,83.9,266.0,104.0
Pineview 2,Wilcox,630.0,122.0,106.0,34.0,0.0,262.0,83.0,50.0,44.0,0.0,177.0,439.0,69.7,262.0,177.0
Pitts 3,Wilcox,876.0,249.0,233.0,75.0,0.0,557.0,29.0,22.0,20.0,0.0,71.0,628.0,71.7,557.0,71.0
Rochelle South 4,Wilcox,1033.0,176.0,368.0,111.0,0.0,655.0,29.0,39.0,21.0,0.0,89.0,744.0,72.0,655.0,89.0
Abbeville South 5,Wilcox,1123.0,116.0,348.0,87.0,0.0,551.0,20.0,72.0,47.0,0.0,139.0,690.0,61.4,551.0,139.0
Courthouse Annex,Pulaski,5687.0,326.0,2145.0,324.0,1.0,2796.0,153.0,620.0,298.0,0.0,1071.0,3867.0,68.0,2796.0,1071.0
HAFS,Houston,1805.0,617.0,351.0,113.0,0.0,1081.0,96.0,75.0,95.0,0.0,266.0,1347.0,74.6,1081.0,266.0
HEFS,Houston,1372.0,337.0,261.0,93.0,2.0,693.0,152.0,76.0,101.0,4.0,333.0,1026.0,74.8,693.0,333.0
ROZR,Houston,13802.0,251.0,738.0,161.0,0.0,1150.0,61.0,133.0,109.0,0.0,303.0,1453.0,10.5,1150.0,303.0
VHS,Houston,6295.0,622.0,1043.0,267.0,1.0,1933.0,191.0,551.0,371.0,0.0,1113.0,3046.0,48.4,1933.0,1113.0
Arabi,Crisp,785.0,166.0,259.0,45.0,0.0,470.0,28.0,40.0,21.0,0.0,89.0,559.0,71.2,470.0,89.0
Coney,Crisp,859.0,137.0,423.0,97.0,0.0,657.0,4.0,26.0,20.0,0.0,50.0,707.0,82.3,657.0,50.0
Cordele,Crisp,8897.0,347.0,1947.0,542.0,3.0,2839.0,427.0,1127.0,647.0,0.0,2201.0,5040.0,56.6,2839.0,2201.0
Jamestown,Crisp,1196.0,210.0,502.0,148.0,0.0,860.0,12.0,38.0,25.0,1.0,76.0,936.0,78.3,860.0,76.0
Listonia,Crisp,817.0,192.0,303.0,87.0,0.0,582.0,4.0,10.0,6.0,0.0,20.0,602.0,73.7,582.0,20.0
