Precinct,County,Registered Voters,Burt Jones (I) (Rep)_Election Day Votes,Burt Jones (I) (Rep)_Advanced Voting Votes,Burt Jones (I) (Rep)_Absentee by Mail Votes,Burt Jones (I) (Rep)_Provisional Votes,Burt Jones (I) (Rep)_Choice Total,Veronica Brinson (Dem)_Election Day Votes,Veronica Brinson (Dem)_Advanced Voting Votes,Veronica Brinson (Dem)_Absentee by Mail Votes,Veronica Brinson (Dem)_Provisional Votes,Veronica Brinson (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Clinton,Jones,0.0,275.0,815.0,174.0,1.0,1265.0,53.0,218.0,132.0,0.0,403.0,1668.0,,1265.0,403.0
Pope,Jones,0.0,303.0,513.0,105.0,1.0,922.0,111.0,175.0,122.0,1.0,409.0,1331.0,,922.0,409.0
Barron,Jones,0.0,267.0,380.0,100.0,0.0,747.0,66.0,101.0,92.0,0.0,259.0,1006.0,,747.0,259.0
Sanders,Jones,0.0,91.0,12.0,11.0,0.0,114.0,13.0,5.0,7.0,0.0,25.0,139.0,,114.0,25.0
Finney,Jones,0.0,581.0,711.0,214.0,1.0,1507.0,79.0,219.0,172.0,0.0,470.0,1977.0,,1507.0,470.0
South Milledgeville,Baldwin,1259.0,39.0,113.0,32.0,0.0,184.0,95.0,290.0,187.0,0.0,572.0,756.0,60.0,184.0,572.0
City Hall Annex,Baldwin,957.0,42.0,77.0,39.0,0.0,158.0,63.0,141.0,108.0,1.0,313.0,471.0,49.2,158.0,313.0
Boddie,Baldwin,1381.0,38.0,81.0,20.0,0.0,139.0,132.0,234.0,164.0,0.0,530.0,669.0,48.4,139.0,530.0
Courthouse,Baldwin,506.0,28.0,72.0,14.0,0.0,114.0,29.0,72.0,60.0,0.0,161.0,275.0,54.3,114.0,161.0
Fire Dept,Baldwin,1481.0,43.0,141.0,39.0,0.0,223.0,90.0,348.0,249.0,0.0,687.0,910.0,61.4,223.0,687.0
North Milledgeville,Baldwin,2211.0,140.0,543.0,164.0,1.0,848.0,129.0,434.0,225.0,0.0,788.0,1636.0,74.0,848.0,788.0
Meriweather,Baldwin,2832.0,262.0,906.0,225.0,0.0,1393.0,110.0,450.0,220.0,0.0,780.0,2173.0,76.7,1393.0,780.0
East Baldwin,Baldwin,3826.0,278.0,1074.0,233.0,0.0,1585.0,171.0,618.0,315.0,0.0,1104.0,2689.0,70.3,1585.0,1104.0
Scottsboro,Baldwin,1101.0,127.0,225.0,50.0,3.0,405.0,60.0,121.0,93.0,0.0,274.0,679.0,61.7,405.0,274.0
North Baldwin,Baldwin,3515.0,318.0,1365.0,280.0,0.0,1963.0,77.0,370.0,260.0,0.0,707.0,2670.0,76.0,1963.0,707.0
West Baldwin,Baldwin,1862.0,175.0,472.0,104.0,0.0,751.0,94.0,275.0,191.0,0.0,560.0,1311.0,70.4,751.0,560.0
