Precinct,County,Registered Voters,Walter Rafolski (Rep)_Election Day Votes,Walter Rafolski (Rep)_Advanced Voting Votes,Walter Rafolski (Rep)_Absentee by Mail Votes,Walter Rafolski (Rep)_Provisional Votes,Walter Rafolski (Rep)_Choice Total,Taylor Ritz (Dem)_Election Day Votes,Taylor Ritz (Dem)_Advanced Voting Votes,Taylor Ritz (Dem)_Absentee by Mail Votes,Taylor Ritz (Dem)_Provisional Votes,Taylor Ritz (Dem)_Choice Total,Total,calc_participation
Sterling Elementary,Glynn,4578.0,409.0,1499.0,381.0,1.0,2290.0,97.0,332.0,241.0,2.0,672.0,2962.0,64.7
Brookman,Glynn,3460.0,399.0,1099.0,201.0,2.0,1701.0,76.0,339.0,218.0,2.0,635.0,2336.0,67.5
Satilla Marshes,Glynn,2824.0,303.0,903.0,226.0,0.0,1432.0,86.0,292.0,197.0,0.0,575.0,2007.0,71.1
Blythe Island Baptist,Glynn,2529.0,257.0,961.0,227.0,2.0,1447.0,51.0,163.0,90.0,0.0,304.0,1751.0,69.2
Christian Renewal,Glynn,3699.0,280.0,1424.0,465.0,3.0,2172.0,51.0,435.0,305.0,1.0,792.0,2964.0,80.1
Hampton River,Glynn,2823.0,214.0,1178.0,344.0,2.0,1738.0,29.0,265.0,262.0,0.0,556.0,2294.0,81.3
St William Catholic Church,Glynn,4333.0,276.0,1785.0,440.0,2.0,2503.0,51.0,527.0,378.0,0.0,956.0,3459.0,79.8
First Baptist,Glynn,4316.0,278.0,1641.0,469.0,0.0,2388.0,80.0,524.0,357.0,2.0,963.0,3351.0,77.6
Jekyll Island,Glynn,774.0,199.0,77.0,66.0,2.0,344.0,73.0,62.0,126.0,0.0,261.0,605.0,78.2
Sterling Church of God,Glynn,3925.0,371.0,1084.0,230.0,3.0,1688.0,123.0,431.0,248.0,1.0,803.0,2491.0,63.5
SE Baptist Bldg,Glynn,2109.0,209.0,559.0,129.0,1.0,898.0,71.0,192.0,102.0,1.0,366.0,1264.0,59.9
Career Academy,Glynn,2960.0,296.0,837.0,261.0,3.0,1397.0,82.0,282.0,186.0,0.0,550.0,1947.0,65.8
C B Greer School,Glynn,3288.0,307.0,956.0,247.0,1.0,1511.0,81.0,343.0,269.0,1.0,694.0,2205.0,67.1
Ballard,Glynn,3286.0,190.0,805.0,265.0,4.0,1264.0,125.0,345.0,196.0,1.0,667.0,1931.0,58.8
Northside Baptist,Glynn,3313.0,184.0,431.0,172.0,0.0,787.0,184.0,582.0,377.0,1.0,1144.0,1931.0,58.3
The Chapel,Glynn,2971.0,133.0,403.0,135.0,0.0,671.0,109.0,466.0,329.0,2.0,906.0,1577.0,53.1
College Place UMC,Glynn,2367.0,97.0,341.0,122.0,0.0,560.0,131.0,390.0,288.0,1.0,810.0,1370.0,57.9
Howard Coffin Park,Glynn,3320.0,149.0,343.0,134.0,0.0,626.0,177.0,568.0,381.0,2.0,1128.0,1754.0,52.8
Urbana-Perry Parks,Glynn,3638.0,48.0,90.0,41.0,1.0,180.0,289.0,700.0,508.0,2.0,1499.0,1679.0,46.2
Selden Park,Glynn,1439.0,50.0,119.0,28.0,1.0,198.0,72.0,191.0,162.0,1.0,426.0,624.0,43.4
