Precinct,County,Registered Voters,Derrick L. Jackson (I) (Dem)_Election Day Votes,Derrick L. Jackson (I) (Dem)_Advanced Voting Votes,Derrick L. Jackson (I) (Dem)_Absentee by Mail Votes,Derrick L. Jackson (I) (Dem)_Provisional Votes,Derrick L. Jackson (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
CP051,Fulton,1756.0,147.0,532.0,244.0,0.0,923.0,923.0,52.6,923.0
CP07C,Fulton,323.0,18.0,46.0,10.0,0.0,74.0,74.0,22.9,74.0
CP07D,Fulton,790.0,63.0,129.0,38.0,0.0,230.0,230.0,29.1,230.0
CP07E,Fulton,127.0,18.0,19.0,2.0,0.0,39.0,39.0,30.7,39.0
CP07F,Fulton,266.0,23.0,37.0,5.0,0.0,65.0,65.0,24.4,65.0
FA01C,Fulton,769.0,61.0,290.0,105.0,1.0,457.0,457.0,59.4,457.0
SC08B,Fulton,4096.0,277.0,1536.0,638.0,9.0,2460.0,2460.0,60.1,2460.0
SC08E,Fulton,724.0,59.0,305.0,62.0,4.0,430.0,430.0,59.4,430.0
SC09B,Fulton,1920.0,121.0,726.0,356.0,1.0,1204.0,1204.0,62.7,1204.0
SC11B,Fulton,1691.0,117.0,542.0,303.0,2.0,964.0,964.0,57.0,964.0
SC17C,Fulton,1293.0,76.0,494.0,180.0,0.0,750.0,750.0,58.0,750.0
SC19B,Fulton,1628.0,139.0,426.0,211.0,10.0,786.0,786.0,48.3,786.0
SC211,Fulton,1828.0,102.0,834.0,293.0,0.0,1229.0,1229.0,67.2,1229.0
SC212,Fulton,4244.0,263.0,1736.0,613.0,10.0,2622.0,2622.0,61.8,2622.0
SC23B,Fulton,557.0,56.0,166.0,110.0,2.0,334.0,334.0,60.0,334.0
SC29A,Fulton,3154.0,276.0,958.0,547.0,9.0,1790.0,1790.0,56.8,1790.0
UC031,Fulton,2745.0,158.0,670.0,449.0,22.0,1299.0,1299.0,47.3,1299.0
UC032,Fulton,393.0,21.0,136.0,75.0,0.0,232.0,232.0,59.0,232.0
Blackrock,Fayette,2699.0,193.0,937.0,516.0,5.0,1651.0,1651.0,61.2,1651.0
Fayetteville West,Fayette,2362.0,153.0,715.0,371.0,1.0,1240.0,1240.0,52.5,1240.0
Hopeful,Fayette,2309.0,212.0,658.0,393.0,1.0,1264.0,1264.0,54.7,1264.0
Morning Creek,Fayette,3059.0,96.0,527.0,345.0,0.0,968.0,968.0,31.6,968.0
Rareover,Fayette,3045.0,130.0,997.0,260.0,1.0,1388.0,1388.0,45.6,1388.0
Sandy Creek,Fayette,4848.0,245.0,1804.0,632.0,5.0,2686.0,2686.0,55.4,2686.0
Dogwood,Fayette,3092.0,204.0,908.0,412.0,0.0,1524.0,1524.0,49.3,1524.0
Oak Ridge,Fayette,2225.0,40.0,197.0,115.0,1.0,353.0,353.0,15.9,353.0
