Precinct,County,Registered Voters,William 'Bill' Jopling (I) (Rep)_Election Day Votes,William 'Bill' Jopling (I) (Rep)_Advanced Voting Votes,William 'Bill' Jopling (I) (Rep)_Absentee by Mail Votes,William 'Bill' Jopling (I) (Rep)_Provisional Votes,William 'Bill' Jopling (I) (Rep)_Choice Total,Charles Reese (Dem)_Election Day Votes,Charles Reese (Dem)_Advanced Voting Votes,Charles Reese (Dem)_Absentee by Mail Votes,Charles Reese (Dem)_Provisional Votes,Charles Reese (Dem)_Choice Total,Total,calc_participation
132,McDuffie,1507.0,106.0,743.0,148.0,0.0,997.0,12.0,81.0,59.0,0.0,152.0,1149.0,76.2
133A,McDuffie,1278.0,73.0,264.0,45.0,0.0,382.0,10.0,44.0,19.0,0.0,73.0,455.0,35.6
133B,McDuffie,1959.0,186.0,695.0,116.0,0.0,997.0,36.0,129.0,91.0,0.0,256.0,1253.0,64.0
134,McDuffie,1908.0,5.0,50.0,14.0,0.0,69.0,4.0,19.0,7.0,0.0,30.0,99.0,5.2
135,McDuffie,3089.0,116.0,743.0,162.0,0.0,1021.0,47.0,225.0,97.0,0.0,369.0,1390.0,45.0
137,McDuffie,1202.0,67.0,558.0,118.0,0.0,743.0,26.0,102.0,62.0,0.0,190.0,933.0,77.6
139,McDuffie,978.0,66.0,299.0,64.0,0.0,429.0,37.0,142.0,97.0,0.0,276.0,705.0,72.1
