Precinct,County,Registered Voters,Mark Crenshaw (Rep)_Election Day Votes,Mark Crenshaw (Rep)_Advanced Voting Votes,Mark Crenshaw (Rep)_Absentee by Mail Votes,Mark Crenshaw (Rep)_Provisional Votes,Mark Crenshaw (Rep)_Choice Total,Total,Bennie Calloway (I) (Dem)_Election Day Votes,Bennie Calloway (I) (Dem)_Advanced Voting Votes,Bennie Calloway (I) (Dem)_Absentee by Mail Votes,Bennie Calloway (I) (Dem)_Provisional Votes,Bennie Calloway (I) (Dem)_Choice Total,calc_participation
Arabi,Crisp,785.0,181.0,279.0,53.0,0.0,513.0,513.0,,,,,,65.4
Coney,Crisp,859.0,140.0,434.0,110.0,0.0,684.0,684.0,,,,,,79.6
Cordele,Crisp,8897.0,310.0,1957.0,564.0,3.0,2834.0,2834.0,,,,,,31.9
Jamestown,Crisp,1196.0,219.0,514.0,157.0,1.0,891.0,891.0,,,,,,74.5
Listonia,Crisp,817.0,195.0,307.0,83.0,0.0,585.0,585.0,,,,,,71.6
East,Ben Hill,3956.0,,,,,,1652.0,216.0,1040.0,396.0,0.0,1652.0,41.8
West,Ben Hill,5898.0,,,,,,676.0,110.0,386.0,180.0,0.0,676.0,11.5
