Precinct,County,Registered Voters,Alex B. Kaufman (Rep)_Election Day Votes,Alex B. Kaufman (Rep)_Advanced Voting Votes,Alex B. Kaufman (Rep)_Absentee by Mail Votes,Alex B. Kaufman (Rep)_Provisional Votes,Alex B. Kaufman (Rep)_Choice Total,Josh McLaurin (I) (Dem)_Election Day Votes,Josh McLaurin (I) (Dem)_Advanced Voting Votes,Josh McLaurin (I) (Dem)_Absentee by Mail Votes,Josh McLaurin (I) (Dem)_Provisional Votes,Josh McLaurin (I) (Dem)_Choice Total,Total,calc_participation
JC18,Fulton,2857.0,102.0,888.0,254.0,2.0,1246.0,51.0,632.0,350.0,1.0,1034.0,2280.0,79.8
JC19,Fulton,4174.0,127.0,1020.0,285.0,5.0,1437.0,91.0,980.0,591.0,8.0,1670.0,3107.0,74.4
RW04,Fulton,1861.0,68.0,479.0,161.0,1.0,709.0,31.0,477.0,298.0,0.0,806.0,1515.0,81.4
RW06,Fulton,3071.0,157.0,683.0,180.0,2.0,1022.0,86.0,747.0,384.0,2.0,1219.0,2241.0,73.0
RW20,Fulton,2701.0,81.0,791.0,236.0,4.0,1112.0,41.0,654.0,334.0,3.0,1032.0,2144.0,79.4
RW21,Fulton,3362.0,95.0,1116.0,325.0,11.0,1547.0,70.0,622.0,349.0,9.0,1050.0,2597.0,77.2
RW22A,Fulton,4788.0,142.0,769.0,246.0,9.0,1166.0,193.0,1259.0,476.0,6.0,1934.0,3100.0,64.7
SS01,Fulton,4846.0,248.0,1382.0,574.0,2.0,2206.0,53.0,841.0,683.0,3.0,1580.0,3786.0,78.1
SS15A,Fulton,2756.0,69.0,140.0,36.0,1.0,246.0,210.0,766.0,265.0,5.0,1246.0,1492.0,54.1
SS15B,Fulton,1730.0,96.0,212.0,68.0,0.0,376.0,115.0,433.0,170.0,2.0,720.0,1096.0,63.4
SS17,Fulton,3686.0,200.0,790.0,325.0,4.0,1319.0,142.0,741.0,455.0,10.0,1348.0,2667.0,72.4
SS20,Fulton,2404.0,65.0,308.0,104.0,4.0,481.0,126.0,563.0,317.0,8.0,1014.0,1495.0,62.2
SS26,Fulton,3824.0,53.0,265.0,83.0,6.0,407.0,219.0,1160.0,356.0,10.0,1745.0,2152.0,56.3
