Precinct,County,Registered Voters,Tim Burgess (I) (Rep)_Election Day Votes,Tim Burgess (I) (Rep)_Advanced Voting Votes,Tim Burgess (I) (Rep)_Absentee by Mail Votes,Tim Burgess (I) (Rep)_Provisional Votes,Tim Burgess (I) (Rep)_Choice Total,Laura Williams Ormes (Dem)_Election Day Votes,Laura Williams Ormes (Dem)_Advanced Voting Votes,Laura Williams Ormes (Dem)_Absentee by Mail Votes,Laura Williams Ormes (Dem)_Provisional Votes,Laura Williams Ormes (Dem)_Choice Total,Total,Bobby E. Hall (I) (Rep)_Election Day Votes,Bobby E. Hall (I) (Rep)_Advanced Voting Votes,Bobby E. Hall (I) (Rep)_Absentee by Mail Votes,Bobby E. Hall (I) (Rep)_Provisional Votes,Bobby E. Hall (I) (Rep)_Choice Total,Steven Cabe (I) (Rep)_Election Day Votes,Steven Cabe (I) (Rep)_Advanced Voting Votes,Steven Cabe (I) (Rep)_Absentee by Mail Votes,Steven Cabe (I) (Rep)_Provisional Votes,Steven Cabe (I) (Rep)_Choice Total,Sue Finley (I) (Rep)_Election Day Votes,Sue Finley (I) (Rep)_Advanced Voting Votes,Sue Finley (I) (Rep)_Absentee by Mail Votes,Sue Finley (I) (Rep)_Provisional Votes,Sue Finley (I) (Rep)_Choice Total,Lynne Massey Wheeler (I) (Rep)_Election Day Votes,Lynne Massey Wheeler (I) (Rep)_Advanced Voting Votes,Lynne Massey Wheeler (I) (Rep)_Absentee by Mail Votes,Lynne Massey Wheeler (I) (Rep)_Provisional Votes,Lynne Massey Wheeler (I) (Rep)_Choice Total,calc_participation
City Hall,Oconee,3910.0,262.0,1384.0,348.0,0.0,1994.0,95.0,698.0,363.0,0.0,1156.0,3150.0,,,,,,,,,,,,,,,,,,,,,80.6
Colham Ferry,Oconee,1847.0,188.0,790.0,181.0,0.0,1159.0,29.0,227.0,152.0,0.0,408.0,1567.0,,,,,,,,,,,,,,,,,,,,,84.8
Antioch,Oconee,1397.0,215.0,525.0,135.0,0.0,875.0,40.0,113.0,100.0,0.0,253.0,1128.0,,,,,,,,,,,,,,,,,,,,,80.7
Farmington,Oconee,737.0,147.0,243.0,48.0,0.0,438.0,16.0,75.0,60.0,0.0,151.0,589.0,,,,,,,,,,,,,,,,,,,,,79.9
Bishop,Oconee,1938.0,199.0,782.0,166.0,1.0,1148.0,55.0,228.0,158.0,1.0,442.0,1590.0,,,,,,,,,,,,,,,,,,,,,82.0
High Shoals,Oconee,1939.0,211.0,851.0,175.0,0.0,1237.0,36.0,256.0,111.0,0.0,403.0,1640.0,,,,,,,,,,,,,,,,,,,,,84.6
North Oconee,Oconee,1244.0,165.0,518.0,127.0,0.0,810.0,25.0,135.0,68.0,0.0,228.0,1038.0,,,,,,,,,,,,,,,,,,,,,83.4
Dark Corner,Oconee,3541.0,421.0,1633.0,342.0,1.0,2397.0,59.0,321.0,188.0,0.0,568.0,2965.0,,,,,,,,,,,,,,,,,,,,,83.7
Bogart,Oconee,2384.0,300.0,835.0,225.0,0.0,1360.0,77.0,251.0,161.0,0.0,489.0,1849.0,,,,,,,,,,,,,,,,,,,,,77.6
Marswood Hall,Oconee,4091.0,269.0,1562.0,569.0,1.0,2401.0,64.0,507.0,430.0,0.0,1001.0,3402.0,,,,,,,,,,,,,,,,,,,,,83.2
