Precinct,County,Registered Voters,Penny A. Penn (I) (Rep)_Election Day Votes,Penny A. Penn (I) (Rep)_Advanced Voting Votes,Penny A. Penn (I) (Rep)_Absentee by Mail Votes,Penny A. Penn (I) (Rep)_Provisional Votes,Penny A. Penn (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
01 Big Creek,Forsyth,11222.0,700.0,4605.0,1906.0,5.0,7216.0,7216.0,64.3,7216.0
02 Brandywine,Forsyth,4500.0,499.0,1275.0,609.0,2.0,2385.0,2385.0,53.0,2385.0
03 Browns Bridge,Forsyth,10740.0,914.0,4786.0,1337.0,3.0,7040.0,7040.0,65.5,7040.0
04 Chestatee,Forsyth,6776.0,635.0,3242.0,746.0,2.0,4625.0,4625.0,68.3,4625.0
05 Coal Mountain,Forsyth,7852.0,705.0,3674.0,814.0,1.0,5194.0,5194.0,66.1,5194.0
06 Crossroads,Forsyth,7061.0,584.0,3355.0,604.0,1.0,4544.0,4544.0,64.4,4544.0
07 Cumming,Forsyth,6281.0,425.0,2490.0,786.0,1.0,3702.0,3702.0,58.9,3702.0
08 Mashburn,Forsyth,8296.0,693.0,3721.0,1216.0,2.0,5632.0,5632.0,67.9,5632.0
10 Midway,Forsyth,11631.0,732.0,5864.0,1570.0,4.0,8170.0,8170.0,70.2,8170.0
15 Heardsville,Forsyth,8091.0,707.0,3922.0,959.0,0.0,5588.0,5588.0,69.1,5588.0
16 Otwell,Forsyth,6333.0,492.0,2812.0,906.0,3.0,4213.0,4213.0,66.5,4213.0
19 Old Atlanta,Forsyth,3739.0,229.0,1747.0,501.0,0.0,2477.0,2477.0,66.2,2477.0
21 South Forsyth,Forsyth,8318.0,372.0,4011.0,1294.0,3.0,5680.0,5680.0,68.3,5680.0
25 Windermere,Forsyth,9714.0,618.0,4489.0,1326.0,3.0,6436.0,6436.0,66.3,6436.0
27 Concord,Forsyth,9858.0,971.0,4931.0,974.0,3.0,6879.0,6879.0,69.8,6879.0
29 Polo,Forsyth,11222.0,838.0,4605.0,1792.0,0.0,7235.0,7235.0,64.5,7235.0
34 Fowler,Forsyth,4965.0,399.0,1981.0,700.0,1.0,3081.0,3081.0,62.1,3081.0
35 Johns Creek,Forsyth,8444.0,377.0,3435.0,1451.0,1.0,5264.0,5264.0,62.3,5264.0
36 Nichols,Forsyth,6989.0,429.0,3347.0,947.0,4.0,4727.0,4727.0,67.6,4727.0
37 Sawnee,Forsyth,11952.0,669.0,5790.0,1581.0,4.0,8044.0,8044.0,67.3,8044.0
