Precinct,County,Registered Voters,Gloria Frazier (I) (Dem)_Election Day Votes,Gloria Frazier (I) (Dem)_Advanced Voting Votes,Gloria Frazier (I) (Dem)_Absentee by Mail Votes,Gloria Frazier (I) (Dem)_Provisional Votes,Gloria Frazier (I) (Dem)_Choice Total,Total,calc_participation
401,Richmond,2093.0,249.0,729.0,501.0,0.0,1479.0,1479.0,70.7
404,Richmond,1748.0,250.0,481.0,364.0,4.0,1099.0,1099.0,62.9
405,Richmond,4424.0,366.0,1511.0,1134.0,2.0,3013.0,3013.0,68.1
406,Richmond,3221.0,351.0,1033.0,818.0,3.0,2205.0,2205.0,68.5
509,Richmond,2172.0,233.0,645.0,458.0,3.0,1339.0,1339.0,61.6
607,Richmond,1812.0,204.0,547.0,427.0,1.0,1179.0,1179.0,65.1
804,Richmond,2096.0,252.0,512.0,312.0,0.0,1076.0,1076.0,51.3
804H,Richmond,2863.0,379.0,626.0,450.0,4.0,1459.0,1459.0,51.0
807,Richmond,1578.0,179.0,367.0,270.0,0.0,816.0,816.0,51.7
809,Richmond,879.0,85.0,321.0,199.0,2.0,607.0,607.0,69.1
810,Richmond,425.0,37.0,122.0,67.0,0.0,226.0,226.0,53.2
Alexander,Burke,389.0,70.0,41.0,72.0,0.0,183.0,183.0,47.0
Four Points,Burke,2558.0,370.0,473.0,232.0,0.0,1075.0,1075.0,42.0
Girard,Burke,733.0,142.0,94.0,95.0,0.0,331.0,331.0,45.2
Gough,Burke,434.0,72.0,58.0,99.0,0.0,229.0,229.0,52.8
Greenscut,Burke,1036.0,168.0,189.0,111.0,0.0,468.0,468.0,45.2
Keysville,Burke,476.0,123.0,29.0,33.0,0.0,185.0,185.0,38.9
Midville,Burke,492.0,128.0,35.0,65.0,0.0,228.0,228.0,46.3
Munnerlyn,Burke,299.0,52.0,48.0,29.0,0.0,129.0,129.0,43.1
Sardis,Burke,1049.0,228.0,138.0,77.0,0.0,443.0,443.0,42.2
Scotts Crossroads,Burke,294.0,55.0,48.0,45.0,0.0,148.0,148.0,50.3
Telfair,Burke,1121.0,152.0,201.0,139.0,0.0,492.0,492.0,43.9
St Clair,Burke,442.0,75.0,82.0,71.0,0.0,228.0,228.0,51.6
Vidette,Burke,313.0,70.0,28.0,42.0,0.0,140.0,140.0,44.7
North Waynesboro,Burke,2949.0,312.0,660.0,516.0,0.0,1488.0,1488.0,50.5
South Waynesboro,Burke,3290.0,347.0,910.0,395.0,0.0,1652.0,1652.0,50.2
Blakeney,Burke,681.0,90.0,156.0,69.0,0.0,315.0,315.0,46.3
