Precinct,County,Registered Voters,Don Hogan (I) (Rep)_Election Day Votes,Don Hogan (I) (Rep)_Advanced Voting Votes,Don Hogan (I) (Rep)_Absentee by Mail Votes,Don Hogan (I) (Rep)_Provisional Votes,Don Hogan (I) (Rep)_Choice Total,Julie Jordan (Dem)_Election Day Votes,Julie Jordan (Dem)_Advanced Voting Votes,Julie Jordan (Dem)_Absentee by Mail Votes,Julie Jordan (Dem)_Provisional Votes,Julie Jordan (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Brookman,Glynn,3460.0,393.0,1082.0,198.0,2.0,1675.0,87.0,373.0,227.0,2.0,689.0,2364.0,68.3,1675.0,689.0
Satilla Marshes,Glynn,2824.0,293.0,901.0,216.0,0.0,1410.0,100.0,307.0,214.0,0.0,621.0,2031.0,71.9,1410.0,621.0
Blythe Island Baptist,Glynn,2529.0,260.0,948.0,217.0,1.0,1426.0,55.0,183.0,106.0,0.0,344.0,1770.0,70.0,1426.0,344.0
Hampton River,Glynn,2823.0,200.0,1140.0,327.0,2.0,1669.0,47.0,327.0,292.0,0.0,666.0,2335.0,82.7,1669.0,666.0
St William Catholic Church,Glynn,4333.0,265.0,1720.0,418.0,1.0,2404.0,70.0,623.0,423.0,1.0,1117.0,3521.0,81.3,2404.0,1117.0
First Baptist,Glynn,4316.0,272.0,1614.0,453.0,0.0,2339.0,94.0,576.0,392.0,2.0,1064.0,3403.0,78.8,2339.0,1064.0
Jekyll Island,Glynn,774.0,185.0,75.0,58.0,2.0,320.0,87.0,66.0,137.0,0.0,290.0,610.0,78.8,320.0,290.0
Ballard,Glynn,3286.0,192.0,803.0,257.0,3.0,1255.0,127.0,370.0,206.0,1.0,704.0,1959.0,59.6,1255.0,704.0
Northside Baptist,Glynn,3313.0,175.0,425.0,154.0,0.0,754.0,206.0,601.0,397.0,1.0,1205.0,1959.0,59.1,754.0,1205.0
The Chapel,Glynn,2971.0,130.0,400.0,129.0,0.0,659.0,121.0,485.0,345.0,2.0,953.0,1612.0,54.3,659.0,953.0
College Place UMC,Glynn,2367.0,95.0,328.0,115.0,0.0,538.0,139.0,411.0,299.0,2.0,851.0,1389.0,58.7,538.0,851.0
Howard Coffin Park,Glynn,3320.0,145.0,338.0,114.0,1.0,598.0,187.0,592.0,410.0,2.0,1191.0,1789.0,53.9,598.0,1191.0
Urbana-Perry Parks,Glynn,3638.0,55.0,87.0,51.0,1.0,194.0,301.0,724.0,509.0,2.0,1536.0,1730.0,47.6,194.0,1536.0
Selden Park,Glynn,1439.0,48.0,125.0,26.0,1.0,200.0,81.0,191.0,166.0,3.0,441.0,641.0,44.5,200.0,441.0
