Precinct,County,Registered Voters,"Pedro """"Pete"""" Marin (I) (Dem)_Election Day Votes","Pedro """"Pete"""" Marin (I) (Dem)_Advanced Voting Votes","Pedro """"Pete"""" Marin (I) (Dem)_Absentee by Mail Votes","Pedro """"Pete"""" Marin (I) (Dem)_Provisional Votes","Pedro """"Pete"""" Marin (I) (Dem)_Choice Total",Total,calc_participation
PINCKNEYVILLE A,Gwinnett,2791.0,392.0,652.0,372.0,5.0,1421.0,1421.0,50.9
DULUTH B,Gwinnett,3551.0,326.0,767.0,681.0,1.0,1775.0,1775.0,50.0
PINCKNEYVILLE I,Gwinnett,2635.0,310.0,647.0,360.0,2.0,1319.0,1319.0,50.1
DULUTH D,Gwinnett,5077.0,429.0,1329.0,814.0,10.0,2582.0,2582.0,50.9
PINCKNEYVILLE S,Gwinnett,3374.0,420.0,733.0,529.0,2.0,1684.0,1684.0,49.9
DULUTH F,Gwinnett,6161.0,395.0,910.0,531.0,1.0,1837.0,1837.0,29.8
PINCKNEYVILLE T,Gwinnett,3201.0,342.0,724.0,522.0,2.0,1590.0,1590.0,49.7
PINCKNEYVILLE W,Gwinnett,4253.0,240.0,476.0,312.0,2.0,1030.0,1030.0,24.2
DULUTH I,Gwinnett,5105.0,64.0,198.0,274.0,1.0,537.0,537.0,10.5
DULUTH K,Gwinnett,2786.0,265.0,628.0,346.0,1.0,1240.0,1240.0,44.5
