Precinct,County,Registered Voters,Sheikh Rahman (I) (Dem)_Election Day Votes,Sheikh Rahman (I) (Dem)_Advanced Voting Votes,Sheikh Rahman (I) (Dem)_Absentee by Mail Votes,Sheikh Rahman (I) (Dem)_Provisional Votes,Sheikh Rahman (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
MARTINS A,Gwinnett,3303.0,379.0,859.0,465.0,4.0,1707.0,1707.0,51.7,1707.0
MARTINS B,Gwinnett,3001.0,335.0,765.0,412.0,1.0,1513.0,1513.0,50.4,1513.0
PINCKNEYVILLE A,Gwinnett,2791.0,381.0,641.0,370.0,3.0,1395.0,1395.0,50.0,1395.0
PINCKNEYVILLE B,Gwinnett,3485.0,349.0,831.0,425.0,4.0,1609.0,1609.0,46.2,1609.0
PINCKNEYVILLE D,Gwinnett,2264.0,293.0,478.0,238.0,3.0,1012.0,1012.0,44.7,1012.0
PINCKNEYVILLE F,Gwinnett,2546.0,299.0,559.0,362.0,1.0,1221.0,1221.0,48.0,1221.0
MARTINS D,Gwinnett,2402.0,305.0,481.0,322.0,0.0,1108.0,1108.0,46.1,1108.0
PINCKNEYVILLE I,Gwinnett,2635.0,306.0,631.0,354.0,2.0,1293.0,1293.0,49.1,1293.0
PINCKNEYVILLE J,Gwinnett,2613.0,302.0,676.0,292.0,2.0,1272.0,1272.0,48.7,1272.0
PINCKNEYVILLE K,Gwinnett,3754.0,259.0,477.0,230.0,5.0,971.0,971.0,25.9,971.0
LAWRENCEVILLE D,Gwinnett,5012.0,517.0,1170.0,592.0,6.0,2285.0,2285.0,45.6,2285.0
PINCKNEYVILLE O,Gwinnett,3359.0,335.0,874.0,392.0,4.0,1605.0,1605.0,47.8,1605.0
LAWRENCEVILLE F,Gwinnett,4061.0,380.0,1236.0,637.0,3.0,2256.0,2256.0,55.6,2256.0
MARTINS E,Gwinnett,6193.0,679.0,1494.0,706.0,3.0,2882.0,2882.0,46.5,2882.0
PINCKNEYVILLE Q,Gwinnett,1915.0,315.0,458.0,237.0,1.0,1011.0,1011.0,52.8,1011.0
LAWRENCEVILLE G,Gwinnett,3046.0,293.0,870.0,458.0,2.0,1623.0,1623.0,53.3,1623.0
MARTINS F,Gwinnett,2570.0,291.0,530.0,379.0,2.0,1202.0,1202.0,46.8,1202.0
PINCKNEYVILLE S,Gwinnett,3374.0,403.0,712.0,503.0,2.0,1620.0,1620.0,48.0,1620.0
MARTINS G,Gwinnett,2425.0,311.0,581.0,317.0,1.0,1210.0,1210.0,49.9,1210.0
PINCKNEYVILLE V,Gwinnett,1706.0,155.0,400.0,243.0,1.0,799.0,799.0,46.8,799.0
PINCKNEYVILLE W,Gwinnett,4253.0,372.0,957.0,701.0,4.0,2034.0,2034.0,47.8,2034.0
MARTINS H,Gwinnett,5037.0,485.0,1241.0,808.0,6.0,2540.0,2540.0,50.4,2540.0
MARTINS I,Gwinnett,4078.0,440.0,947.0,616.0,4.0,2007.0,2007.0,49.2,2007.0
MARTINS J,Gwinnett,3923.0,532.0,1027.0,542.0,1.0,2102.0,2102.0,53.6,2102.0
PINCKNEYVILLE Y,Gwinnett,3272.0,414.0,696.0,377.0,1.0,1488.0,1488.0,45.5,1488.0
LAWRENCEVILLE J,Gwinnett,2249.0,249.0,621.0,320.0,1.0,1191.0,1191.0,53.0,1191.0
LAWRENCEVILLE M,Gwinnett,7255.0,636.0,2265.0,1130.0,4.0,4035.0,4035.0,55.6,4035.0
