Precinct,County,Registered Voters,Trey Rhodes (I) (Rep)_Election Day Votes,Trey Rhodes (I) (Rep)_Advanced Voting Votes,Trey Rhodes (I) (Rep)_Absentee by Mail Votes,Trey Rhodes (I) (Rep)_Provisional Votes,Trey Rhodes (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Senior Citizen Center,Wilkes,1552.0,128.0,386.0,139.0,5.0,658.0,658.0,42.4,658.0
Edward B Pope Center,Wilkes,1017.0,112.0,191.0,68.0,0.0,371.0,371.0,36.5,371.0
Rayle City Hall,Wilkes,570.0,140.0,127.0,51.0,1.0,319.0,319.0,56.0,319.0
Courthouse,Wilkes,1001.0,98.0,386.0,108.0,0.0,592.0,592.0,59.1,592.0
Tignal Sch Lunch Rm,Wilkes,896.0,193.0,229.0,98.0,0.0,520.0,520.0,58.0,520.0
Sharon,Taliaferro,253.0,46.0,37.0,15.0,0.0,98.0,98.0,38.7,98.0
Crawfordville,Taliaferro,992.0,93.0,232.0,88.0,0.0,413.0,413.0,41.6,413.0
101,Putnam,3264.0,234.0,1041.0,367.0,0.0,1642.0,1642.0,50.3,1642.0
104,Putnam,3380.0,159.0,754.0,267.0,0.0,1180.0,1180.0,34.9,1180.0
105,Putnam,3734.0,449.0,1564.0,718.0,0.0,2731.0,2731.0,73.1,2731.0
106,Putnam,1332.0,308.0,438.0,171.0,0.0,917.0,917.0,68.8,917.0
Greensboro,Greene,3999.0,290.0,1401.0,440.0,3.0,2134.0,2134.0,53.4,2134.0
Union Point,Greene,1873.0,233.0,522.0,216.0,0.0,971.0,971.0,51.8,971.0
Siloam,Greene,991.0,129.0,292.0,110.0,0.0,531.0,531.0,53.6,531.0
White Plains,Greene,347.0,48.0,124.0,36.0,0.0,208.0,208.0,59.9,208.0
Old Salem,Greene,6961.0,526.0,3730.0,1215.0,3.0,5474.0,5474.0,78.6,5474.0
Beaverdam,Oglethorpe,3509.0,528.0,1197.0,407.0,0.0,2132.0,2132.0,60.8,2132.0
Crawford,Oglethorpe,3044.0,335.0,1095.0,319.0,0.0,1749.0,1749.0,57.5,1749.0
Lexington,Oglethorpe,4291.0,388.0,1718.0,499.0,2.0,2607.0,2607.0,60.8,2607.0
