Precinct,County,Registered Voters,Lendgrin Maddox (I)_Election Day Votes,Lendgrin Maddox (I)_Advanced Voting Votes,Lendgrin Maddox (I)_Absentee by Mail Votes,Lendgrin Maddox (I)_Provisional Votes,Lendgrin Maddox (I)_Choice Total,Total,calc_participation
Central Jackson,Jackson,16263.0,370.0,1238.0,328.0,0.0,1936.0,1936.0,11.9
West Jackson,Jackson,14977.0,181.0,858.0,231.0,0.0,1270.0,1270.0,8.5
