Precinct,County,Registered Voters,David Wilkerson (I) (Dem)_Election Day Votes,David Wilkerson (I) (Dem)_Advanced Voting Votes,David Wilkerson (I) (Dem)_Absentee by Mail Votes,David Wilkerson (I) (Dem)_Provisional Votes,David Wilkerson (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Birney 01,Cobb,2727.0,285.0,548.0,546.0,8.0,1387.0,1387.0,50.9,1387.0
Birney 02,Cobb,3894.0,287.0,1037.0,979.0,3.0,2306.0,2306.0,59.2,2306.0
Clarkdale 01,Cobb,1937.0,102.0,244.0,210.0,1.0,557.0,557.0,28.8,557.0
Cooper 01,Cobb,5252.0,481.0,1376.0,1018.0,2.0,2877.0,2877.0,54.8,2877.0
Mableton 01,Cobb,5127.0,259.0,1090.0,931.0,0.0,2280.0,2280.0,44.5,2280.0
Macland 01,Cobb,4213.0,347.0,1252.0,895.0,0.0,2494.0,2494.0,59.2,2494.0
McEachern 01,Cobb,3549.0,227.0,1017.0,794.0,1.0,2039.0,2039.0,57.5,2039.0
Oregon 02,Cobb,5671.0,72.0,223.0,141.0,0.0,436.0,436.0,7.7,436.0
Powders Springs 1A,Cobb,4755.0,276.0,1523.0,1150.0,3.0,2952.0,2952.0,62.1,2952.0
Powders Springs 2A,Cobb,3536.0,270.0,1040.0,679.0,3.0,1992.0,1992.0,56.3,1992.0
Powders Springs 3A,Cobb,3991.0,318.0,1272.0,694.0,1.0,2285.0,2285.0,57.3,2285.0
Sweetwater 01,Cobb,3235.0,287.0,867.0,592.0,0.0,1746.0,1746.0,54.0,1746.0
Sweetwater 02,Cobb,3367.0,308.0,682.0,657.0,17.0,1664.0,1664.0,49.4,1664.0
