Precinct,County,Registered Voters,Mack Jackson (I) (Dem)_Election Day Votes,Mack Jackson (I) (Dem)_Advanced Voting Votes,Mack Jackson (I) (Dem)_Absentee by Mail Votes,Mack Jackson (I) (Dem)_Provisional Votes,Mack Jackson (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Riddleville,Washington,561.0,124.0,99.0,90.0,1.0,314.0,314.0,56.0,314.0
Warthen,Washington,742.0,189.0,124.0,134.0,1.0,448.0,448.0,60.4,448.0
Tennille,Washington,2512.0,353.0,739.0,373.0,3.0,1468.0,1468.0,58.4,1468.0
Oconee,Washington,581.0,116.0,109.0,94.0,1.0,320.0,320.0,55.1,320.0
Harrison,Washington,1005.0,229.0,205.0,125.0,1.0,560.0,560.0,55.7,560.0
Davisboro,Washington,814.0,203.0,170.0,111.0,0.0,484.0,484.0,59.5,484.0
Sandersville,Washington,6221.0,632.0,1915.0,1216.0,1.0,3764.0,3764.0,60.5,3764.0
Deepstep,Washington,554.0,147.0,83.0,72.0,1.0,303.0,303.0,54.7,303.0
Wadley,Jefferson,1906.0,271.0,394.0,307.0,0.0,972.0,972.0,51.0,972.0
Bartow,Jefferson,531.0,91.0,112.0,55.0,0.0,258.0,258.0,48.6,258.0
Devereux Fire Station,Hancock,1006.0,113.0,248.0,189.0,0.0,550.0,550.0,54.7,550.0
St Mark,Hancock,576.0,86.0,138.0,84.0,0.0,308.0,308.0,53.5,308.0
Courthouse,Hancock,931.0,102.0,227.0,160.0,1.0,490.0,490.0,52.6,490.0
Second Beulah,Hancock,472.0,58.0,127.0,129.0,0.0,314.0,314.0,66.5,314.0
Mayfield Community Center,Hancock,356.0,61.0,49.0,82.0,0.0,192.0,192.0,53.9,192.0
Power of God,Hancock,731.0,93.0,160.0,136.0,1.0,390.0,390.0,53.4,390.0
Warren Chapel,Hancock,268.0,19.0,66.0,61.0,0.0,146.0,146.0,54.5,146.0
Youth Center,Hancock,975.0,101.0,216.0,202.0,0.0,519.0,519.0,53.2,519.0
Second Darrien,Hancock,364.0,73.0,62.0,105.0,0.0,240.0,240.0,65.9,240.0
Sparta 4C,Hancock,148.0,15.0,19.0,52.0,0.0,86.0,86.0,58.1,86.0
Edgehill,Glascock,136.0,26.0,28.0,6.0,0.0,60.0,60.0,44.1,60.0
Gibson,Glascock,677.0,76.0,135.0,33.0,0.0,244.0,244.0,36.0,244.0
Mill,Glascock,778.0,93.0,168.0,39.0,0.0,300.0,300.0,38.6,300.0
Mitchell,Glascock,448.0,75.0,69.0,37.0,0.0,181.0,181.0,40.4,181.0
131,McDuffie,1172.0,96.0,333.0,205.0,0.0,634.0,634.0,54.1,634.0
134,McDuffie,1908.0,143.0,583.0,335.0,0.0,1061.0,1061.0,55.6,1061.0
Warrenton,Warren,3785.0,396.0,1029.0,607.0,0.0,2032.0,2032.0,53.7,2032.0
Wrightsville,Johnson,3113.0,136.0,657.0,243.0,0.0,1036.0,1036.0,33.3,1036.0
Bray,Johnson,790.0,115.0,198.0,66.0,0.0,379.0,379.0,48.0,379.0
