Precinct,County,Registered Voters,Sharon Cooper (I) (Rep)_Election Day Votes,Sharon Cooper (I) (Rep)_Advanced Voting Votes,Sharon Cooper (I) (Rep)_Absentee by Mail Votes,Sharon Cooper (I) (Rep)_Provisional Votes,Sharon Cooper (I) (Rep)_Choice Total,Luisa Wakeman (Dem)_Election Day Votes,Luisa Wakeman (Dem)_Advanced Voting Votes,Luisa Wakeman (Dem)_Absentee by Mail Votes,Luisa Wakeman (Dem)_Provisional Votes,Luisa Wakeman (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Chattahoochee 01,Cobb,5969.0,282.0,547.0,294.0,0.0,1123.0,408.0,1373.0,928.0,0.0,2709.0,3832.0,64.2,1123.0,2709.0
Eastside 01,Cobb,3040.0,336.0,576.0,564.0,2.0,1478.0,100.0,321.0,621.0,1.0,1043.0,2521.0,82.9,1478.0,1043.0
Eastside 02,Cobb,4074.0,331.0,742.0,843.0,1.0,1917.0,121.0,467.0,826.0,1.0,1415.0,3332.0,81.8,1917.0,1415.0
Fullers Park 01,Cobb,3452.0,351.0,647.0,584.0,0.0,1582.0,147.0,403.0,666.0,0.0,1216.0,2798.0,81.1,1582.0,1216.0
Marietta 6A,Cobb,2647.0,36.0,28.0,13.0,0.0,77.0,45.0,114.0,83.0,0.0,242.0,319.0,12.1,77.0,242.0
Mt Bethel 04,Cobb,2981.0,274.0,585.0,600.0,0.0,1459.0,74.0,299.0,586.0,0.0,959.0,2418.0,81.1,1459.0,959.0
Powers Ferry 01,Cobb,3504.0,344.0,495.0,413.0,0.0,1252.0,178.0,448.0,526.0,2.0,1154.0,2406.0,68.7,1252.0,1154.0
Sewell Mill 01,Cobb,3493.0,119.0,228.0,193.0,0.0,540.0,66.0,203.0,289.0,0.0,558.0,1098.0,31.4,540.0,558.0
Sewell Mill 03,Cobb,4759.0,321.0,402.0,455.0,1.0,1179.0,227.0,543.0,526.0,0.0,1296.0,2475.0,52.0,1179.0,1296.0
Sope Creek 01,Cobb,2163.0,287.0,385.0,414.0,1.0,1087.0,94.0,229.0,411.0,0.0,734.0,1821.0,84.2,1087.0,734.0
Sope Creek 02,Cobb,4729.0,386.0,794.0,719.0,1.0,1900.0,181.0,687.0,835.0,1.0,1704.0,3604.0,76.2,1900.0,1704.0
Sope Creek 03,Cobb,2886.0,348.0,541.0,475.0,0.0,1364.0,107.0,360.0,454.0,0.0,921.0,2285.0,79.2,1364.0,921.0
Terrell Mill 01,Cobb,5816.0,213.0,382.0,375.0,0.0,970.0,203.0,661.0,637.0,0.0,1501.0,2471.0,42.5,970.0,1501.0
