Precinct,County,Registered Voters,Matt Dubnik (I) (Rep)_Election Day Votes,Matt Dubnik (I) (Rep)_Advanced Voting Votes,Matt Dubnik (I) (Rep)_Absentee by Mail Votes,Matt Dubnik (I) (Rep)_Provisional Votes,Matt Dubnik (I) (Rep)_Choice Total,Pat Calmes (Dem)_Election Day Votes,Pat Calmes (Dem)_Advanced Voting Votes,Pat Calmes (Dem)_Absentee by Mail Votes,Pat Calmes (Dem)_Provisional Votes,Pat Calmes (Dem)_Choice Total,Total,Rep_total,Dem_total
Wilson,Hall,0.0,282.0,1466.0,894.0,1.0,2643.0,120.0,344.0,516.0,1.0,981.0,3624.0,2643.0,981.0
Chicopee,Hall,0.0,181.0,700.0,211.0,0.0,1092.0,141.0,405.0,205.0,0.0,751.0,1843.0,1092.0,751.0
Oakwood I,Hall,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Glade,Hall,0.0,198.0,645.0,194.0,0.0,1037.0,63.0,184.0,161.0,4.0,412.0,1449.0,1037.0,412.0
Whelchel,Hall,0.0,181.0,707.0,249.0,0.0,1137.0,32.0,136.0,119.0,0.0,287.0,1424.0,1137.0,287.0
West Whelchel,Hall,0.0,343.0,1489.0,708.0,1.0,2541.0,59.0,237.0,291.0,0.0,587.0,3128.0,2541.0,587.0
Gainesville I,Hall,0.0,364.0,1002.0,472.0,3.0,1841.0,132.0,402.0,323.0,2.0,859.0,2700.0,1841.0,859.0
Gainesville II,Hall,0.0,67.0,103.0,83.0,0.0,253.0,262.0,536.0,480.0,0.0,1278.0,1531.0,253.0,1278.0
Gainesville III,Hall,0.0,178.0,413.0,171.0,1.0,763.0,268.0,429.0,233.0,0.0,930.0,1693.0,763.0,930.0
Gainesville IV,Hall,0.0,181.0,576.0,224.0,0.0,981.0,72.0,275.0,199.0,0.0,546.0,1527.0,981.0,546.0
Gainesville V,Hall,0.0,137.0,337.0,114.0,0.0,588.0,69.0,146.0,108.0,0.0,323.0,911.0,588.0,323.0
