Precinct,County,Registered Voters,Tommy Rentz (I) (Dem)_Election Day Votes,Tommy Rentz (I) (Dem)_Advanced Voting Votes,Tommy Rentz (I) (Dem)_Absentee by Mail Votes,Tommy Rentz (I) (Dem)_Provisional Votes,Tommy Rentz (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Anna,Baker,166.0,52.0,20.0,15.0,1.0,88.0,88.0,53.0,88.0
Elmodel,Baker,401.0,65.0,104.0,71.0,1.0,241.0,241.0,60.1,241.0
Hoggards Mill,Baker,351.0,66.0,67.0,45.0,0.0,178.0,178.0,50.7,178.0
Milford,Baker,270.0,67.0,52.0,32.0,0.0,151.0,151.0,55.9,151.0
Newton,Baker,1070.0,99.0,313.0,139.0,0.0,551.0,551.0,51.5,551.0
