Precinct,County,Registered Voters,Don L. Parsons (I) (Rep)_Election Day Votes,Don L. Parsons (I) (Rep)_Advanced Voting Votes,Don L. Parsons (I) (Rep)_Absentee by Mail Votes,Don L. Parsons (I) (Rep)_Provisional Votes,Don L. Parsons (I) (Rep)_Choice Total,Connie DiCicco (Dem)_Election Day Votes,Connie DiCicco (Dem)_Advanced Voting Votes,Connie DiCicco (Dem)_Absentee by Mail Votes,Connie DiCicco (Dem)_Provisional Votes,Connie DiCicco (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Addison 01,Cobb,2444.0,234.0,374.0,381.0,0.0,989.0,140.0,328.0,471.0,1.0,940.0,1929.0,78.9,989.0,940.0
Bells Ferry 02,Cobb,3127.0,321.0,511.0,343.0,1.0,1176.0,162.0,420.0,488.0,1.0,1071.0,2247.0,71.9,1176.0,1071.0
Bells Ferry 04,Cobb,3646.0,472.0,631.0,402.0,0.0,1505.0,196.0,461.0,481.0,2.0,1140.0,2645.0,72.5,1505.0,1140.0
Big Shanty 02,Cobb,3236.0,308.0,573.0,394.0,2.0,1277.0,183.0,463.0,511.0,0.0,1157.0,2434.0,75.2,1277.0,1157.0
Blackwell 01,Cobb,2698.0,222.0,441.0,282.0,1.0,946.0,186.0,371.0,516.0,0.0,1073.0,2019.0,74.8,946.0,1073.0
Chalker 01,Cobb,6065.0,325.0,634.0,430.0,1.0,1390.0,486.0,1146.0,785.0,0.0,2417.0,3807.0,62.8,1390.0,2417.0
Elizabeth 03,Cobb,2767.0,94.0,136.0,151.0,1.0,382.0,31.0,115.0,122.0,0.0,268.0,650.0,23.5,382.0,268.0
Elizabeth 05,Cobb,2884.0,350.0,467.0,385.0,0.0,1202.0,142.0,363.0,550.0,0.0,1055.0,2257.0,78.3,1202.0,1055.0
Gritters 01,Cobb,4033.0,435.0,685.0,512.0,0.0,1632.0,254.0,473.0,602.0,1.0,1330.0,2962.0,73.4,1632.0,1330.0
Kennesaw 1A,Cobb,2499.0,41.0,42.0,16.0,0.0,99.0,41.0,90.0,41.0,1.0,173.0,272.0,10.9,99.0,173.0
Lassiter 01,Cobb,3647.0,255.0,393.0,322.0,0.0,970.0,91.0,290.0,359.0,2.0,742.0,1712.0,46.9,970.0,742.0
Pope 01,Cobb,3153.0,170.0,416.0,326.0,0.0,912.0,82.0,259.0,358.0,0.0,699.0,1611.0,51.1,912.0,699.0
Palmer 01,Cobb,2760.0,292.0,486.0,373.0,0.0,1151.0,153.0,343.0,363.0,0.0,859.0,2010.0,72.8,1151.0,859.0
Pitner 01,Cobb,2814.0,361.0,524.0,301.0,0.0,1186.0,172.0,377.0,358.0,1.0,908.0,2094.0,74.4,1186.0,908.0
Sandy Plains 01,Cobb,2933.0,311.0,471.0,383.0,0.0,1165.0,155.0,424.0,560.0,1.0,1140.0,2305.0,78.6,1165.0,1140.0
Simpson 01,Cobb,1868.0,183.0,388.0,255.0,1.0,827.0,67.0,279.0,305.0,0.0,651.0,1478.0,79.1,827.0,651.0
