Precinct,County,Registered Voters,Joshua A. LeBlanc (I)_Election Day Votes,Joshua A. LeBlanc (I)_Advanced Voting Votes,Joshua A. LeBlanc (I)_Absentee by Mail Votes,Joshua A. LeBlanc (I)_Provisional Votes,Joshua A. LeBlanc (I)_Choice Total,Total,calc_participation
Central Jackson,Jackson,16263.0,295.0,1251.0,294.0,0.0,1840.0,1840.0,11.3
West Jackson,Jackson,14977.0,448.0,2280.0,564.0,0.0,3292.0,3292.0,22.0
