Precinct,County,Registered Voters,Dick Perryman (I) (Rep)_Election Day Votes,Dick Perryman (I) (Rep)_Advanced Voting Votes,Dick Perryman (I) (Rep)_Absentee by Mail Votes,Dick Perryman (I) (Rep)_Provisional Votes,Dick Perryman (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
West Berrien,Berrien,999.0,338.0,280.0,95.0,1.0,714.0,714.0,71.5,714.0
Ray City,Berrien,1946.0,380.0,621.0,164.0,1.0,1166.0,1166.0,59.9,1166.0
Nashville,Berrien,6079.0,623.0,2600.0,520.0,2.0,3745.0,3745.0,61.6,3745.0
Enigma,Berrien,1111.0,339.0,248.0,78.0,4.0,669.0,669.0,60.2,669.0
Alapaha,Berrien,1140.0,332.0,300.0,86.0,1.0,719.0,719.0,63.1,719.0
Arabia,Clinch,108.0,60.0,12.0,4.0,0.0,76.0,76.0,70.4,76.0
Argyle,Clinch,367.0,98.0,109.0,16.0,0.0,223.0,223.0,60.8,223.0
Dupont,Clinch,338.0,107.0,71.0,11.0,1.0,190.0,190.0,56.2,190.0
Fargo,Clinch,270.0,147.0,20.0,10.0,0.0,177.0,177.0,65.6,177.0
Homerville,Clinch,3262.0,282.0,1130.0,217.0,0.0,1629.0,1629.0,49.9,1629.0
Lakeland,Lanier,5462.0,612.0,2026.0,395.0,0.0,3033.0,3033.0,55.5,3033.0
Cecil,Cook,1899.0,210.0,619.0,116.0,0.0,945.0,945.0,49.8,945.0
Delle Beamguard,Cook,2446.0,271.0,1003.0,210.0,0.0,1484.0,1484.0,60.7,1484.0
Elm Pine,Cook,531.0,57.0,70.0,55.0,0.0,182.0,182.0,34.3,182.0
Lenox,Cook,1275.0,283.0,404.0,90.0,0.0,777.0,777.0,60.9,777.0
Massee,Cook,919.0,110.0,437.0,48.0,0.0,595.0,595.0,64.7,595.0
New Life Baptist Church,Cook,1233.0,249.0,502.0,74.0,0.0,825.0,825.0,66.9,825.0
Riverbend,Cook,1280.0,138.0,601.0,116.0,0.0,855.0,855.0,66.8,855.0
Sparks,Cook,1049.0,152.0,209.0,73.0,0.0,434.0,434.0,41.4,434.0
Pearson County,Atkinson,1802.0,237.0,689.0,84.0,0.0,1010.0,1010.0,56.0,1010.0
Axson,Atkinson,742.0,193.0,247.0,28.0,1.0,469.0,469.0,63.2,469.0
Willacoochee,Atkinson,1311.0,257.0,340.0,65.0,0.0,662.0,662.0,50.5,662.0
Pearson City,Atkinson,944.0,102.0,219.0,47.0,0.0,368.0,368.0,39.0,368.0
