Precinct,County,Registered Voters,Laurie McClain (Rep)_Election Day Votes,Laurie McClain (Rep)_Advanced Voting Votes,Laurie McClain (Rep)_Absentee by Mail Votes,Laurie McClain (Rep)_Provisional Votes,Laurie McClain (Rep)_Choice Total,Kirkland Carden (Dem)_Election Day Votes,Kirkland Carden (Dem)_Advanced Voting Votes,Kirkland Carden (Dem)_Absentee by Mail Votes,Kirkland Carden (Dem)_Provisional Votes,Kirkland Carden (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
SUWANEE A,Gwinnett,1737.0,121.0,306.0,144.0,1.0,572.0,93.0,359.0,191.0,0.0,643.0,1215.0,69.9,572.0,643.0
DULUTH A,Gwinnett,5042.0,243.0,903.0,457.0,1.0,1604.0,200.0,1010.0,900.0,0.0,2110.0,3714.0,73.7,1604.0,2110.0
SUGAR HILL A,Gwinnett,4654.0,100.0,191.0,69.0,0.0,360.0,67.0,253.0,150.0,1.0,471.0,831.0,17.9,360.0,471.0
SUGAR HILL B,Gwinnett,5596.0,462.0,1025.0,390.0,8.0,1885.0,239.0,819.0,486.0,2.0,1546.0,3431.0,61.3,1885.0,1546.0
HOG MOUNTAIN A,Gwinnett,5011.0,321.0,749.0,318.0,0.0,1388.0,310.0,1056.0,628.0,0.0,1994.0,3382.0,67.5,1388.0,1994.0
MARTINS D,Gwinnett,2402.0,96.0,128.0,95.0,1.0,320.0,264.0,444.0,293.0,1.0,1002.0,1322.0,55.0,320.0,1002.0
DULUTH B,Gwinnett,3551.0,266.0,551.0,353.0,3.0,1173.0,183.0,516.0,542.0,1.0,1242.0,2415.0,68.0,1173.0,1242.0
PINCKNEYVILLE I,Gwinnett,2635.0,99.0,211.0,126.0,0.0,436.0,256.0,549.0,303.0,2.0,1110.0,1546.0,58.7,436.0,1110.0
SUGAR HILL C,Gwinnett,5085.0,194.0,419.0,156.0,1.0,770.0,50.0,231.0,150.0,0.0,431.0,1201.0,23.6,770.0,431.0
DULUTH C,Gwinnett,2229.0,196.0,317.0,207.0,2.0,722.0,140.0,375.0,316.0,2.0,833.0,1555.0,69.8,722.0,833.0
DULUTH D,Gwinnett,5077.0,241.0,658.0,302.0,5.0,1206.0,295.0,1027.0,657.0,7.0,1986.0,3192.0,62.9,1206.0,1986.0
PINCKNEYVILLE K,Gwinnett,3754.0,140.0,226.0,125.0,0.0,491.0,372.0,809.0,447.0,2.0,1630.0,2121.0,56.5,491.0,1630.0
MARTINS E,Gwinnett,6193.0,158.0,233.0,109.0,0.0,500.0,592.0,1404.0,674.0,3.0,2673.0,3173.0,51.2,500.0,2673.0
PINCKNEYVILLE Q,Gwinnett,1915.0,70.0,72.0,42.0,0.0,184.0,276.0,422.0,217.0,0.0,915.0,1099.0,57.4,184.0,915.0
GOODWINS C,Gwinnett,5804.0,311.0,628.0,351.0,0.0,1290.0,396.0,1199.0,854.0,0.0,2449.0,3739.0,64.4,1290.0,2449.0
DULUTH E,Gwinnett,4814.0,225.0,532.0,253.0,1.0,1011.0,397.0,1142.0,724.0,4.0,2267.0,3278.0,68.1,1011.0,2267.0
MARTINS F,Gwinnett,2570.0,139.0,150.0,108.0,3.0,400.0,232.0,486.0,334.0,1.0,1053.0,1453.0,56.5,400.0,1053.0
PINCKNEYVILLE S,Gwinnett,3374.0,193.0,340.0,239.0,0.0,772.0,321.0,592.0,418.0,1.0,1332.0,2104.0,62.4,772.0,1332.0
SUGAR HILL E,Gwinnett,3589.0,329.0,752.0,278.0,4.0,1363.0,144.0,630.0,368.0,3.0,1145.0,2508.0,69.9,1363.0,1145.0
DULUTH F,Gwinnett,6161.0,191.0,394.0,257.0,1.0,843.0,459.0,1397.0,915.0,12.0,2783.0,3626.0,58.9,843.0,2783.0
DULUTH G,Gwinnett,3067.0,297.0,545.0,343.0,1.0,1186.0,145.0,469.0,436.0,2.0,1052.0,2238.0,73.0,1186.0,1052.0
GOODWINS E,Gwinnett,5491.0,434.0,880.0,451.0,1.0,1766.0,313.0,1002.0,720.0,1.0,2036.0,3802.0,69.2,1766.0,2036.0
GOODWINS F,Gwinnett,3212.0,205.0,462.0,260.0,0.0,927.0,173.0,589.0,467.0,0.0,1229.0,2156.0,67.1,927.0,1229.0
SUWANEE B,Gwinnett,4656.0,256.0,1128.0,461.0,0.0,1845.0,115.0,944.0,567.0,0.0,1626.0,3471.0,74.5,1845.0,1626.0
BERKSHIRE L,Gwinnett,3265.0,153.0,268.0,156.0,0.0,577.0,337.0,677.0,435.0,0.0,1449.0,2026.0,62.1,577.0,1449.0
SUGAR HILL F,Gwinnett,4112.0,395.0,878.0,355.0,3.0,1631.0,202.0,595.0,458.0,3.0,1258.0,2889.0,70.3,1631.0,1258.0
SUWANEE C,Gwinnett,5675.0,354.0,1094.0,540.0,2.0,1990.0,202.0,955.0,804.0,1.0,1962.0,3952.0,69.6,1990.0,1962.0
