Precinct,County,Registered Voters,Ginger Morris (Rep)_Election Day Votes,Ginger Morris (Rep)_Advanced Voting Votes,Ginger Morris (Rep)_Absentee by Mail Votes,Ginger Morris (Rep)_Provisional Votes,Ginger Morris (Rep)_Choice Total,Thadeus Holloway (Dem)_Election Day Votes,Thadeus Holloway (Dem)_Advanced Voting Votes,Thadeus Holloway (Dem)_Absentee by Mail Votes,Thadeus Holloway (Dem)_Provisional Votes,Thadeus Holloway (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Ailey,Montgomery,431.0,59.0,110.0,17.0,0.0,186.0,24.0,51.0,31.0,0.0,106.0,292.0,67.7,186.0,106.0
Mount Vernon,Montgomery,1444.0,103.0,256.0,68.0,0.0,427.0,126.0,198.0,108.0,0.0,432.0,859.0,59.5,427.0,432.0
