Precinct,County,Registered Voters,Jesse Petrea (I) (Rep)_Election Day Votes,Jesse Petrea (I) (Rep)_Advanced Voting Votes,Jesse Petrea (I) (Rep)_Absentee by Mail Votes,Jesse Petrea (I) (Rep)_Provisional Votes,Jesse Petrea (I) (Rep)_Choice Total,Michael Mack (Dem)_Election Day Votes,Michael Mack (Dem)_Advanced Voting Votes,Michael Mack (Dem)_Absentee by Mail Votes,Michael Mack (Dem)_Provisional Votes,Michael Mack (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Danielsiding,Bryan,2291.0,130.0,556.0,97.0,0.0,783.0,14.0,92.0,76.0,0.0,182.0,965.0,42.1,783.0,182.0
JF Gregory Park,Bryan,2885.0,24.0,181.0,31.0,0.0,236.0,2.0,41.0,21.0,0.0,64.0,300.0,10.4,236.0,64.0
Keller,Bryan,4270.0,322.0,1753.0,236.0,0.0,2311.0,83.0,507.0,297.0,0.0,887.0,3198.0,74.9,2311.0,887.0
Hwy 144 East,Bryan,5365.0,224.0,1321.0,222.0,0.0,1767.0,37.0,429.0,202.0,0.0,668.0,2435.0,45.4,1767.0,668.0
1-10C St Thomas Episcopal Church,Chatham,1101.0,347.0,186.0,170.0,2.0,705.0,46.0,85.0,96.0,0.0,227.0,932.0,84.7,705.0,227.0
1-12C Isle of Hope Baptist,Chatham,1909.0,530.0,402.0,295.0,1.0,1228.0,70.0,149.0,159.0,0.0,378.0,1606.0,84.1,1228.0,378.0
1-17C Islands Christian Church,Chatham,3136.0,479.0,848.0,477.0,0.0,1804.0,87.0,223.0,386.0,1.0,697.0,2501.0,79.8,1804.0,697.0
4-02C Frank Murray Comm Center,Chatham,2472.0,338.0,542.0,192.0,0.0,1072.0,98.0,230.0,271.0,0.0,599.0,1671.0,67.6,1072.0,599.0
4-04C Lighthouse Baptist Church,Chatham,2470.0,488.0,540.0,274.0,3.0,1305.0,83.0,178.0,252.0,1.0,514.0,1819.0,73.6,1305.0,514.0
4-05C St Francis Episcopal Church,Chatham,2244.0,478.0,474.0,234.0,0.0,1186.0,119.0,187.0,224.0,0.0,530.0,1716.0,76.5,1186.0,530.0
4-06C First Baptist of the Island,Chatham,2252.0,483.0,563.0,245.0,3.0,1294.0,84.0,156.0,222.0,0.0,462.0,1756.0,78.0,1294.0,462.0
4-07C Wilmington Island UMC,Chatham,3370.0,538.0,762.0,375.0,3.0,1678.0,122.0,258.0,371.0,0.0,751.0,2429.0,72.1,1678.0,751.0
4-08C Wilmington Island Pres Church,Chatham,2678.0,561.0,696.0,373.0,0.0,1630.0,83.0,175.0,286.0,0.0,544.0,2174.0,81.2,1630.0,544.0
4-10C Guard House Comm Ctr,Chatham,1469.0,381.0,227.0,164.0,2.0,774.0,106.0,126.0,130.0,1.0,363.0,1137.0,77.4,774.0,363.0
4-11C Tybee Island School Cafe,Chatham,1640.0,507.0,173.0,148.0,1.0,829.0,158.0,105.0,155.0,0.0,418.0,1247.0,76.0,829.0,418.0
4-12C St Peters Episcopal,Chatham,2294.0,601.0,480.0,404.0,3.0,1488.0,67.0,121.0,264.0,0.0,452.0,1940.0,84.6,1488.0,452.0
4-13C Skidaway Island Pres Church,Chatham,2469.0,517.0,499.0,545.0,2.0,1563.0,58.0,180.0,297.0,1.0,536.0,2099.0,85.0,1563.0,536.0
4-14C Skidaway Island Baptist,Chatham,1744.0,375.0,331.0,343.0,2.0,1051.0,44.0,123.0,262.0,0.0,429.0,1480.0,84.9,1051.0,429.0
4-15C Skidaway Island State Park,Chatham,0.0,306.0,331.0,474.0,3.0,1114.0,38.0,128.0,264.0,0.0,430.0,1544.0,,1114.0,430.0
6-02C Windsor Forest Baptist,Chatham,2290.0,352.0,349.0,203.0,0.0,904.0,69.0,156.0,207.0,1.0,433.0,1337.0,58.4,904.0,433.0
6-03C Crusader Comm Center,Chatham,2736.0,281.0,357.0,183.0,0.0,821.0,220.0,446.0,421.0,1.0,1088.0,1909.0,69.8,821.0,1088.0
6-09C Trinity Lutheran Church,Chatham,3319.0,148.0,223.0,143.0,1.0,515.0,83.0,208.0,169.0,3.0,463.0,978.0,29.5,515.0,463.0
