Precinct,County,Registered Voters,Bee Nguyen (I) (Dem)_Election Day Votes,Bee Nguyen (I) (Dem)_Advanced Voting Votes,Bee Nguyen (I) (Dem)_Absentee by Mail Votes,Bee Nguyen (I) (Dem)_Provisional Votes,Bee Nguyen (I) (Dem)_Choice Total,Total,calc_participation
Boulevard,DeKalb,4675.0,263.0,1903.0,1233.0,2.0,3401.0,3401.0,72.7
Bouldercrest Road,DeKalb,2004.0,160.0,769.0,357.0,2.0,1288.0,1288.0,64.3
Burgess Elem,DeKalb,3493.0,197.0,1375.0,889.0,5.0,2466.0,2466.0,70.6
Cedar Grove Elem,DeKalb,4097.0,302.0,1492.0,775.0,6.0,2575.0,2575.0,62.9
Coan Recreation Center,DeKalb,4230.0,209.0,1621.0,919.0,2.0,2751.0,2751.0,65.0
Cedar Grove South,DeKalb,3962.0,268.0,1583.0,737.0,6.0,2594.0,2594.0,65.5
Candler Park,DeKalb,4018.0,126.0,1773.0,1310.0,1.0,3210.0,3210.0,79.9
East Lake,DeKalb,4139.0,16.0,62.0,13.0,0.0,91.0,91.0,2.2
Gresham Road,DeKalb,3601.0,221.0,1176.0,789.0,13.0,2199.0,2199.0,61.1
Lin-Mary Lin Elem,DeKalb,3009.0,143.0,1108.0,933.0,6.0,2190.0,2190.0,72.8
McNair High,DeKalb,4160.0,276.0,1441.0,971.0,4.0,2692.0,2692.0,64.7
Meadowview,DeKalb,3511.0,223.0,1000.0,754.0,7.0,1984.0,1984.0,56.5
Metropolitan,DeKalb,3405.0,178.0,1387.0,749.0,7.0,2321.0,2321.0,68.2
Piney Grove,DeKalb,2018.0,161.0,534.0,344.0,4.0,1043.0,1043.0,51.7
Terry Mill,DeKalb,2808.0,231.0,970.0,591.0,3.0,1795.0,1795.0,63.9
