Precinct,County,Registered Voters,Hubert B. Parker (I) (Rep)_Election Day Votes,Hubert B. Parker (I) (Rep)_Advanced Voting Votes,Hubert B. Parker (I) (Rep)_Absentee by Mail Votes,Hubert B. Parker (I) (Rep)_Provisional Votes,Hubert B. Parker (I) (Rep)_Choice Total,Total,Sherri L. Washington (I) (Dem)_Election Day Votes,Sherri L. Washington (I) (Dem)_Advanced Voting Votes,Sherri L. Washington (I) (Dem)_Absentee by Mail Votes,Sherri L. Washington (I) (Dem)_Provisional Votes,Sherri L. Washington (I) (Dem)_Choice Total,Mark H. Thomas (I) (Rep)_Election Day Votes,Mark H. Thomas (I) (Rep)_Advanced Voting Votes,Mark H. Thomas (I) (Rep)_Absentee by Mail Votes,Mark H. Thomas (I) (Rep)_Provisional Votes,Mark H. Thomas (I) (Rep)_Choice Total,Bobby Walker (I) (Rep)_Election Day Votes,Bobby Walker (I) (Rep)_Advanced Voting Votes,Bobby Walker (I) (Rep)_Absentee by Mail Votes,Bobby Walker (I) (Rep)_Provisional Votes,Bobby Walker (I) (Rep)_Choice Total,Keith Dunn (Rep)_Election Day Votes,Keith Dunn (Rep)_Advanced Voting Votes,Keith Dunn (Rep)_Absentee by Mail Votes,Keith Dunn (Rep)_Provisional Votes,Keith Dunn (Rep)_Choice Total,Will H. Nichols (I) (Rep)_Election Day Votes,Will H. Nichols (I) (Rep)_Advanced Voting Votes,Will H. Nichols (I) (Rep)_Absentee by Mail Votes,Will H. Nichols (I) (Rep)_Provisional Votes,Will H. Nichols (I) (Rep)_Choice Total,Mary P. Smith (Dem)_Election Day Votes,Mary P. Smith (Dem)_Advanced Voting Votes,Mary P. Smith (Dem)_Absentee by Mail Votes,Mary P. Smith (Dem)_Provisional Votes,Mary P. Smith (Dem)_Choice Total,Roy Lewis (I) (Rep)_Election Day Votes,Roy Lewis (I) (Rep)_Advanced Voting Votes,Roy Lewis (I) (Rep)_Absentee by Mail Votes,Roy Lewis (I) (Rep)_Provisional Votes,Roy Lewis (I) (Rep)_Choice Total,Terrence D. Fannin (Dem)_Election Day Votes,Terrence D. Fannin (Dem)_Advanced Voting Votes,Terrence D. Fannin (Dem)_Absentee by Mail Votes,Terrence D. Fannin (Dem)_Provisional Votes,Terrence D. Fannin (Dem)_Choice Total,Johnny Scearce (Rep)_Election Day Votes,Johnny Scearce (Rep)_Advanced Voting Votes,Johnny Scearce (Rep)_Absentee by Mail Votes,Johnny Scearce (Rep)_Provisional Votes,Johnny Scearce (Rep)_Choice Total,Dixie L. Carter (Dem)_Election Day Votes,Dixie L. Carter (Dem)_Advanced Voting Votes,Dixie L. Carter (Dem)_Absentee by Mail Votes,Dixie L. Carter (Dem)_Provisional Votes,Dixie L. Carter (Dem)_Choice Total,calc_participation
Ellijay South,Gilmer,3172.0,393.0,1170.0,379.0,2.0,1944.0,1944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3
Cartecay,Gilmer,1598.0,410.0,480.0,205.0,2.0,1097.0,1097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6
Tails Creek,Gilmer,1782.0,461.0,475.0,144.0,0.0,1080.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6
Town Creek,Gilmer,1234.0,312.0,330.0,108.0,0.0,750.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8
Leaches,Gilmer,2939.0,541.0,974.0,341.0,2.0,1858.0,1858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2
Cherry Log,Gilmer,926.0,258.0,236.0,114.0,0.0,608.0,608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7
Boardtown,Gilmer,1391.0,291.0,511.0,208.0,4.0,1014.0,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9
Mountaintown,Gilmer,1139.0,276.0,365.0,129.0,1.0,771.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7
East Ellijay,Gilmer,1655.0,251.0,643.0,214.0,0.0,1108.0,1108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9
Ellijay North,Gilmer,1810.0,283.0,614.0,207.0,1.0,1105.0,1105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0
Yukon,Gilmer,1288.0,352.0,359.0,124.0,0.0,835.0,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8
Big Creek,Gilmer,1479.0,367.0,412.0,192.0,0.0,971.0,971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7
Ellijay Northeast,Gilmer,1851.0,235.0,713.0,228.0,0.0,1176.0,1176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5
BA,Rockdale,4803.0,,,,,,2736.0,367.0,1608.0,760.0,1.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0
