Precinct,County,Registered Voters,Will Wade (Rep)_Election Day Votes,Will Wade (Rep)_Advanced Voting Votes,Will Wade (Rep)_Absentee by Mail Votes,Will Wade (Rep)_Provisional Votes,Will Wade (Rep)_Choice Total,Sharon L. Ravert (Dem)_Election Day Votes,Sharon L. Ravert (Dem)_Advanced Voting Votes,Sharon L. Ravert (Dem)_Absentee by Mail Votes,Sharon L. Ravert (Dem)_Provisional Votes,Sharon L. Ravert (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Dahlonega,Lumpkin,22407.0,2059.0,8176.0,2099.0,1.0,12335.0,286.0,1455.0,1122.0,0.0,2863.0,15198.0,67.8,12335.0,2863.0
Central,Dawson,9891.0,930.0,4475.0,815.0,2.0,6222.0,93.0,414.0,254.0,0.0,761.0,6983.0,70.6,6222.0,761.0
East,Dawson,8915.0,1023.0,3726.0,892.0,0.0,5641.0,113.0,442.0,421.0,1.0,977.0,6618.0,74.2,5641.0,977.0
15 Heardsville,Forsyth,8091.0,31.0,297.0,52.0,0.0,380.0,14.0,40.0,32.0,0.0,86.0,466.0,5.8,380.0,86.0
27 Concord,Forsyth,9858.0,248.0,1267.0,217.0,0.0,1732.0,34.0,190.0,135.0,0.0,359.0,2091.0,21.2,1732.0,359.0
