Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation
Ashburn,Turner,3509.0,135.0,763.0,127.0,0.0,1025.0,293.0,677.0,246.0,1.0,1217.0,5.0,18.0,4.0,0.0,27.0,2269.0,64.7
Sycamore,Turner,1609.0,124.0,829.0,81.0,1.0,1035.0,28.0,94.0,26.0,0.0,148.0,1.0,2.0,1.0,0.0,4.0,1187.0,73.8
Rebecca,Turner,464.0,118.0,146.0,25.0,0.0,289.0,11.0,17.0,17.0,0.0,45.0,0.0,2.0,0.0,0.0,2.0,336.0,72.4
Alto Park,Floyd,3360.0,327.0,1137.0,290.0,10.0,1764.0,95.0,326.0,253.0,5.0,679.0,5.0,15.0,11.0,0.0,31.0,2474.0,73.6
Armuchee,Floyd,1269.0,283.0,398.0,108.0,2.0,791.0,34.0,75.0,46.0,0.0,155.0,3.0,2.0,1.0,0.0,6.0,952.0,75.0
Barkers,Floyd,2355.0,393.0,948.0,196.0,6.0,1543.0,38.0,102.0,83.0,0.0,223.0,5.0,9.0,1.0,0.0,15.0,1781.0,75.6
Cave Spring,Floyd,1617.0,423.0,332.0,126.0,2.0,883.0,63.0,65.0,112.0,2.0,242.0,11.0,2.0,2.0,0.0,15.0,1140.0,70.5
Chulio,Floyd,1155.0,277.0,338.0,95.0,11.0,721.0,36.0,44.0,60.0,0.0,140.0,3.0,3.0,1.0,0.0,7.0,868.0,75.2
Etowah,Floyd,4946.0,599.0,1925.0,433.0,7.0,2964.0,89.0,408.0,295.0,3.0,795.0,9.0,14.0,14.0,0.0,37.0,3796.0,76.7
Everett Springs,Floyd,421.0,175.0,74.0,26.0,5.0,280.0,26.0,9.0,20.0,0.0,55.0,2.0,0.0,0.0,0.0,2.0,337.0,80.0
Floyd Springs,Floyd,1666.0,408.0,582.0,143.0,21.0,1154.0,28.0,73.0,45.0,4.0,150.0,12.0,3.0,3.0,0.0,18.0,1322.0,79.4
Fosters Mill,Floyd,971.0,278.0,284.0,68.0,1.0,631.0,16.0,35.0,32.0,0.0,83.0,10.0,0.0,0.0,0.0,10.0,724.0,74.6
Garden Lakes,Floyd,2261.0,215.0,622.0,188.0,4.0,1029.0,84.0,237.0,126.0,3.0,450.0,2.0,6.0,4.0,0.0,12.0,1491.0,65.9
Glenwood,Floyd,3635.0,522.0,1045.0,254.0,2.0,1823.0,104.0,255.0,201.0,2.0,562.0,11.0,19.0,5.0,0.0,35.0,2420.0,66.6
Howell,Floyd,1492.0,427.0,420.0,123.0,1.0,971.0,27.0,62.0,31.0,0.0,120.0,4.0,1.0,1.0,0.0,6.0,1097.0,73.5
East Lindale,Floyd,3398.0,437.0,1098.0,266.0,0.0,1801.0,90.0,292.0,181.0,2.0,565.0,19.0,14.0,5.0,0.0,38.0,2404.0,70.7
Mt Alto North,Floyd,5096.0,234.0,1157.0,307.0,6.0,1704.0,259.0,762.0,443.0,12.0,1476.0,16.0,30.0,5.0,0.0,51.0,3231.0,63.4
Mt Alto South,Floyd,3923.0,298.0,876.0,246.0,6.0,1426.0,247.0,553.0,314.0,4.0,1118.0,10.0,20.0,4.0,0.0,34.0,2578.0,65.7
North Carolina,Floyd,1865.0,274.0,568.0,133.0,2.0,977.0,40.0,110.0,64.0,2.0,216.0,3.0,4.0,1.0,0.0,8.0,1201.0,64.4
Riverside,Floyd,826.0,148.0,208.0,45.0,4.0,405.0,43.0,74.0,29.0,0.0,146.0,3.0,6.0,1.0,0.0,10.0,561.0,67.9
East Rome,Floyd,4238.0,267.0,785.0,249.0,2.0,1303.0,181.0,705.0,394.0,2.0,1282.0,14.0,21.0,13.0,0.0,48.0,2633.0,62.1
North Rome,Floyd,3369.0,145.0,654.0,287.0,2.0,1088.0,157.0,462.0,413.0,5.0,1037.0,12.0,6.0,3.0,0.0,21.0,2146.0,63.7
South Rome,Floyd,1600.0,45.0,118.0,40.0,1.0,204.0,152.0,272.0,210.0,4.0,638.0,5.0,4.0,3.0,0.0,12.0,854.0,53.4
Texas Valley,Floyd,762.0,258.0,216.0,59.0,8.0,541.0,22.0,31.0,34.0,0.0,87.0,4.0,2.0,0.0,0.0,6.0,634.0,83.2
Vanns Valley,Floyd,896.0,149.0,198.0,86.0,3.0,436.0,31.0,53.0,23.0,0.0,107.0,1.0,3.0,1.0,0.0,5.0,548.0,61.2
Watters,Floyd,3566.0,654.0,1198.0,280.0,6.0,2138.0,79.0,182.0,130.0,6.0,397.0,15.0,6.0,5.0,0.0,26.0,2561.0,71.8
West Lindale,Floyd,2929.0,491.0,821.0,199.0,0.0,1511.0,82.0,183.0,137.0,0.0,402.0,9.0,11.0,6.0,0.0,26.0,1939.0,66.2
Town Rome,Floyd,3034.0,170.0,676.0,189.0,0.0,1035.0,131.0,450.0,300.0,2.0,883.0,11.0,19.0,8.0,0.0,38.0,1956.0,64.5
Ellijay South,Gilmer,3172.0,368.0,1091.0,302.0,2.0,1763.0,54.0,207.0,243.0,0.0,504.0,4.0,7.0,4.0,0.0,15.0,2282.0,71.9
Cartecay,Gilmer,1598.0,409.0,472.0,172.0,2.0,1055.0,23.0,61.0,86.0,0.0,170.0,4.0,5.0,1.0,0.0,10.0,1235.0,77.3
Tails Creek,Gilmer,1782.0,442.0,461.0,133.0,0.0,1036.0,50.0,64.0,50.0,0.0,164.0,8.0,4.0,1.0,0.0,13.0,1213.0,68.1
Town Creek,Gilmer,1234.0,308.0,326.0,92.0,0.0,726.0,36.0,30.0,53.0,0.0,119.0,5.0,5.0,2.0,0.0,12.0,857.0,69.4
Leaches,Gilmer,2939.0,532.0,910.0,303.0,3.0,1748.0,47.0,179.0,166.0,0.0,392.0,17.0,6.0,4.0,0.0,27.0,2167.0,73.7
Cherry Log,Gilmer,926.0,248.0,210.0,98.0,0.0,556.0,42.0,64.0,65.0,0.0,171.0,5.0,0.0,1.0,0.0,6.0,733.0,79.2
Boardtown,Gilmer,1391.0,295.0,481.0,158.0,3.0,937.0,33.0,70.0,118.0,0.0,221.0,3.0,2.0,3.0,1.0,9.0,1167.0,83.9
Mountaintown,Gilmer,1139.0,263.0,342.0,109.0,1.0,715.0,29.0,63.0,44.0,0.0,136.0,4.0,2.0,3.0,0.0,9.0,860.0,75.5
East Ellijay,Gilmer,1655.0,230.0,593.0,190.0,0.0,1013.0,43.0,108.0,76.0,0.0,227.0,0.0,7.0,2.0,0.0,9.0,1249.0,75.5
Ellijay North,Gilmer,1810.0,294.0,571.0,184.0,1.0,1050.0,26.0,119.0,70.0,0.0,215.0,2.0,10.0,5.0,0.0,17.0,1282.0,70.8
Yukon,Gilmer,1288.0,359.0,345.0,107.0,0.0,811.0,31.0,46.0,61.0,0.0,138.0,2.0,3.0,2.0,0.0,7.0,956.0,74.2
Big Creek,Gilmer,1479.0,374.0,396.0,147.0,0.0,917.0,27.0,66.0,112.0,0.0,205.0,5.0,7.0,4.0,0.0,16.0,1138.0,76.9
Ellijay Northeast,Gilmer,1851.0,249.0,665.0,188.0,0.0,1102.0,12.0,132.0,126.0,0.0,270.0,5.0,6.0,3.0,0.0,14.0,1386.0,74.9
Gray,Jones,0.0,250.0,1115.0,210.0,0.0,1575.0,47.0,288.0,176.0,0.0,511.0,5.0,7.0,3.0,0.0,15.0,2101.0,
Hawkins,Jones,0.0,253.0,500.0,115.0,0.0,868.0,194.0,674.0,509.0,0.0,1377.0,4.0,9.0,6.0,0.0,19.0,2264.0,
Ethridge,Jones,0.0,175.0,533.0,115.0,0.0,823.0,77.0,217.0,148.0,0.0,442.0,4.0,4.0,1.0,0.0,9.0,1274.0,
Clinton,Jones,0.0,292.0,850.0,173.0,1.0,1316.0,62.0,247.0,158.0,1.0,468.0,4.0,5.0,2.0,0.0,11.0,1795.0,
Roberts,Jones,0.0,449.0,581.0,174.0,0.0,1204.0,129.0,284.0,191.0,0.0,604.0,5.0,5.0,3.0,1.0,14.0,1822.0,
Davidson,Jones,0.0,363.0,494.0,102.0,1.0,960.0,42.0,90.0,58.0,0.0,190.0,4.0,3.0,0.0,0.0,7.0,1157.0,
Pope,Jones,0.0,307.0,515.0,98.0,1.0,921.0,119.0,192.0,133.0,1.0,445.0,6.0,2.0,0.0,0.0,8.0,1374.0,
Barron,Jones,0.0,274.0,374.0,94.0,0.0,742.0,65.0,116.0,95.0,0.0,276.0,2.0,1.0,2.0,0.0,5.0,1023.0,
Sanders,Jones,0.0,91.0,13.0,11.0,0.0,115.0,18.0,5.0,7.0,0.0,30.0,1.0,0.0,0.0,0.0,1.0,146.0,
Finney,Jones,0.0,569.0,691.0,180.0,1.0,1441.0,88.0,243.0,214.0,0.0,545.0,12.0,11.0,1.0,0.0,24.0,2010.0,
Concord,Pike,0.0,281.0,524.0,76.0,0.0,881.0,62.0,96.0,87.0,1.0,246.0,1.0,4.0,1.0,0.0,6.0,1133.0,
Hollonville,Pike,0.0,349.0,796.0,132.0,0.0,1277.0,16.0,48.0,49.0,0.0,113.0,0.0,5.0,3.0,0.0,8.0,1398.0,
Meansville,Pike,0.0,279.0,548.0,80.0,0.0,907.0,29.0,52.0,22.0,0.0,103.0,4.0,4.0,0.0,0.0,8.0,1018.0,
Molena,Pike,0.0,347.0,538.0,93.0,2.0,980.0,54.0,73.0,53.0,1.0,181.0,5.0,2.0,4.0,0.0,11.0,1172.0,
Second District,Pike,0.0,367.0,1231.0,200.0,1.0,1799.0,43.0,118.0,82.0,0.0,243.0,4.0,9.0,0.0,0.0,13.0,2055.0,
Lifsey Springs,Pike,0.0,207.0,476.0,88.0,0.0,771.0,20.0,40.0,44.0,0.0,104.0,2.0,4.0,1.0,0.0,7.0,882.0,
Williamson,Pike,0.0,291.0,836.0,117.0,0.0,1244.0,30.0,79.0,51.0,0.0,160.0,5.0,6.0,5.0,0.0,16.0,1420.0,
Zebulon,Pike,0.0,220.0,915.0,133.0,0.0,1268.0,31.0,189.0,135.0,0.0,355.0,6.0,7.0,6.0,0.0,19.0,1642.0,
Odum,Wayne,1260.0,310.0,510.0,86.0,0.0,906.0,14.0,37.0,38.0,0.0,89.0,0.0,2.0,0.0,0.0,2.0,997.0,79.1
Madray Springs,Wayne,1176.0,180.0,538.0,127.0,0.0,845.0,10.0,28.0,25.0,1.0,64.0,1.0,1.0,1.0,0.0,3.0,912.0,77.6
Oglethorpe,Wayne,1741.0,232.0,720.0,140.0,0.0,1092.0,23.0,86.0,59.0,0.0,168.0,3.0,7.0,0.0,0.0,10.0,1270.0,72.9
Screven,Wayne,1849.0,462.0,600.0,126.0,2.0,1190.0,58.0,86.0,51.0,0.0,195.0,3.0,3.0,1.0,0.0,7.0,1392.0,75.3
Empire,Wayne,1106.0,189.0,516.0,90.0,0.0,795.0,15.0,37.0,21.0,0.0,73.0,0.0,7.0,2.0,0.0,9.0,877.0,79.3
Red Hill,Wayne,1036.0,131.0,355.0,79.0,0.0,565.0,19.0,71.0,40.0,0.0,130.0,6.0,2.0,0.0,0.0,8.0,703.0,67.9
Altamaha,Wayne,2857.0,225.0,972.0,179.0,3.0,1379.0,70.0,236.0,102.0,0.0,408.0,6.0,4.0,0.0,0.0,10.0,1797.0,62.9
Gardi,Wayne,1123.0,291.0,334.0,110.0,2.0,737.0,19.0,30.0,29.0,0.0,78.0,1.0,2.0,2.0,0.0,5.0,820.0,73.0
VFW,Wayne,1145.0,22.0,99.0,35.0,0.0,156.0,77.0,290.0,132.0,1.0,500.0,3.0,3.0,1.0,0.0,7.0,663.0,57.9
Pine Street,Wayne,1140.0,62.0,259.0,74.0,0.0,395.0,66.0,208.0,63.0,0.0,337.0,1.0,4.0,3.0,0.0,8.0,740.0,64.9
Unity,Wayne,1905.0,184.0,613.0,170.0,0.0,967.0,56.0,200.0,107.0,0.0,363.0,3.0,10.0,5.0,0.0,18.0,1348.0,70.8
Rec Center,Wayne,1766.0,207.0,615.0,138.0,0.0,960.0,33.0,180.0,69.0,0.0,282.0,8.0,8.0,1.0,0.0,17.0,1259.0,71.3
01A,Fulton,3694.0,41.0,145.0,56.0,5.0,247.0,160.0,1662.0,737.0,20.0,2579.0,3.0,11.0,10.0,1.0,25.0,2851.0,77.2
01B,Fulton,4327.0,79.0,159.0,62.0,1.0,301.0,242.0,1842.0,895.0,5.0,2984.0,11.0,16.0,15.0,0.0,42.0,3327.0,76.9
01C,Fulton,1908.0,21.0,20.0,8.0,0.0,49.0,180.0,372.0,165.0,0.0,717.0,4.0,6.0,3.0,0.0,13.0,779.0,40.8
01D,Fulton,754.0,7.0,13.0,13.0,1.0,34.0,24.0,284.0,123.0,4.0,435.0,0.0,2.0,1.0,0.0,3.0,472.0,62.6
01E,Fulton,3720.0,40.0,167.0,79.0,1.0,287.0,101.0,1559.0,775.0,0.0,2435.0,7.0,19.0,11.0,0.0,37.0,2759.0,74.2
01F,Fulton,1593.0,14.0,13.0,6.0,1.0,34.0,110.0,256.0,108.0,7.0,481.0,2.0,4.0,0.0,0.0,6.0,521.0,32.7
01G,Fulton,2312.0,15.0,55.0,15.0,2.0,87.0,131.0,730.0,295.0,3.0,1159.0,2.0,12.0,3.0,0.0,17.0,1263.0,54.6
01H,Fulton,896.0,6.0,7.0,3.0,0.0,16.0,64.0,212.0,122.0,7.0,405.0,1.0,0.0,3.0,0.0,4.0,425.0,47.4
01I,Fulton,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
01J,Fulton,2848.0,17.0,42.0,12.0,1.0,72.0,217.0,720.0,333.0,17.0,1287.0,3.0,9.0,6.0,0.0,18.0,1377.0,48.3
01P,Fulton,1444.0,16.0,7.0,4.0,1.0,28.0,208.0,220.0,171.0,4.0,603.0,3.0,2.0,2.0,0.0,7.0,638.0,44.2
01R,Fulton,1550.0,20.0,8.0,5.0,4.0,37.0,202.0,137.0,117.0,12.0,468.0,4.0,2.0,6.0,0.0,12.0,517.0,33.4
01S,Fulton,2118.0,20.0,23.0,12.0,1.0,56.0,228.0,486.0,207.0,7.0,928.0,5.0,3.0,2.0,0.0,10.0,994.0,46.9
01T,Fulton,1799.0,27.0,26.0,13.0,1.0,67.0,156.0,469.0,180.0,3.0,808.0,6.0,2.0,3.0,0.0,11.0,886.0,49.2
02A,Fulton,4884.0,83.0,410.0,170.0,3.0,666.0,137.0,1728.0,1087.0,23.0,2975.0,11.0,25.0,18.0,0.0,54.0,3695.0,75.7
02A1,Fulton,733.0,13.0,67.0,6.0,2.0,88.0,25.0,271.0,56.0,2.0,354.0,3.0,4.0,1.0,0.0,8.0,450.0,61.4
02B,Fulton,4020.0,36.0,96.0,30.0,6.0,168.0,165.0,764.0,290.0,23.0,1242.0,6.0,9.0,4.0,2.0,21.0,1431.0,35.6
02C,Fulton,2034.0,23.0,75.0,31.0,9.0,138.0,75.0,689.0,382.0,29.0,1175.0,2.0,3.0,6.0,0.0,11.0,1324.0,65.1
02D,Fulton,5539.0,92.0,283.0,97.0,6.0,478.0,224.0,1879.0,1071.0,26.0,3200.0,11.0,19.0,11.0,5.0,46.0,3724.0,67.2
02E,Fulton,2009.0,35.0,74.0,34.0,0.0,143.0,94.0,892.0,477.0,0.0,1463.0,6.0,6.0,4.0,0.0,16.0,1622.0,80.7
02F1,Fulton,3221.0,39.0,163.0,74.0,4.0,280.0,94.0,1254.0,741.0,3.0,2092.0,7.0,19.0,10.0,1.0,37.0,2409.0,74.8
02F2,Fulton,851.0,17.0,33.0,11.0,4.0,65.0,41.0,254.0,135.0,2.0,432.0,3.0,2.0,2.0,0.0,7.0,504.0,59.2
02G,Fulton,3895.0,82.0,193.0,74.0,0.0,349.0,163.0,1610.0,745.0,5.0,2523.0,7.0,21.0,15.0,1.0,44.0,2916.0,74.9
02J,Fulton,2273.0,33.0,82.0,46.0,2.0,163.0,86.0,887.0,428.0,11.0,1412.0,5.0,16.0,12.0,0.0,33.0,1608.0,70.7
02K,Fulton,1461.0,25.0,92.0,18.0,0.0,135.0,43.0,583.0,298.0,0.0,924.0,3.0,3.0,8.0,0.0,14.0,1073.0,73.4
02L1,Fulton,5546.0,98.0,375.0,190.0,5.0,668.0,167.0,1989.0,1273.0,11.0,3440.0,11.0,27.0,22.0,0.0,60.0,4168.0,75.2
02L1A,Fulton,1477.0,24.0,79.0,9.0,3.0,115.0,72.0,552.0,96.0,4.0,724.0,2.0,4.0,1.0,1.0,8.0,847.0,57.3
02L2,Fulton,2249.0,44.0,140.0,36.0,2.0,222.0,105.0,829.0,375.0,5.0,1314.0,0.0,5.0,5.0,0.0,10.0,1546.0,68.7
02S,Fulton,790.0,14.0,17.0,12.0,0.0,43.0,37.0,281.0,132.0,0.0,450.0,3.0,3.0,3.0,0.0,9.0,502.0,63.5
02W,Fulton,978.0,22.0,61.0,21.0,0.0,104.0,48.0,374.0,122.0,0.0,544.0,0.0,2.0,5.0,0.0,7.0,655.0,67.0
03A,Fulton,2230.0,10.0,20.0,8.0,3.0,41.0,146.0,387.0,227.0,17.0,777.0,2.0,2.0,2.0,1.0,7.0,825.0,37.0
03B,Fulton,777.0,4.0,6.0,6.0,0.0,16.0,52.0,101.0,60.0,0.0,213.0,3.0,0.0,0.0,0.0,3.0,232.0,29.9
03C,Fulton,1879.0,8.0,9.0,9.0,1.0,27.0,147.0,344.0,230.0,7.0,728.0,2.0,6.0,3.0,0.0,11.0,766.0,40.8
03D,Fulton,1235.0,9.0,10.0,9.0,1.0,29.0,85.0,222.0,105.0,21.0,433.0,1.0,0.0,0.0,0.0,1.0,463.0,37.5
03E,Fulton,2894.0,33.0,23.0,9.0,6.0,71.0,282.0,483.0,219.0,40.0,1024.0,4.0,5.0,4.0,2.0,15.0,1110.0,38.4
03F,Fulton,2328.0,44.0,155.0,42.0,1.0,242.0,113.0,779.0,358.0,3.0,1253.0,1.0,5.0,2.0,0.0,8.0,1503.0,64.6
03G,Fulton,1033.0,6.0,6.0,2.0,0.0,14.0,77.0,147.0,43.0,5.0,272.0,2.0,1.0,0.0,0.0,3.0,289.0,28.0
03H,Fulton,1091.0,14.0,15.0,4.0,0.0,33.0,77.0,213.0,97.0,1.0,388.0,1.0,0.0,1.0,0.0,2.0,423.0,38.8
03I,Fulton,1607.0,25.0,44.0,13.0,7.0,89.0,95.0,332.0,115.0,17.0,559.0,4.0,6.0,5.0,1.0,16.0,664.0,41.3
03L,Fulton,748.0,10.0,3.0,3.0,0.0,16.0,66.0,98.0,42.0,0.0,206.0,1.0,1.0,0.0,0.0,2.0,224.0,29.9
03M,Fulton,965.0,50.0,33.0,5.0,0.0,88.0,135.0,232.0,86.0,2.0,455.0,4.0,4.0,2.0,0.0,10.0,553.0,57.3
03N,Fulton,2804.0,16.0,24.0,6.0,2.0,48.0,228.0,461.0,160.0,21.0,870.0,6.0,5.0,3.0,1.0,15.0,933.0,33.3
03P1A,Fulton,4404.0,79.0,170.0,62.0,2.0,313.0,224.0,1346.0,533.0,15.0,2118.0,10.0,21.0,9.0,0.0,40.0,2471.0,56.1
03P2,Fulton,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,30.4
03S,Fulton,908.0,11.0,4.0,5.0,0.0,20.0,94.0,210.0,104.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,428.0,47.1
03T,Fulton,1742.0,14.0,24.0,6.0,0.0,44.0,142.0,501.0,132.0,6.0,781.0,4.0,5.0,2.0,0.0,11.0,836.0,48.0
04A,Fulton,1554.0,4.0,11.0,5.0,0.0,20.0,100.0,317.0,163.0,0.0,580.0,3.0,4.0,2.0,0.0,9.0,609.0,39.2
04B,Fulton,2948.0,9.0,17.0,7.0,0.0,33.0,117.0,419.0,222.0,0.0,758.0,3.0,3.0,1.0,0.0,7.0,798.0,27.1
04C,Fulton,150.0,1.0,0.0,0.0,0.0,1.0,10.0,28.0,12.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,52.0,34.7
04D,Fulton,1736.0,11.0,18.0,4.0,0.0,33.0,153.0,452.0,202.0,5.0,812.0,4.0,7.0,1.0,0.0,12.0,857.0,49.4
04F,Fulton,2786.0,31.0,69.0,13.0,1.0,114.0,175.0,756.0,205.0,9.0,1145.0,5.0,7.0,3.0,1.0,16.0,1275.0,45.8
04G,Fulton,1025.0,8.0,5.0,5.0,1.0,19.0,113.0,196.0,79.0,0.0,388.0,2.0,1.0,1.0,0.0,4.0,411.0,40.1
04I,Fulton,4604.0,13.0,35.0,22.0,1.0,71.0,74.0,455.0,234.0,6.0,769.0,2.0,4.0,3.0,0.0,9.0,849.0,18.4
04J,Fulton,1617.0,5.0,2.0,2.0,0.0,9.0,43.0,109.0,19.0,12.0,183.0,0.0,1.0,2.0,1.0,4.0,196.0,12.1
04K,Fulton,2736.0,22.0,27.0,16.0,2.0,67.0,184.0,717.0,359.0,13.0,1273.0,3.0,5.0,3.0,1.0,12.0,1352.0,49.4
04L,Fulton,2014.0,23.0,22.0,15.0,0.0,60.0,154.0,568.0,201.0,6.0,929.0,5.0,1.0,0.0,0.0,6.0,995.0,49.4
04M,Fulton,979.0,4.0,6.0,5.0,0.0,15.0,101.0,154.0,68.0,5.0,328.0,1.0,2.0,0.0,0.0,3.0,346.0,35.3
04S,Fulton,2541.0,20.0,16.0,10.0,2.0,48.0,262.0,620.0,310.0,6.0,1198.0,4.0,6.0,3.0,1.0,14.0,1260.0,49.6
04T,Fulton,1297.0,11.0,21.0,5.0,3.0,40.0,128.0,335.0,161.0,19.0,643.0,2.0,2.0,2.0,1.0,7.0,690.0,53.2
04V,Fulton,3573.0,37.0,21.0,10.0,1.0,69.0,349.0,699.0,237.0,3.0,1288.0,5.0,7.0,2.0,0.0,14.0,1371.0,38.4
04W,Fulton,3365.0,0.0,0.0,1.0,1.0,2.0,57.0,134.0,28.0,6.0,225.0,1.0,0.0,0.0,0.0,1.0,228.0,6.8
04X1,Fulton,2283.0,20.0,30.0,11.0,0.0,61.0,153.0,607.0,273.0,2.0,1035.0,3.0,1.0,1.0,0.0,5.0,1101.0,48.2
04X2,Fulton,846.0,9.0,19.0,2.0,0.0,30.0,53.0,227.0,100.0,0.0,380.0,1.0,6.0,3.0,0.0,10.0,420.0,49.6
05A1,Fulton,2936.0,46.0,124.0,38.0,0.0,208.0,104.0,1239.0,628.0,2.0,1973.0,9.0,14.0,8.0,0.0,31.0,2212.0,75.3
05A2,Fulton,3343.0,37.0,133.0,44.0,3.0,217.0,127.0,1421.0,627.0,10.0,2185.0,4.0,18.0,4.0,0.0,26.0,2428.0,72.6
05B,Fulton,2171.0,24.0,27.0,16.0,1.0,68.0,163.0,621.0,269.0,2.0,1055.0,3.0,5.0,0.0,0.0,8.0,1131.0,52.1
05C,Fulton,135.0,1.0,3.0,1.0,0.0,5.0,4.0,26.0,8.0,0.0,38.0,1.0,0.0,0.0,0.0,1.0,44.0,32.6
05D,Fulton,541.0,4.0,2.0,0.0,0.0,6.0,19.0,56.0,8.0,2.0,85.0,0.0,1.0,1.0,0.0,2.0,93.0,17.2
05F,Fulton,248.0,5.0,7.0,0.0,1.0,13.0,20.0,85.0,25.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,143.0,57.7
05J,Fulton,684.0,9.0,27.0,12.0,0.0,48.0,33.0,262.0,126.0,1.0,422.0,2.0,7.0,3.0,0.0,12.0,482.0,70.5
05K,Fulton,2826.0,25.0,68.0,24.0,2.0,119.0,135.0,694.0,265.0,3.0,1097.0,2.0,14.0,6.0,0.0,22.0,1238.0,43.8
06B,Fulton,1889.0,51.0,129.0,42.0,2.0,224.0,65.0,757.0,404.0,5.0,1231.0,1.0,10.0,3.0,1.0,15.0,1470.0,77.8
06D,Fulton,6160.0,109.0,472.0,314.0,2.0,897.0,273.0,2061.0,2048.0,15.0,4397.0,11.0,21.0,28.0,0.0,60.0,5354.0,86.9
06D1,Fulton,2539.0,52.0,202.0,43.0,2.0,299.0,55.0,954.0,166.0,3.0,1178.0,1.0,11.0,5.0,0.0,17.0,1494.0,58.8
06D2,Fulton,850.0,16.0,80.0,12.0,0.0,108.0,16.0,311.0,53.0,0.0,380.0,2.0,4.0,3.0,1.0,10.0,498.0,58.6
06E,Fulton,2344.0,50.0,153.0,61.0,5.0,269.0,98.0,818.0,419.0,2.0,1337.0,5.0,8.0,9.0,0.0,22.0,1628.0,69.5
06F,Fulton,2841.0,41.0,206.0,54.0,5.0,306.0,103.0,1100.0,520.0,3.0,1726.0,7.0,18.0,9.0,0.0,34.0,2066.0,72.7
06G,Fulton,588.0,12.0,40.0,13.0,0.0,65.0,14.0,217.0,123.0,1.0,355.0,1.0,3.0,5.0,0.0,9.0,429.0,73.0
06I,Fulton,4072.0,92.0,177.0,53.0,7.0,329.0,243.0,1344.0,540.0,15.0,2142.0,15.0,15.0,12.0,2.0,44.0,2515.0,61.8
06J,Fulton,2770.0,46.0,198.0,85.0,0.0,329.0,73.0,1036.0,785.0,0.0,1894.0,7.0,15.0,8.0,0.0,30.0,2253.0,81.3
06L1,Fulton,991.0,24.0,96.0,42.0,0.0,162.0,27.0,366.0,232.0,3.0,628.0,2.0,6.0,2.0,0.0,10.0,800.0,80.7
06L2,Fulton,726.0,29.0,100.0,30.0,0.0,159.0,18.0,247.0,144.0,1.0,410.0,3.0,0.0,6.0,0.0,9.0,578.0,79.6
06N,Fulton,1770.0,54.0,224.0,69.0,4.0,351.0,63.0,448.0,289.0,8.0,808.0,3.0,7.0,11.0,0.0,21.0,1180.0,66.7
06Q,Fulton,571.0,7.0,8.0,5.0,2.0,22.0,47.0,210.0,63.0,4.0,324.0,1.0,0.0,1.0,0.0,2.0,348.0,60.9
06R,Fulton,2015.0,34.0,157.0,66.0,4.0,261.0,50.0,651.0,391.0,0.0,1092.0,4.0,6.0,3.0,0.0,13.0,1366.0,67.8
07A,Fulton,7691.0,334.0,1262.0,426.0,8.0,2030.0,312.0,1842.0,1170.0,17.0,3341.0,9.0,38.0,19.0,0.0,66.0,5437.0,70.7
07B,Fulton,2952.0,158.0,845.0,277.0,0.0,1280.0,69.0,603.0,481.0,1.0,1154.0,5.0,14.0,10.0,0.0,29.0,2463.0,83.4
07C,Fulton,4512.0,163.0,657.0,438.0,8.0,1266.0,141.0,928.0,869.0,7.0,1945.0,6.0,7.0,12.0,1.0,26.0,3237.0,71.7
07D,Fulton,4879.0,188.0,821.0,189.0,13.0,1211.0,185.0,1228.0,588.0,19.0,2020.0,10.0,21.0,7.0,0.0,38.0,3269.0,67.0
07E,Fulton,2247.0,53.0,316.0,138.0,3.0,510.0,48.0,614.0,526.0,4.0,1192.0,5.0,11.0,6.0,0.0,22.0,1724.0,76.7
07F,Fulton,3790.0,157.0,650.0,221.0,26.0,1054.0,121.0,1051.0,608.0,10.0,1790.0,5.0,24.0,6.0,0.0,35.0,2879.0,76.0
07H,Fulton,2060.0,87.0,402.0,132.0,0.0,621.0,59.0,559.0,407.0,0.0,1025.0,3.0,6.0,3.0,0.0,12.0,1658.0,80.5
07J,Fulton,3041.0,104.0,448.0,149.0,6.0,707.0,118.0,904.0,509.0,6.0,1537.0,8.0,8.0,11.0,1.0,28.0,2272.0,74.7
